"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",9,18.4,1.06,2.13,16.6,19.5,11.7,11.4,11,1,1,1,1,"1",29,NA,NA,46,6
"Austin Ekeler","RB","LAC",5,16.3,1.05,0.682,15.4,18.1,9.58,10.3,9.62,2,2,3,2,"1",30,NA,NA,42,NA
"Travis Etienne","RB","JAC",9,15.6,0.909,1.09,14.5,17.1,8.9,9.42,8.57,3,3,7,3,"2",27,NA,NA,26,2
"Josh Allen","QB","BUF",13,24.8,1.86,5.09,22.4,27.9,8.68,8.2,9.87,4,4,2,1,"1",29,NA,NA,83,5
"Stefon Diggs","WR","BUF",13,16.6,1.86,0.374,14.3,19.3,8.28,7.12,9.37,5,8,4,1,"1",32,NA,NA,93,8
"Ja'Marr Chase","WR","CIN",7,16.2,1.89,0.275,14.5,19,7.9,7.3,9.13,6,7,5,2,"1",26,NA,NA,94,2
"Alvin Kamara","RB","NO",11,14.5,1.57,0.313,11.7,16.5,7.81,6.55,8.04,7,11,9,4,"3",30,NA,NA,86,6
"CeeDee Lamb","WR","DAL",7,15.9,2.05,1.29,12.5,18.5,7.63,5.34,8.62,8,18,6,3,"2",27,NA,NA,99,3
"Jonathan Taylor","RB","IND",11,14.2,1.44,0.062,12.5,16.8,7.49,7.41,8.34,9,6,8,5,"3",27,NA,NA,75,3
"Derrick Henry","RB","TEN",7,14.2,1.4,0.115,13,16.5,7.43,7.85,8.02,10,5,10,6,"3",32,NA,NA,71,7
"Saquon Barkley","RB","NYG",13,14,1.41,0.0254,12,15.5,7.32,6.9,6.97,11,10,13,7,"3",29,NA,NA,72,5
"Breece Hall","RB","NYJ",7,14,1.05,0.37,12.1,14.9,7.29,6.93,6.41,12,9,16,8,"3",24,NA,NA,43,1
"Tony Pollard","RB","DAL",7,13.6,1.65,0.181,11.3,15.9,6.92,6.22,7.44,13,12,11,9,"3",29,NA,NA,88,4
"Josh Jacobs","RB","LVR",13,13.5,1.5,0.313,11.2,14.7,6.74,6.08,6.19,14,14,17,10,"4",28,NA,NA,83,4
"Joe Mixon","RB","CIN",7,13.1,1.79,0.11,10.1,15.4,6.43,5,6.87,15,21,14,11,"4",29,NA,NA,94,6
"Amon-Ra St. Brown","WR","DET",9,14.6,0.907,0.0258,13.4,15.8,6.34,6.21,5.92,16,13,18,4,"2",26,NA,NA,25,2
"Rachaad White","RB","TB",5,13,1.39,0.334,10.6,14.3,6.32,5.49,5.84,17,17,19,12,"4",27,NA,NA,68,1
"Keenan Allen","WR","LAC",5,14.6,1.17,2.29,13,16.5,6.31,5.81,6.64,18,15,15,5,"3",34,NA,NA,50,10
"Kenneth Walker III","RB","SEA",5,12.7,1.69,0.597,10.9,15.5,5.98,5.74,7.05,19,16,12,13,"5",25,NA,NA,91,1
"Aaron Jones","RB","GB",6,12.1,1.07,0.00776,10.4,13.4,5.39,5.29,4.85,20,19,29,14,"5",31,NA,NA,48,6
"Rhamondre Stevenson","RB","NE",11,12.1,1.42,0.224,9.82,13.9,5.38,4.7,5.4,21,24,22,15,"5",28,NA,NA,74,2
"Bijan Robinson","RB","ATL",11,11.9,1.13,0.0655,10.1,13.5,5.15,4.95,5.01,22,23,26,16,"5",24,NA,NA,51,0
"David Montgomery","RB","DET",9,11.8,1.4,0.514,10.3,13.9,5.09,5.19,5.41,23,20,21,17,"6",28,NA,NA,70,4
"Alexander Mattison","RB","MIN",13,11.3,1.27,0.0582,9.58,12.9,4.58,4.46,4.44,24,25,31,18,"6",27,NA,NA,55,4
"DOnta Foreman","RB","CHI",13,11.2,1.44,0.257,9.53,13.6,4.52,4.41,5.11,25,27,25,19,"6",30,NA,NA,77,6
"James Cook","RB","BUF",13,11,1.01,0.108,10.1,12.7,4.26,4.97,4.2,26,22,33,20,"6",26,NA,NA,39,1
"Javonte Williams","RB","DEN",9,10.9,1.16,0.0248,9.42,12.6,4.15,4.3,4.05,27,28,35,21,"6",26,NA,NA,54,2
"James Conner","RB","ARI",14,10.8,0.665,0.453,9.55,11.4,4.13,4.43,2.89,29,26,53,22,"7",31,NA,NA,17,6
"Mark Andrews","TE","BAL",13,10.9,1.73,0.797,7.91,12.9,4.13,2.37,4.89,28,46,28,1,"1",30,NA,NA,94,5
"Adam Thielen","WR","CAR",7,12.3,1.05,0.102,10.3,13.4,4.02,3.11,3.46,30,36,42,6,"3",35,NA,NA,39,9
"Brandon Aiyuk","WR","SF",9,12.2,1.16,0.0236,10.8,14,3.92,3.6,4.07,31,31,34,7,"3",28,NA,NA,47,3
"DeAndre Hopkins","WR","TEN",7,12.2,1.42,0.063,9.93,14.3,3.9,2.76,4.43,32,42,32,8,"3",33,NA,NA,69,10
"DK Metcalf","WR","SEA",5,12.1,1.66,0.293,10.6,15.2,3.83,3.47,5.26,33,32,24,9,"3",28,NA,NA,86,4
"Jahmyr Gibbs","RB","DET",9,10.4,2.56,0.00313,7.03,13.8,3.67,1.91,5.34,34,57,23,23,"7",24,NA,NA,99,0
"Jerome Ford","RB","CLE",5,10.4,1.3,0.149,8.57,12.2,3.67,3.45,3.75,35,33,38,24,"7",26,NA,NA,64,1
"Lamar Jackson","QB","BAL",13,19.7,1.25,0.0537,18.5,21.9,3.6,4.3,3.86,36,29,36,2,"1",29,NA,NA,39,5
"Justin Herbert","QB","LAC",5,19.7,1.47,0.0463,17.3,21.5,3.54,3.1,3.46,37,37,43,3,"1",28,NA,NA,61,3
"Mike Evans","WR","TB",5,11.8,1.64,0.254,9.03,13.5,3.54,1.85,3.58,38,61,40,10,"3",32,NA,NA,85,9
"Brian Robinson","RB","WAS",14,10.2,1.71,0.16,7.03,12,3.52,1.91,3.51,39,58,41,25,"7",27,NA,NA,93,1
"Joe Burrow","QB","CIN",7,19.6,1.26,0.328,18.2,21.3,3.5,4.03,3.27,40,30,44,4,"1",29,NA,NA,42,3
"Najee Harris","RB","PIT",6,10.1,0.93,0.154,8.28,11.1,3.36,3.16,2.57,41,35,60,26,"7",28,NA,NA,28,2
"Sam LaPorta","TE","DET",9,10.1,0.927,0.0509,8.38,11.1,3.33,2.83,3.02,42,38,48,2,"1",25,NA,NA,53,0
"Nathaniel Dell","WR","HOU",7,11.6,1.39,0.0233,9.53,13.5,3.29,2.36,3.63,43,47,39,11,"3",26,NA,NA,67,0
"Dalton Schultz","TE","HOU",7,10.1,1.95,0.526,7.89,13.6,3.28,2.35,5.53,44,48,20,3,"1",29,NA,NA,97,5
"Michael Pittman","WR","IND",11,11.6,0.923,0.122,9.97,12.6,3.26,2.79,2.75,45,39,56,12,"3",28,NA,NA,31,3
"Gus Edwards","RB","BAL",13,9.93,2.12,0.189,7.68,13.5,3.21,2.56,4.96,46,43,27,27,"7",31,NA,NA,99,5
"Dak Prescott","QB","DAL",7,19.3,1.27,1.17,17.3,20.6,3.17,3.17,2.62,47,34,58,5,"2",32,NA,NA,44,7
"Deebo Samuel","WR","SF",9,11.4,0.945,0.0901,9.95,12.7,3.14,2.78,2.85,48,41,54,13,"4",30,NA,NA,33,4
"Garrett Wilson","WR","NYJ",7,11.4,1.15,0.249,9.31,12.6,3.05,2.14,2.75,49,53,55,14,"4",25,NA,NA,44,1
"Chuba Hubbard","RB","CAR",7,9.74,1.3,0.407,7.54,11.1,3.02,2.42,2.64,50,44,57,28,"8",26,NA,NA,62,2
"Christian Kirk","WR","JAC",9,11.1,1.5,0.175,8.56,12.9,2.8,1.39,3.03,51,70,47,15,"4",29,NA,NA,76,5
"George Kittle","TE","SF",9,9.53,1.27,0.158,7.33,11,2.76,1.79,2.92,52,63,52,4,"1",32,NA,NA,79,6
"D.J. Moore","WR","CHI",13,10.9,1.43,0.0829,8.25,12.4,2.63,1.08,2.47,53,74,61,16,"4",29,NA,NA,72,5
"Devin Singletary","RB","HOU",7,9.33,1.47,0.647,7.06,10.8,2.61,1.94,2.27,54,56,63,29,"8",28,NA,NA,78,4
"Dalton Kincaid","TE","BUF",13,9.37,1.19,0.157,7.36,10.5,2.6,1.81,2.46,55,62,62,5,"2",26,NA,NA,76,0
"Chris Olave","WR","NO",11,10.8,0.839,0.0582,9.58,11.8,2.54,2.41,1.93,56,45,69,17,"4",25,NA,NA,18,1
"Davante Adams","WR","LVR",13,10.8,1.81,0.0158,9.04,13.6,2.49,1.87,3.75,57,60,37,18,"4",33,NA,NA,92,9
"Jordan Addison","WR","MIN",13,10.8,2.19,0.00557,7.85,14.6,2.47,0.682,4.69,58,86,30,19,"4",24,NA,NA,99,0
"Tyler Lockett","WR","SEA",5,10.8,1.39,0.00492,8.76,13.1,2.46,1.59,3.18,59,66,45,20,"4",33,NA,NA,65,8
"Amari Cooper","WR","CLE",5,10.8,1.41,0.12,8.89,12.9,2.46,1.72,2.96,60,64,51,21,"4",31,NA,NA,68,8
"T.J. Hockenson","TE","MIN",13,9.22,1.41,0.33,7.05,11.2,2.44,1.5,3.16,61,68,46,6,"2",28,NA,NA,88,4
"Marquise Brown","WR","ARI",14,10.6,0.966,0.167,9.2,11.6,2.34,2.03,1.68,62,55,75,22,"4",28,NA,NA,36,4
"Terry McLaurin","WR","WAS",14,10.5,0.531,0.0568,9.52,11.1,2.17,2.34,1.18,63,49,89,23,"5",30,NA,NA,1,4
"Diontae Johnson","WR","PIT",6,10.4,1.27,0.161,8.63,12,2.12,1.46,2.13,64,69,65,24,"5",29,NA,NA,58,4
"Evan Engram","TE","JAC",9,8.89,0.886,0.8,7.84,10.1,2.11,2.3,2.11,65,50,66,7,"3",31,NA,NA,47,6
"Markquese Bell","DB","DAL",7,8.53,0.00707,0.744,8.53,8.54,2.06,2.78,0.93,66,40,95,1,"1",27,NA,NA,2,1
"C.J. Stroud","QB","HOU",7,18.1,1.45,0.36,16.4,20,2,2.28,2.04,67,51,68,6,"2",24,NA,NA,58,0
"Jaylen Warren","RB","PIT",6,8.68,0.795,0.831,7.39,9.55,1.96,2.27,1.05,68,52,91,30,"9",27,NA,NA,23,1
"Chris Godwin","WR","TB",5,10.3,0.945,0.118,8.49,11.4,1.96,1.32,1.46,69,72,79,25,"5",30,NA,NA,35,6
"Calvin Ridley","WR","JAC",9,10.1,1.26,0.391,8.14,11.6,1.84,0.967,1.68,70,77,74,26,"5",31,NA,NA,56,5
"Brock Purdy","QB","SF",9,17.8,2.11,0.16,14.7,20.2,1.64,0.524,2.22,71,96,64,7,"2",26,NA,NA,92,1
"Foyesade Oluokun","LB","JAC",9,8.59,2.53,0.723,6.53,11.3,1.55,1.39,1.3,72,71,85,1,"1",30,NA,NA,49,5
"Jared Goff","QB","DET",9,17.6,2.1,0.071,14.7,19.5,1.48,0.517,1.48,73,97,77,8,"2",31,NA,NA,89,7
"Gabriel Davis","WR","BUF",13,9.75,1.73,0.0551,7.89,12.9,1.45,0.714,3.01,74,83,49,27,"5",27,NA,NA,89,3
"Geno Smith","QB","SEA",5,17.5,1.42,0.406,14.9,18.7,1.41,0.697,0.724,75,85,101,9,"3",35,NA,NA,56,10
"Drake London","WR","ATL",11,9.69,0.913,0.0987,8.2,10.5,1.39,1.03,0.656,76,76,103,28,"5",24,NA,NA,28,1
"T.J. Watt","DL","PIT",6,5.76,0.424,0.00711,5.51,6.09,1.33,1.59,0.58,77,65,108,1,"1",31,NA,NA,5,6
"Maxx Crosby","DL","LVR",13,5.75,1.42,0.253,4.49,7.17,1.32,0.578,1.66,78,93,76,2,"1",28,NA,NA,82,4
"Cole Kmet","TE","CHI",13,8.09,1.3,0.383,6.19,9.72,1.31,0.648,1.69,80,89,73,8,"4",27,NA,NA,82,3
