team,player,previous_probability,current_probability,diff,abs_diff,previous_run,current_run
CIN,Sonny Styles,0.339,0.1514,-0.18760000000000002,0.18760000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
DET,Monroe Freeling,0.222,0.0836,-0.13840000000000002,0.13840000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
DET,Spencer Fano,0.2158,0.0866,-0.12919999999999998,0.12919999999999998,2026-04-15_135014_v1,2026-04-15_141537_v1
DET,Kadyn Proctor,0.292,0.409,0.11699999999999999,0.11699999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
WAS,Jeremiyah Love,0.1674,0.0718,-0.09559999999999999,0.09559999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
HOU,Blake Miller,0.146,0.0518,-0.09419999999999999,0.09419999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Blake Miller,0.1632,0.075,-0.08820000000000001,0.08820000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
SEA,Avieon Terrell,0.134,0.0486,-0.0854,0.0854,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Francis Mauigoa,0.1114,0.0336,-0.07780000000000001,0.07780000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
LAC,Olaivavega Ioane,0.1122,0.0344,-0.0778,0.0778,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,Kadyn Proctor,0.096,0.0196,-0.0764,0.0764,2026-04-15_135014_v1,2026-04-15_141537_v1
DAL,Sonny Styles,0.0806,0.1522,0.0716,0.0716,2026-04-15_135014_v1,2026-04-15_141537_v1
CIN,Caleb Downs,0.3482,0.4176,0.06940000000000002,0.06940000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Avieon Terrell,0.1424,0.0734,-0.06899999999999999,0.06899999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
CLE,Kadyn Proctor,0.1066,0.0386,-0.068,0.068,2026-04-15_135014_v1,2026-04-15_141537_v1
HOU,Caleb Lomu,0.1074,0.044,-0.0634,0.0634,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Colton Hood,0.1398,0.198,0.0582,0.0582,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,Omar Cooper Jr.,0.0738,0.0172,-0.056600000000000004,0.056600000000000004,2026-04-15_135014_v1,2026-04-15_141537_v1
DAL,Caleb Downs,0.095,0.0398,-0.0552,0.0552,2026-04-15_135014_v1,2026-04-15_141537_v1
CHI,Dillon Thieneman,0.0864,0.0316,-0.0548,0.0548,2026-04-15_135014_v1,2026-04-15_141537_v1
CHI,Kayden McDonald,0.2036,0.2582,0.05459999999999998,0.05459999999999998,2026-04-15_135014_v1,2026-04-15_141537_v1
CLE,Monroe Freeling,0.1528,0.2058,0.05300000000000002,0.05300000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
MIN,Jeremiyah Love,0.0244,0.0774,0.05299999999999999,0.05299999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,Denzel Boston,0.1378,0.188,0.050199999999999995,0.050199999999999995,2026-04-15_135014_v1,2026-04-15_141537_v1
WAS,Rueben Bain,0.306,0.3556,0.04960000000000003,0.04960000000000003,2026-04-15_135014_v1,2026-04-15_141537_v1
DET,Francis Mauigoa,0.0102,0.0564,0.0462,0.0462,2026-04-15_135014_v1,2026-04-15_141537_v1
SEA,T.J. Parker,0.0696,0.0236,-0.046,0.046,2026-04-15_135014_v1,2026-04-15_141537_v1
DET,Blake Miller,0.0684,0.1126,0.0442,0.0442,2026-04-15_135014_v1,2026-04-15_141537_v1
MIN,Emmanuel McNeil-Warren,0.2404,0.2844,0.043999999999999984,0.043999999999999984,2026-04-15_135014_v1,2026-04-15_141537_v1
TB,Keldric Faulk,0.284,0.3276,0.04360000000000003,0.04360000000000003,2026-04-15_135014_v1,2026-04-15_141537_v1
CIN,Dillon Thieneman,0.0648,0.108,0.0432,0.0432,2026-04-15_135014_v1,2026-04-15_141537_v1
MIN,Caleb Downs,0.0852,0.0422,-0.043,0.043,2026-04-15_135014_v1,2026-04-15_141537_v1
HOU,Spencer Fano,0.0044,0.047,0.0426,0.0426,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Olaivavega Ioane,0.1068,0.1476,0.0408,0.0408,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Kenyon Sadiq,0.0922,0.0522,-0.04,0.04,2026-04-15_135014_v1,2026-04-15_141537_v1
MIN,Jermod McCoy,0.0512,0.0116,-0.0396,0.0396,2026-04-15_135014_v1,2026-04-15_141537_v1
PIT,Jeremiyah Love,0.0048,0.0442,0.039400000000000004,0.039400000000000004,2026-04-15_135014_v1,2026-04-15_141537_v1
NYG,Arvell Reese,0.1102,0.071,-0.03920000000000001,0.03920000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
HOU,Monroe Freeling,0.0056,0.0448,0.0392,0.0392,2026-04-15_135014_v1,2026-04-15_141537_v1
SEA,Chris Johnson,0.1094,0.1484,0.03900000000000001,0.03900000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,Akheem Mesidor,0.0516,0.0132,-0.038400000000000004,0.038400000000000004,2026-04-15_135014_v1,2026-04-15_141537_v1
BAL,Olaivavega Ioane,0.2864,0.3248,0.03839999999999999,0.03839999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Spencer Fano,0.0126,0.0508,0.0382,0.0382,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Kevin Concepcion,0.0506,0.0132,-0.0374,0.0374,2026-04-15_135014_v1,2026-04-15_141537_v1
HOU,Max Iheanachor,0.132,0.1684,0.03639999999999999,0.03639999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
DET,Caleb Lomu,0.0676,0.1038,0.03620000000000001,0.03620000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
NYJ,Makai Lemon,0.0694,0.0332,-0.0362,0.0362,2026-04-15_135014_v1,2026-04-15_141537_v1
LAC,Dillon Thieneman,0.0488,0.0128,-0.036000000000000004,0.036000000000000004,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,Cashius Howell,0.0764,0.1122,0.0358,0.0358,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,Kenyon Sadiq,0.0434,0.0076,-0.0358,0.0358,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Monroe Freeling,0.0102,0.0454,0.0352,0.0352,2026-04-15_135014_v1,2026-04-15_141537_v1
TB,Mansoor Delane,0.0416,0.0066,-0.034999999999999996,0.034999999999999996,2026-04-15_135014_v1,2026-04-15_141537_v1
PIT,Olaivavega Ioane,0.0456,0.0112,-0.0344,0.0344,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,T.J. Parker,0.1554,0.1894,0.034,0.034,2026-04-15_135014_v1,2026-04-15_141537_v1
NYJ,Sonny Styles,0.0496,0.0834,0.033800000000000004,0.033800000000000004,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Jermod McCoy,0.1094,0.1432,0.0338,0.0338,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Cashius Howell,0.142,0.1752,0.03320000000000001,0.03320000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Zion Young,0.0662,0.099,0.03280000000000001,0.03280000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
NE,T.J. Parker,0.1246,0.0926,-0.032,0.032,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Spencer Fano,0.1132,0.1446,0.03140000000000001,0.03140000000000001,2026-04-15_135014_v1,2026-04-15_141537_v1
NO,Jeremiyah Love,0.0416,0.0112,-0.030399999999999996,0.030399999999999996,2026-04-15_135014_v1,2026-04-15_141537_v1
CIN,Arvell Reese,0.0042,0.0344,0.0302,0.0302,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Kevin Concepcion,0.0418,0.012,-0.029799999999999997,0.029799999999999997,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Omar Cooper Jr.,0.0502,0.021,-0.0292,0.0292,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,Keldric Faulk,0.042,0.013,-0.029000000000000005,0.029000000000000005,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,Caleb Lomu,0.1502,0.1792,0.028999999999999998,0.028999999999999998,2026-04-15_135014_v1,2026-04-15_141537_v1
NE,Zion Young,0.104,0.1328,0.028800000000000006,0.028800000000000006,2026-04-15_135014_v1,2026-04-15_141537_v1
SEA,Cashius Howell,0.1252,0.0964,-0.028800000000000006,0.028800000000000006,2026-04-15_135014_v1,2026-04-15_141537_v1
WAS,David Bailey,0.075,0.0464,-0.0286,0.0286,2026-04-15_135014_v1,2026-04-15_141537_v1
PIT,Monroe Freeling,0.09,0.062,-0.027999999999999997,0.027999999999999997,2026-04-15_135014_v1,2026-04-15_141537_v1
CAR,Jordyn Tyson,0.0388,0.011,-0.027800000000000002,0.027800000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
HOU,Jeremiyah Love,0.0008,0.0286,0.027800000000000002,0.027800000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,Keldric Faulk,0.0424,0.0148,-0.0276,0.0276,2026-04-15_135014_v1,2026-04-15_141537_v1
NE,Max Iheanachor,0.0846,0.1122,0.0276,0.0276,2026-04-15_135014_v1,2026-04-15_141537_v1
WAS,Sonny Styles,0.1136,0.141,0.02739999999999998,0.02739999999999998,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Emmanuel McNeil-Warren,0.0372,0.0104,-0.026799999999999997,0.026799999999999997,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Emmanuel McNeil-Warren,0.0376,0.011,-0.026600000000000002,0.026600000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
CLE,Olaivavega Ioane,0.0602,0.0338,-0.0264,0.0264,2026-04-15_135014_v1,2026-04-15_141537_v1
NYJ,Monroe Freeling,0.0338,0.0074,-0.026399999999999996,0.026399999999999996,2026-04-15_135014_v1,2026-04-15_141537_v1
NO,Mansoor Delane,0.33,0.3564,0.02639999999999998,0.02639999999999998,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Cashius Howell,0.0602,0.0864,0.026200000000000008,0.026200000000000008,2026-04-15_135014_v1,2026-04-15_141537_v1
BUF,Emmanuel McNeil-Warren,0.0414,0.0152,-0.0262,0.0262,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Caleb Downs,0.1116,0.1366,0.024999999999999994,0.024999999999999994,2026-04-15_135014_v1,2026-04-15_141537_v1
LAC,Kevin Concepcion,0.0746,0.0996,0.024999999999999994,0.024999999999999994,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,Kevin Concepcion,0.0892,0.1142,0.024999999999999994,0.024999999999999994,2026-04-15_135014_v1,2026-04-15_141537_v1
TB,Kenyon Sadiq,0.2212,0.246,0.02479999999999999,0.02479999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
NYJ,Spencer Fano,0.0342,0.0098,-0.0244,0.0244,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Kadyn Proctor,0.0516,0.0272,-0.0244,0.0244,2026-04-15_135014_v1,2026-04-15_141537_v1
SEA,Colton Hood,0.1822,0.2064,0.0242,0.0242,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,Denzel Boston,0.1218,0.1456,0.0238,0.0238,2026-04-15_135014_v1,2026-04-15_141537_v1
KC,Colton Hood,0.0578,0.0814,0.023600000000000003,0.023600000000000003,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Rueben Bain,0.0392,0.016,-0.0232,0.0232,2026-04-15_135014_v1,2026-04-15_141537_v1
PIT,Kadyn Proctor,0.183,0.16,-0.022999999999999993,0.022999999999999993,2026-04-15_135014_v1,2026-04-15_141537_v1
CIN,Jeremiyah Love,0.041,0.0182,-0.0228,0.0228,2026-04-15_135014_v1,2026-04-15_141537_v1
TB,Akheem Mesidor,0.1496,0.1724,0.022799999999999987,0.022799999999999987,2026-04-15_135014_v1,2026-04-15_141537_v1
SF,T.J. Parker,0.0896,0.1122,0.022599999999999995,0.022599999999999995,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Jordyn Tyson,0.143,0.1654,0.022400000000000003,0.022400000000000003,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,Blake Miller,0.1478,0.17,0.022200000000000025,0.022200000000000025,2026-04-15_135014_v1,2026-04-15_141537_v1
NE,Cashius Howell,0.2092,0.187,-0.022199999999999998,0.022199999999999998,2026-04-15_135014_v1,2026-04-15_141537_v1
CAR,Monroe Freeling,0.0334,0.0116,-0.0218,0.0218,2026-04-15_135014_v1,2026-04-15_141537_v1
NE,Caleb Banks,0.037,0.0588,0.0218,0.0218,2026-04-15_135014_v1,2026-04-15_141537_v1
MIA,Zion Young,0.0466,0.068,0.021400000000000002,0.021400000000000002,2026-04-15_135014_v1,2026-04-15_141537_v1
CLE,Denzel Boston,0.0812,0.1022,0.021000000000000005,0.021000000000000005,2026-04-15_135014_v1,2026-04-15_141537_v1
SEA,Brandon Cisse,0.0278,0.0488,0.021000000000000005,0.021000000000000005,2026-04-15_135014_v1,2026-04-15_141537_v1
PHI,T.J. Parker,0.0432,0.0642,0.02099999999999999,0.02099999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
PIT,Blake Miller,0.1506,0.1716,0.02099999999999999,0.02099999999999999,2026-04-15_135014_v1,2026-04-15_141537_v1
