position,avg_taken_round1,min,max
EDGE,6.3818,3,9
OT,5.9428,3,7
WR,5.6424,3,6
CB,3.5228,1,6
S,2.6924,1,3
LB,2.0846,1,4
DT,1.7738847015685475,1,4
IOL,1.1675116180819602,1,3
QB,1.0764,1,2
RB,1.0076289901626179,1,2
TE,1.0,1,1
