position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.515,-106,0.485,+106,6.418
OT,5.5,0.271,+269,0.729,-269,5.9184
WR,5.5,0.2922,+242,0.7078,-242,5.6792
CB,3.5,0.4788,+109,0.5212,-109,3.514
S,2.5,0.3688,+171,0.6312,-171,2.610366219731839
LB,2.5,0.8794,-729,0.12060000000000004,+729,2.1066
DT,1.5,0.2452,+308,0.7548,-308,1.8516872095372803
IOL,1.5,0.7672,-330,0.2328,+330,1.191606612971598
QB,1.5,0.9166,-1099,0.08340000000000003,+1099,1.0834
RB,1.5,0.991,-11011,0.009000000000000008,+11011,1.0076106549168837
TE,1.5,0.7082,-243,0.29179999999999995,+243,1.0
