team,position,count,probability,moneyline
ARI,OT,1812,0.3624,+176
ARI,EDGE,1559,0.3118,+221
ARI,LB,1509,0.3018,+231
ARI,RB,73,0.0146,+6749
ARI,WR,28,0.0056,+17757
ARI,CB,17,0.0034,+29312
ARI,S,2,0.0004,+249900
BAL,WR,2095,0.419,+139
BAL,IOL,1686,0.3372,+197
BAL,TE,563,0.1126,+788
BAL,OT,207,0.0414,+2315
BAL,EDGE,175,0.035,+2757
BAL,RB,108,0.0216,+4530
BAL,LB,58,0.0116,+8521
BAL,CB,54,0.0108,+9159
BAL,S,54,0.0108,+9159
BUF,EDGE,1918,0.3836,+161
BUF,WR,1801,0.3602,+178
BUF,DT,645,0.129,+675
BUF,IOL,196,0.0392,+2451
BUF,S,138,0.0276,+3523
BUF,OT,99,0.0198,+4951
BUF,CB,92,0.0184,+5335
BUF,LB,63,0.0126,+7837
BUF,RB,25,0.005,+19900
BUF,TE,12,0.0024,+41567
BUF,QB,11,0.0022,+45355
CAR,EDGE,1776,0.3552,+182
CAR,WR,1208,0.2416,+314
CAR,OT,802,0.1604,+523
CAR,TE,585,0.117,+755
CAR,DT,277,0.0554,+1705
CAR,S,134,0.0268,+3631
CAR,CB,114,0.0228,+4286
CAR,RB,80,0.016,+6150
CAR,LB,20,0.004,+24900
CAR,IOL,4,0.0008,+124900
CHI,DT,3498,0.6996,-233
CHI,S,611,0.1222,+718
CHI,CB,306,0.0612,+1534
CHI,OT,207,0.0414,+2315
CHI,WR,149,0.0298,+3256
CHI,EDGE,129,0.0258,+3776
CHI,RB,39,0.0078,+12721
CHI,LB,27,0.0054,+18419
CHI,TE,17,0.0034,+29312
CHI,IOL,12,0.0024,+41567
CHI,QB,5,0.001,+99900
CIN,S,2637,0.5274,-112
CIN,LB,953,0.1906,+425
CIN,OT,540,0.108,+826
CIN,IOL,248,0.0496,+1916
CIN,CB,227,0.0454,+2103
CIN,WR,198,0.0396,+2425
CIN,RB,116,0.0232,+4210
CIN,EDGE,57,0.0114,+8672
CIN,TE,23,0.0046,+21639
CIN,QB,1,0.0002,+499900
CLE,OT,4357,0.8714,-678
CLE,WR,4125,0.825,-471
CLE,EDGE,351,0.0702,+1325
CLE,LB,250,0.05,+1900
CLE,CB,220,0.044,+2173
