position,avg_taken_round1,min,max
EDGE,6.418,4,9
OT,5.9184,3,7
WR,5.6792,3,6
CB,3.514,1,6
S,2.610366219731839,1,3
LB,2.1066,1,4
DT,1.8516872095372803,1,4
IOL,1.191606612971598,1,3
QB,1.0834,1,2
RB,1.0076106549168837,1,2
TE,1.0,1,1
