player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.388
David Bailey,EDGE,3.4564
Carnell Tate,WR,6.0968
Francis Mauigoa,OT,7.1392
Rueben Bain,EDGE,8.042416966786714
Sonny Styles,LB,9.414361269324655
Jeremiyah Love,RB,9.65611856599239
Mansoor Delane,CB,10.107365041139875
Caleb Downs,S,10.491703763658437
Makai Lemon,WR,11.299314239612746
Jermod McCoy,CB,12.248735073871686
Jordyn Tyson,WR,12.944185102496448
Monroe Freeling,OT,15.237021716649432
Olaivavega Ioane,IOL,16.172221027735972
Spencer Fano,OT,16.396351575456052
Dillon Thieneman,S,17.435521415270017
Keldric Faulk,EDGE,17.526062382248274
Drew Allar,QB,17.666666666666668
Kenyon Sadiq,TE,17.82349618751765
Garrett Nussmeier,QB,18.6
Akheem Mesidor,EDGE,18.728966094600253
Kadyn Proctor,OT,19.195469988674972
Omar Cooper Jr.,WR,19.37243207422134
Emmanuel McNeil-Warren,S,20.698108250131373
Blake Miller,OT,22.035349763505103
Caleb Lomu,OT,22.45028835063437
Kevin Concepcion,WR,23.0918812745526
Ty Simpson,QB,23.968215158924206
Peter Woods,DT,24.015905017921146
Avieon Terrell,CB,24.198774885145482
T.J. Parker,EDGE,26.01937639198218
Denzel Boston,WR,26.199681962744208
Kayden McDonald,DT,26.40712272610812
Cashius Howell,EDGE,28.512322791712105
Caleb Banks,DT,28.80884265279584
Max Iheanachor,OT,28.82456140350877
Emmanuel Pregnon,IOL,29.48936170212766
C.J. Allen,LB,29.66441821247892
Jadarian Price,RB,29.92105263157895
Chase Bisontis,IOL,30.17142857142857
Zion Young,EDGE,30.227427019687713
Jacob Rodriguez,LB,30.25
Colton Hood,CB,30.39503619441572
Malachi Lawrence,EDGE,30.79695431472081
Christen Miller,DT,30.846153846153847
R Mason Thomas,EDGE,31.0327868852459
Anthony Hill Jr.,LB,31.125
Chris Johnson,CB,31.12652705061082
Brandon Cisse,CB,31.152694610778443
Lee Hunter,DT,32.0
