pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,5,4,2
3,11,7,6,3
4,12,7,6,5
5,12,9,7,6
6,17,12,8,5
7,17,10,9,5
8,18,11,7,6
9,19,11,9,7
10,21,13,9,4
11,23,11,7,5
12,24,17,8,4
13,26,11,8,5
14,26,10,6,5
15,24,9,6,5
16,30,19,11,5
17,26,12,8,6
18,27,9,6,3
19,29,19,10,6
20,30,20,15,6
21,36,13,9,8
22,34,14,12,7
23,32,14,11,8
24,38,18,10,6
25,37,12,5,4
26,40,14,8,6
27,40,17,13,5
28,40,16,12,4
29,42,17,8,6
30,43,17,11,5
31,42,20,11,6
32,42,14,9,6
