market_key,player,player_norm,position_market,line,over_price,under_price,season,week,game_total,team_spread,is_favorite,is_underdog,position,projection,team,line_bucket,rows,hist_mean_actual,std_for_sim,var_for_sim,projection_minus_line,p_over,p_under,p_push,fair_over_price,fair_under_price,over_price_decimal,under_price_decimal,ev_over,ev_under,ev_over_percent,ev_under_percent,recommended_side,recommended_prob,recommended_ev,recommended_ev_percent,recommendation,n_sims
player_rush_yds,Braelon Allen,braelon allen,RB,29.5,-110.0,-110,2024,15,41.5,-3.5,True,False,RB,49.0,NYJ,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,19.5,0.746,0.254,0.0,-293.70078740157476,293.70078740157476,1.9090909090909092,1.9090909090909092,0.4241818181818182,-0.515090909090909,42.41818181818182,-51.5090909090909,over,0.746,0.4241818181818182,42.41818181818182,over,500
player_rush_yds,J.K. Dobbins,jk dobbins,RB,57.5,-110.0,-110,2024,10,40.0,-8.0,True,False,RB,73.01,DEN,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,15.510000000000005,0.722,0.278,0.0,-259.71223021582733,259.71223021582733,1.9090909090909092,1.9090909090909092,0.37836363636363635,-0.46927272727272723,37.836363636363636,-46.92727272727272,over,0.722,0.37836363636363635,37.836363636363636,over,500
player_rush_yds,Zamir White,zamir white,RB,25.5,-110.0,-110,2024,7,43.0,7.0,False,True,RB,41.95,LV,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,16.450000000000003,0.708,0.292,0.0,-242.4657534246575,242.46575342465755,1.9090909090909092,1.9090909090909092,0.35163636363636364,-0.4425454545454545,35.163636363636364,-44.25454545454545,over,0.708,0.35163636363636364,35.163636363636364,over,500
player_rush_yds,Dalvin Cook,dalvin cook,RB,32.5,-110.0,-110,2024,8,48.0,5.5,False,True,RB,16.59,FA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,-15.91,0.302,0.698,0.0,231.12582781456953,-231.1258278145695,1.9090909090909092,1.9090909090909092,-0.4234545454545454,0.3325454545454545,-42.345454545454544,33.25454545454545,under,0.698,0.3325454545454545,33.25454545454545,under,500
player_rush_yds,Rachaad White,rachaad white,RB,32.5,-110.0,-110,2024,17,47.5,-9.5,True,False,RB,44.19,WAS,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,11.689999999999998,0.68,0.32,0.0,-212.50000000000003,212.5,1.9090909090909092,1.9090909090909092,0.2981818181818183,-0.389090909090909,29.818181818181834,-38.9090909090909,over,0.68,0.2981818181818183,29.818181818181834,over,500
player_rush_yds,Trey Sermon,trey sermon,RB,49.5,-110.0,-110,2024,6,42.0,2.5,False,True,RB,64.88,FA,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,15.379999999999995,0.676,0.324,0.0,-208.64197530864203,208.64197530864195,1.9090909090909092,1.9090909090909092,0.29054545454545466,-0.3814545454545454,29.054545454545465,-38.14545454545454,over,0.676,0.29054545454545466,29.054545454545465,over,500
player_rush_yds,James Cook,james cook,RB,45.5,-110.0,-110,2024,15,55.5,2.5,False,True,RB,64.25,BUF,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,18.75,0.676,0.324,0.0,-208.64197530864203,208.64197530864195,1.9090909090909092,1.9090909090909092,0.29054545454545466,-0.3814545454545454,29.054545454545465,-38.14545454545454,over,0.676,0.29054545454545466,29.054545454545465,over,500
player_rush_yds,Deebo Samuel,deebo samuel,WR,22.5,-110.0,-110,2024,1,43.0,-3.5,True,False,WR,17.46,FA,20-40,2,6.5,12.593401049756178,158.59375,-5.039999999999999,0.324,0.676,0.0,208.64197530864195,-208.64197530864203,1.9090909090909092,1.9090909090909092,-0.3814545454545454,0.29054545454545466,-38.14545454545454,29.054545454545465,under,0.676,0.29054545454545466,29.054545454545465,under,500
player_rush_yds,Breece Hall,breece hall,RB,52.5,-110.0,-110,2024,13,41.5,-1.0,True,False,RB,73.68,NYJ,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,21.180000000000007,0.674,0.326,0.0,-206.74846625766875,206.74846625766867,1.9090909090909092,1.9090909090909092,0.28672727272727283,-0.37763636363636355,28.672727272727283,-37.76363636363635,over,0.674,0.28672727272727283,28.672727272727283,over,500
player_rush_yds,D'Andre Swift,dandre swift,RB,50.5,-110.0,-110,2024,6,44.5,1.5,False,True,RB,66.15,CHI,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,15.650000000000006,0.668,0.332,0.0,-201.20481927710844,201.2048192771084,1.9090909090909092,1.9090909090909092,0.27527272727272745,-0.36618181818181805,27.527272727272745,-36.6181818181818,over,0.668,0.27527272727272745,27.527272727272745,over,500
player_rush_yds,Nick Chubb,nick chubb,RB,38.5,-110.0,-110,2024,7,42.0,5.5,False,True,RB,53.03,FA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,14.530000000000001,0.668,0.332,0.0,-201.20481927710844,201.2048192771084,1.9090909090909092,1.9090909090909092,0.27527272727272745,-0.36618181818181805,27.527272727272745,-36.6181818181818,over,0.668,0.27527272727272745,27.527272727272745,over,500
player_rush_yds,Tony Pollard,tony pollard,RB,50.5,-110.0,-110,2024,4,37.0,2.5,False,True,RB,64.85,TEN,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,14.349999999999994,0.66,0.34,0.0,-194.11764705882354,194.11764705882348,1.9090909090909092,1.9090909090909092,0.2600000000000001,-0.3509090909090908,26.00000000000001,-35.09090909090908,over,0.66,0.2600000000000001,26.00000000000001,over,500
player_rush_yds,D'Andre Swift,dandre swift,RB,46.5,-110.0,-110,2024,13,47.5,9.5,False,True,RB,62.66,CHI,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,16.159999999999997,0.66,0.34,0.0,-194.11764705882354,194.11764705882348,1.9090909090909092,1.9090909090909092,0.2600000000000001,-0.3509090909090908,26.00000000000001,-35.09090909090908,over,0.66,0.2600000000000001,26.00000000000001,over,500
player_rush_yds,Rhamondre Stevenson,rhamondre stevenson,RB,50.5,-110.0,-110,2024,15,46.5,6.0,False,True,RB,60.19,NE,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,9.689999999999998,0.658,0.342,0.0,-192.39766081871346,192.39766081871343,1.9090909090909092,1.9090909090909092,0.2561818181818183,-0.34709090909090895,25.618181818181828,-34.7090909090909,over,0.658,0.2561818181818183,25.618181818181828,over,500
player_rush_yds,Zack Moss,zack moss,RB,48.5,-110.0,-110,2024,3,46.0,-7.5,True,False,RB,62.45,FA,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,13.950000000000003,0.658,0.342,0.0,-192.39766081871346,192.39766081871343,1.9090909090909092,1.9090909090909092,0.2561818181818183,-0.34709090909090895,25.618181818181828,-34.7090909090909,over,0.658,0.2561818181818183,25.618181818181828,over,500
player_rush_yds,Breece Hall,breece hall,RB,42.5,-110.0,-110,2024,15,41.5,-3.5,True,False,RB,58.8,NYJ,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,16.299999999999997,0.656,0.344,0.0,-190.6976744186047,190.6976744186047,1.9090909090909092,1.9090909090909092,0.25236363636363646,-0.3432727272727273,25.236363636363645,-34.32727272727273,over,0.656,0.25236363636363646,25.236363636363645,over,500
player_rush_yds,Nick Chubb,nick chubb,RB,39.5,-110.0,-110,2024,14,43.0,6.0,False,True,RB,54.38,FA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,14.880000000000003,0.652,0.348,0.0,-187.3563218390805,187.3563218390805,1.9090909090909092,1.9090909090909092,0.2447272727272728,-0.3356363636363637,24.47272727272728,-33.56363636363637,over,0.652,0.2447272727272728,24.47272727272728,over,500
player_rush_yds,Javonte Williams,javonte williams,RB,28.5,-110.0,-110,2024,4,39.5,7.5,False,True,RB,39.9,DAL,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,11.399999999999999,0.65,0.35,0.0,-185.71428571428572,185.71428571428572,1.9090909090909092,1.9090909090909092,0.24090909090909096,-0.33181818181818185,24.090909090909097,-33.18181818181819,over,0.65,0.24090909090909096,24.090909090909097,over,500
player_rush_yds,James Conner,james conner,RB,46.5,-110.0,-110,2024,13,45.5,3.5,False,True,RB,62.08,ARI,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,15.579999999999998,0.646,0.354,0.0,-182.48587570621473,182.48587570621473,1.9090909090909092,1.9090909090909092,0.2332727272727274,-0.3241818181818182,23.327272727272742,-32.41818181818182,over,0.646,0.2332727272727274,23.327272727272742,over,500
player_rush_yds,Nick Chubb,nick chubb,RB,54.5,-110.0,-110,2024,9,42.5,2.0,False,True,RB,66.84,FA,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,12.340000000000003,0.646,0.354,0.0,-182.48587570621473,182.48587570621473,1.9090909090909092,1.9090909090909092,0.2332727272727274,-0.3241818181818182,23.327272727272742,-32.41818181818182,over,0.646,0.2332727272727274,23.327272727272742,over,500
player_rush_yds,Miles Sanders,miles sanders,RB,26.5,-110.0,-110,2024,2,39.0,5.0,False,True,RB,35.6,FA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,9.100000000000001,0.644,0.356,0.0,-180.89887640449442,180.89887640449442,1.9090909090909092,1.9090909090909092,0.22945454545454558,-0.32036363636363635,22.94545454545456,-32.03636363636363,over,0.644,0.22945454545454558,22.94545454545456,over,500
player_rush_yds,Joe Mixon,joe mixon,RB,52.5,-110.0,-110,2024,6,38.5,-6.5,True,False,RB,66.05,FA,40-60,215,54.88837209302326,40.503847108932476,1640.5616306237778,13.549999999999997,0.642,0.358,0.0,-179.3296089385475,179.3296089385475,1.9090909090909092,1.9090909090909092,0.22563636363636375,-0.3165454545454545,22.563636363636373,-31.654545454545453,over,0.642,0.22563636363636375,22.563636363636373,over,500
player_rush_yds,Gus Edwards,gus edwards,RB,35.5,-110.0,-110,2024,15,46.0,-3.0,True,False,RB,47.1,FA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,11.600000000000001,0.642,0.358,0.0,-179.3296089385475,179.3296089385475,1.9090909090909092,1.9090909090909092,0.22563636363636375,-0.3165454545454545,22.563636363636373,-31.654545454545453,over,0.642,0.22563636363636375,22.563636363636373,over,500
player_rush_yds,Ty Chandler,ty chandler,RB,29.5,-110.0,-110,2024,1,42.5,-1.0,True,False,RB,38.3,NO,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,8.799999999999997,0.642,0.358,0.0,-179.3296089385475,179.3296089385475,1.9090909090909092,1.9090909090909092,0.22563636363636375,-0.3165454545454545,22.563636363636373,-31.654545454545453,over,0.642,0.22563636363636375,22.563636363636373,over,500
player_rush_yds,Khalil Herbert,khalil herbert,RB,27.5,-110.0,-110,2024,1,43.0,-4.0,True,False,RB,38.24,FA,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,10.740000000000002,0.642,0.358,0.0,-179.3296089385475,179.3296089385475,1.9090909090909092,1.9090909090909092,0.22563636363636375,-0.3165454545454545,22.563636363636373,-31.654545454545453,over,0.642,0.22563636363636375,22.563636363636373,over,500
player_rush_yds,Jaylen Warren,jaylen warren,RB,33.5,-110.0,-110,2024,17,43.5,3.0,False,True,RB,43.89,PIT,20-40,179,30.76536312849162,33.49704221013505,1122.051836827569,10.39,0.64,0.36,0.0,-177.77777777777777,177.77777777777777,1.9090909090909092,1.9090909090909092,0.22181818181818191,-0.31272727272727274,22.18181818181819,-31.272727272727273,over,0.64,0.22181818181818191,22.18181818181819,over,500
