edge_bucket,bets,hit_rate,profit_units,avg_profit,avg_ev_percent,avg_edge_receptions
0-0.5,151829,0.5031186400490025,-73944.6612,-0.48702593839121644,5.763075626197894,0.23570398277009003
0.5-1,62312,0.5305238156374374,-28668.0589,-0.4600728415072538,6.014766846674798,0.6917192515085376
1-1.5,9598,0.6063763284017504,-3683.2866,-0.38375563659095646,6.864073124609294,1.1329808293394457
1.5-2,105,0.638095238095238,-36.9858,-0.3522457142857143,7.927479047619046,1.5749523809523807
