sportsbook,rows,unique_events,unique_players,markets,main_line_rows,alternate_line_rows
draftkings,4,1,1,player_pass_yds,2,2
fanduel,16,2,3,player_pass_yds|player_reception_yds|player_receptions|player_rush_yds,8,8
