sportsbook,season,week,requested_as_of,selected_captured_at,selected_raw_file,selected_processed_file,selection_status,exclusion_reason,snapshot_age_hours
draftkings,2026,1,2026-09-01T13:30:00-04:00,2026-09-01T13:00:00-04:00,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,data/processed/odds/odds_api/2026/week_01/20260901T130000_sample_odds_snapshot_odds_long.csv,selected,,0.5
fanduel,2026,1,2026-09-01T13:30:00-04:00,2026-09-01T13:00:00-04:00,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,data/processed/odds/odds_api/2026/week_01/20260901T130000_sample_odds_snapshot_odds_long.csv,selected,,0.5
