position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
OT,6.5,0.5442,-119,0.4558,+119,6.3316
EDGE,6.5,0.634,-173,0.366,+173,6.2178
WR,5.5,0.3232,+209,0.6768000000000001,-209,5.6438
CB,3.5,0.4518,+121,0.5482,-121,3.5758
S,2.5,0.3632,+175,0.6368,-175,2.621
LB,2.5,0.9608,-2451,0.03920000000000001,+2451,2.039
DT,1.5,0.3492,+186,0.6508,-186,1.6474107695481741
QB,1.5,0.8728,-686,0.12719999999999998,+686,1.1272
IOL,1.5,0.8894,-804,0.11060000000000003,+804,1.087528251489624
RB,1.5,0.9858,-6942,0.01419999999999999,+6942,1.0108368452739314
TE,1.5,0.7808,-356,0.21919999999999995,+356,1.0
