player,position,avg_pick
Fernando Mendoza,QB,1.0
David Bailey,EDGE,3.0378
Arvell Reese,LB,3.1278
Carnell Tate,WR,6.624249699879952
Sonny Styles,LB,6.890734440664398
Caleb Downs,S,8.758158158158158
Jeremiyah Love,RB,8.77082079068834
Mansoor Delane,CB,9.339071257005605
Jordyn Tyson,WR,9.533961130034061
Francis Mauigoa,OT,9.999399158822351
Rueben Bain,EDGE,10.548374146928944
Makai Lemon,WR,12.086991542488924
Olaivavega Ioane,IOL,14.381334981458592
Jermod McCoy,CB,15.01034191642043
Spencer Fano,OT,15.506016597510374
Drew Allar,QB,16.0
Dillon Thieneman,S,17.03361164632841
Keldric Faulk,EDGE,17.23938223938224
Kenyon Sadiq,TE,17.308657786885245
Monroe Freeling,OT,17.311764705882354
Kadyn Proctor,OT,18.80734139613834
Omar Cooper Jr.,WR,19.473916701724864
Akheem Mesidor,EDGE,19.647273507943325
Garrett Nussmeier,QB,20.0
Cole Payton,QB,21.0
Kevin Concepcion,WR,21.178849902534115
Blake Miller,OT,22.800803212851406
Denzel Boston,WR,23.087380844303222
Ty Simpson,QB,23.23137876386688
Emmanuel McNeil-Warren,S,23.398953184065135
Kayden McDonald,DT,24.223576283102883
Caleb Lomu,OT,24.78789938817131
Peter Woods,DT,25.667122164525825
Max Iheanachor,OT,26.533143939393938
T.J. Parker,EDGE,27.70746934225195
Emmanuel Pregnon,IOL,29.015037593984964
Caleb Banks,DT,29.102564102564102
Cashius Howell,EDGE,29.4389265885256
Colton Hood,CB,29.816478190630047
Chase Bisontis,IOL,29.84967320261438
Chris Johnson,CB,29.97594278283485
Jacob Rodriguez,LB,29.982758620689655
C.J. Allen,LB,30.0
Malachi Lawrence,EDGE,30.175459632294164
Brandon Cisse,CB,30.380281690140844
Avieon Terrell,CB,30.449290593799265
Zion Young,EDGE,30.565960912052116
Jadarian Price,RB,30.703703703703702
Christen Miller,DT,30.94736842105263
Anthony Hill Jr.,LB,31.0
R Mason Thomas,EDGE,31.070422535211268
Lee Hunter,DT,32.0
