position,avg_taken_round1,min,max
OT,6.3316,3,7
EDGE,6.2178,3,9
WR,5.6438,3,6
CB,3.5758,1,6
S,2.621,1,3
LB,2.039,1,4
DT,1.6474107695481741,1,3
QB,1.1272,1,2
IOL,1.087528251489624,1,3
RB,1.0108368452739314,1,2
TE,1.0,1,1
