player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
David Bailey,2.5,0.4496,+122,0.5504,-122,3.0378
Arvell Reese,2.5,0.4432,+126,0.5568,-126,3.1278
Carnell Tate,6.5,0.6376,-176,0.36240000000000006,+176,6.624249699879952
Sonny Styles,5.5,0.4912,+104,0.5087999999999999,-104,6.890734440664398
Caleb Downs,7.5,0.5484,-121,0.4516,+121,8.758158158158158
Jeremiyah Love,5.5,0.5402,-117,0.4598,+117,8.77082079068834
Mansoor Delane,8.5,0.4472,+124,0.5528,-124,9.339071257005605
Jordyn Tyson,8.5,0.4656,+115,0.5344,-115,9.533961130034061
Francis Mauigoa,8.5,0.4816,+108,0.5184,-108,9.999399158822351
Rueben Bain,8.5,0.4786,+109,0.5214,-109,10.548374146928944
Makai Lemon,11.5,0.5082,-103,0.4918,+103,12.086991542488924
Olaivavega Ioane,13.5,0.3626,+176,0.6374,-176,14.381334981458592
Jermod McCoy,14.5,0.474,+111,0.526,-111,15.01034191642043
Spencer Fano,13.5,0.5438,-119,0.45620000000000005,+119,15.506016597510374
Dillon Thieneman,17.5,0.2698,+271,0.7302,-271,17.03361164632841
Keldric Faulk,15.5,0.4446,+125,0.5554,-125,17.23938223938224
Kenyon Sadiq,16.5,0.5026,-101,0.49739999999999995,+101,17.308657786885245
Monroe Freeling,16.5,0.4422,+126,0.5578000000000001,-126,17.311764705882354
Kadyn Proctor,17.5,0.5434,-119,0.4566,+119,18.80734139613834
Omar Cooper Jr.,20.5,0.5204,-109,0.4796,+109,19.473916701724864
Akheem Mesidor,19.5,0.456,+119,0.544,-119,19.647273507943325
Garrett Nussmeier,16.5,0.0002,+499900,0.9998,-499900,20.0
Kevin Concepcion,22.5,0.512,-105,0.488,+105,21.178849902534115
Blake Miller,23.5,0.471,+112,0.529,-112,22.800803212851406
Denzel Boston,23.5,0.4654,+115,0.5346,-115,23.087380844303222
Ty Simpson,31.5,0.1222,+718,0.8778,-718,23.23137876386688
Emmanuel McNeil-Warren,25.5,0.5306,-113,0.46940000000000004,+113,23.398953184065135
Kayden McDonald,25.5,0.6096,-156,0.39039999999999997,+156,24.223576283102883
Caleb Lomu,24.5,0.5008,-100,0.4992,+100,24.78789938817131
Peter Woods,27.5,0.4786,+109,0.5214,-109,25.667122164525825
Max Iheanachor,27.5,0.4922,+103,0.5078,-103,26.533143939393938
T.J. Parker,28.5,0.4374,+129,0.5626,-129,27.70746934225195
Emmanuel Pregnon,31.5,0.0196,+5002,0.9804,-5002,29.015037593984964
Caleb Banks,31.5,0.0076,+13058,0.9924,-13058,29.102564102564102
Cashius Howell,31.5,0.5304,-113,0.4696,+113,29.4389265885256
Colton Hood,31.5,0.4228,+137,0.5771999999999999,-137,29.816478190630047
Chase Bisontis,31.5,0.0416,+2304,0.9584,-2304,29.84967320261438
Chris Johnson,31.5,0.4564,+119,0.5436000000000001,-119,29.97594278283485
Jacob Rodriguez,31.5,0.0104,+9515,0.9896,-9515,29.982758620689655
C.J. Allen,31.5,0.0238,+4102,0.9762,-4102,30.0
Malachi Lawrence,31.5,0.355,+182,0.645,-182,30.175459632294164
Brandon Cisse,31.5,0.0092,+10770,0.9908,-10770,30.380281690140844
Avieon Terrell,31.5,0.2146,+366,0.7854,-366,30.449290593799265
Zion Young,31.5,0.1834,+445,0.8166,-445,30.565960912052116
Jadarian Price,31.5,0.0038,+26216,0.9962,-26216,30.703703703703702
Christen Miller,31.5,0.0036,+27678,0.9964,-27678,30.94736842105263
R Mason Thomas,31.5,0.0104,+9515,0.9896,-9515,31.070422535211268
