player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jared Goff,10635,QB,DET,1,70.6,51,54,6.6,2.49,0,1,1.7,63.0,34,0,22,5.6,57,2,0.19,19,11,81.9,74.2,72.8,60.0,1,0,62,0,49.1,13.6,101.2,5.3,3,0,0,2,3,1,1.6,364,6.7
Tyler Shough,83537,QB,NO,1,73.3,45,49,7.4,2.43,0,1,2.0,65.3,32,0,12,3.0,54,1,0.03,16,20,81.0,60.4,61.6,52.3,1,0,55,0,42.6,25.0,89.5,5.6,3,2,1,2,1,0,0.0,308,6.3
Matthew Stafford,4924,QB,LA,1,71.7,46,49,9.7,2.82,1,5,9.8,59.2,29,0,22,12.1,51,4,0.5,17,26,80.8,79.9,80.1,52.3,2,0,53,1,49.0,0.0,110.7,0.0,0,2,0,0,3,1,1.9,457,9.3
Bo Nix,97790,QB,DEN,1,69.8,43,47,10.2,2.93,1,2,4.3,59.6,28,0,20,6.7,50,2,0.03,14,10,35.6,55.0,60.8,34.5,2,1,51,0,48.0,5.0,81.2,2.0,1,1,0,1,1,2,3.9,352,7.5
Drake Maye,143969,QB,NE,1,73.8,42,44,10.7,3.33,0,2,4.3,70.5,31,0,22,0.0,50,0,0.24,17,19,38.4,69.9,69.2,61.7,0,1,53,0,54.0,13.6,102.5,6.0,3,3,0,2,2,3,5.7,380,8.6
Aaron Rodgers,2241,QB,PIT,1,78.4,37,41,8.1,2.52,1,2,4.4,65.9,27,0,7,6.9,45,2,0.14,14,25,80.3,81.0,81.9,51.1,0,0,49,0,42.2,28.6,92.1,4.4,2,2,0,3,1,0,0.0,266,6.5
Trevor Lawrence,77632,QB,JAX,1,75.0,32,36,8.0,3.23,1,2,5.3,63.9,23,0,21,4.2,44,1,0.18,14,15,80.6,81.8,76.0,78.3,1,0,46,0,45.5,23.8,115.4,11.4,5,2,0,2,3,0,0.0,279,7.8
Philip Rivers,1725,QB,IND,1,67.6,34,35,10.4,2.41,1,2,5.4,65.7,23,0,12,0.0,37,0,0.0,13,14,28.0,49.6,49.6,,0,1,39,0,59.5,16.7,97.0,5.4,2,0,0,0,2,2,5.1,277,7.9
Kirk Cousins,7102,QB,ATL,1,71.9,32,35,5.2,2.51,1,0,0.0,60.0,21,0,12,8.7,36,2,0.21,11,2,79.6,79.3,77.3,65.0,0,1,38,0,44.4,8.3,82.7,2.8,1,0,0,2,2,0,0.0,197,5.6
C.J. Stroud,129759,QB,HST,1,69.7,33,35,8.1,2.59,0,1,2.6,65.7,23,0,7,0.0,36,0,0.05,10,13,42.2,72.3,76.3,39.7,1,0,40,0,44.4,0.0,88.6,0.0,0,1,0,1,1,0,0.0,187,5.3
Brady Cook,124199,QB,NYJ,1,68.8,32,35,4.9,2.65,2,0,0.0,62.9,22,0,11,0.0,44,0,-0.53,6,22,29.5,28.5,29.0,53.2,0,1,45,0,25.0,72.7,64.9,18.2,8,1,0,1,0,2,4.4,188,5.4
