player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Chris Olave,84355,WR,NO,1,15.6,1,62.5,50.0,1,2,0,0.0,0,7,20,0,78.0,71.1,77.4,,78.3,0.0,0,0,38,0.0,0,48,0,10,100.0,48,43.8,21,132.3,16,2,56.3,27,148,32,3.2,14.8,3.08
Puka Nacua,100632,WR,LA,1,9.8,3,75.0,50.0,1,2,0,0.0,0,7,26,0,79.4,71.9,92.5,,92.6,2.2,1,0,58,0.0,0,46,0,12,97.8,45,26.1,12,156.3,16,2,67.4,31,225,125,10.4,18.8,5.0
Jahmyr Gibbs,122474,HB,DET,1,1.6,3,76.9,,0,0,0,9.1,1,3,11,0,58.5,23.7,56.4,51.5,65.9,0.0,0,0,16,19.6,11,56,0,10,75.0,42,12.5,7,113.0,13,1,8.9,5,66,50,5.0,6.6,1.57
A.J. Brown,48327,WR,PHI,1,7.6,2,75.0,66.7,2,3,0,0.0,0,6,24,0,77.3,70.6,78.3,,77.3,0.0,0,0,24,0.0,0,40,0,9,92.5,37,20.0,8,97.6,12,0,80.0,32,95,46,5.1,10.6,2.57
Jaxon Smith-Njigba,129758,WR,SEA,1,9.7,1,66.7,50.0,1,2,0,0.0,0,5,29,0,76.5,70.1,78.4,,77.7,0.0,0,1,27,0.0,0,47,0,8,89.4,42,19.1,9,84.0,12,1,74.5,35,96,35,4.4,12.0,2.29
Ja'Marr Chase,84270,WR,CIN,1,7.4,0,81.8,50.0,1,2,0,0.0,0,6,7,0,77.3,70.6,84.0,,82.5,0.0,0,0,36,0.0,0,34,0,9,100.0,34,41.2,14,108.0,11,0,58.8,20,109,36,4.0,12.1,3.21
Courtland Sutton,48164,WR,DEN,1,20.1,0,54.5,75.0,3,4,0,0.0,0,5,10,0,74.6,68.8,78.7,,76.0,0.0,0,0,21,0.0,0,48,0,6,97.9,47,18.8,9,110.4,11,1,81.3,39,86,7,1.2,14.3,1.83
Stefon Diggs,9579,WR,NE,1,8.9,4,90.0,50.0,1,2,0,0.0,0,7,19,0,77.3,70.6,88.6,,85.8,0.0,0,0,33,0.0,0,43,0,9,93.0,40,69.8,30,118.8,10,0,30.2,13,138,53,5.9,15.3,3.45
Bijan Robinson,123126,HB,ATL,1,-0.3,3,70.0,,0,0,0,12.5,1,3,2,0,52.1,77.4,64.1,78.1,62.9,0.0,0,0,41,5.7,2,35,0,7,88.6,31,22.9,8,132.1,10,1,11.4,4,92,109,15.6,13.1,2.97
Tetairoa McMillan,158735,WR,CAR,1,12.9,1,60.0,25.0,1,4,0,0.0,0,4,5,0,74.6,68.8,85.3,,84.2,0.0,0,0,22,0.0,0,32,0,6,100.0,32,34.4,11,115.8,10,1,65.6,21,73,15,2.5,12.2,2.28
Parker Washington,129799,WR,JAX,1,13.1,3,66.7,100.0,3,3,0,14.3,1,5,15,0,49.2,71.6,89.6,,87.9,0.0,0,0,63,0.0,0,32,0,6,96.9,31,75.0,24,146.8,9,1,25.0,8,145,92,15.3,24.2,4.68
Amon-Ra St. Brown,84470,WR,DET,1,3.8,3,44.4,0.0,0,3,0,20.0,1,2,11,0,52.1,69.5,62.2,,60.5,0.0,0,0,24,0.0,0,61,1,4,91.8,56,57.4,35,64.1,9,0,42.6,26,54,48,12.0,13.5,0.96
D.K. Metcalf,47864,WR,PIT,1,10.3,1,44.4,0.0,0,1,0,20.0,1,2,25,0,49.2,68.8,58.5,,59.0,0.0,0,0,20,0.0,0,43,1,4,93.0,40,25.6,11,58.6,9,0,74.4,32,42,19,4.8,10.5,1.05
George Pickens,99229,WR,DAL,1,13.7,0,77.8,75.0,3,4,0,0.0,0,5,9,0,75.6,69.5,84.7,,83.1,0.0,0,0,38,0.0,0,36,0,7,97.2,35,8.3,3,155.8,9,1,91.7,33,130,27,3.9,18.6,3.71
Juwan Johnson,28305,TE,NO,1,6.4,1,88.9,100.0,3,3,0,0.0,0,4,20,0,76.5,70.1,66.0,64.9,70.9,21.1,8,0,31,2.6,1,38,0,8,97.4,37,47.4,18,107.9,9,0,31.6,12,89,35,4.4,11.1,2.41
Mike Evans,8642,WR,TB,1,8.4,0,55.6,33.3,1,3,0,0.0,0,2,30,0,73.4,68.0,65.3,,64.7,0.0,0,1,12,0.0,0,27,0,5,88.9,24,29.6,8,60.2,9,1,70.4,19,31,2,0.4,6.2,1.29
Jaylen Waddle,84088,WR,MIA,1,12.8,2,55.6,0.0,0,1,0,0.0,0,4,17,1,73.4,16.0,70.8,,70.0,0.0,0,1,21,0.0,0,25,0,5,96.0,24,28.0,7,42.1,9,0,72.0,18,72,26,5.2,14.4,3.0
Jameson Williams,101701,WR,DET,1,13.7,1,55.6,100.0,1,1,0,0.0,0,3,11,0,73.4,68.0,59.4,,61.0,0.0,0,0,21,0.0,0,60,0,5,91.7,55,21.7,13,80.8,9,0,78.3,47,70,3,0.6,14.0,1.27
Mack Hollins,11873,WR,NE,1,11.6,0,77.8,,0,0,0,0.0,0,3,19,0,75.6,69.5,65.0,,62.9,0.0,0,0,20,0.0,0,37,0,7,94.6,35,32.4,12,98.6,9,0,67.6,25,69,7,1.0,9.9,1.97
