position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.619,-162,0.381,+162,6.2516
OT,5.5,0.2548,+292,0.7452,-292,5.9438
WR,5.5,0.3588,+179,0.6412,-179,5.597
CB,3.5,0.4834,+107,0.5166,-107,3.5204
S,2.5,0.3048,+228,0.6952,-228,2.67873574714943
LB,2.5,0.8198,-455,0.18020000000000003,+455,2.1636
DT,1.5,0.3146,+218,0.6854,-218,1.7826887661141806
IOL,1.5,0.736,-279,0.264,+279,1.2296954314720812
QB,1.5,0.8696,-667,0.13039999999999996,+667,1.1306
RB,1.5,0.9806,-5055,0.019399999999999973,+5055,1.0164493480441323
TE,1.5,0.7962,-391,0.20379999999999998,+391,1.0
