pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
16,Sonny Styles,0.04,0.0,0.04,0.04,v1,2026-04-17T08:11:29,,
20,Sonny Styles,0.04,0.0,0.04,0.04,v1,2026-04-17T08:11:29,,
7,Makai Lemon,0.0672,0.0280122173619287,0.039187782638071295,0.039187782638071295,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
28,Olaivavega Ioane,0.039,0.0,0.039,0.039,v1,2026-04-17T08:11:29,,
22,Cashius Howell,0.0388,0.0,0.0388,0.0388,v1,2026-04-17T08:11:29,,
20,Omar Cooper Jr.,0.0386,0.0,0.0386,0.0386,v1,2026-04-17T08:11:29,,
30,Chris Johnson,0.0382,0.0,0.0382,0.0382,v1,2026-04-17T08:11:29,,
17,Peter Woods,0.038,0.0,0.038,0.038,v1,2026-04-17T08:11:29,,
8,Caleb Downs,0.0286,0.0660433150977046,-0.0374433150977046,0.0374433150977046,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
20,Kadyn Proctor,0.0372,0.0,0.0372,0.0372,v1,2026-04-17T08:11:29,,
28,Avieon Terrell,0.0372,0.0,0.0372,0.0372,v1,2026-04-17T08:11:29,,
18,Avieon Terrell,0.0368,0.0,0.0368,0.0368,v1,2026-04-17T08:11:29,,
3,Rueben Bain Jr.,0.0,0.0365853132051698,-0.0365853132051698,0.0365853132051698,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
9,Makai Lemon,0.0666,0.030146512348588,0.03645348765141201,0.03645348765141201,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
15,Rueben Bain,0.0362,0.0,0.0362,0.0362,v1,2026-04-17T08:11:29,,
28,Monroe Freeling,0.0358,0.0,0.0358,0.0358,v1,2026-04-17T08:11:29,,
6,Jeremiyah Love,0.0576,0.0221259488994044,0.035474051100595594,0.035474051100595594,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
9,Spencer Fano,0.1308,0.0954639557705289,0.035336044229471106,0.035336044229471106,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
16,Makai Lemon,0.0352,0.0,0.0352,0.0352,v1,2026-04-17T08:11:29,,
13,Sonny Styles,0.035,0.0,0.035,0.035,v1,2026-04-17T08:11:29,,
28,Spencer Fano,0.035,0.0,0.035,0.035,v1,2026-04-17T08:11:29,,
2,Rueben Bain,0.0346,0.0,0.0346,0.0346,v1,2026-04-17T08:11:29,,
14,Monroe Freeling,0.0344,0.0,0.0344,0.0344,v1,2026-04-17T08:11:29,,
22,Kayden McDonald,0.0344,0.0,0.0344,0.0344,v1,2026-04-17T08:11:29,,
22,Olaivavega Ioane,0.0344,0.0,0.0344,0.0344,v1,2026-04-17T08:11:29,,
26,Zion Young,0.0344,0.0,0.0344,0.0344,v1,2026-04-17T08:11:29,,
7,David Bailey,0.057,0.0226252524846347,0.0343747475153653,0.0343747475153653,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
13,Omar Cooper Jr.,0.0342,0.0,0.0342,0.0342,v1,2026-04-17T08:11:29,,
16,Dillon Thieneman,0.0342,0.0,0.0342,0.0342,v1,2026-04-17T08:11:29,,
