position,avg_taken_round1,min,max
EDGE,6.2516,3,9
OT,5.9438,3,7
WR,5.597,3,6
CB,3.5204,1,6
S,2.67873574714943,1,3
LB,2.1636,1,4
DT,1.7826887661141806,1,4
IOL,1.2296954314720812,1,3
QB,1.1306,1,3
RB,1.0164493480441323,1,2
TE,1.0,1,1
