team,position,count,probability,moneyline
ARI,OT,1689,0.3378,+196
ARI,LB,1562,0.3124,+220
ARI,EDGE,1440,0.288,+247
ARI,RB,157,0.0314,+3085
ARI,WR,82,0.0164,+5998
ARI,CB,49,0.0098,+10104
ARI,S,21,0.0042,+23710
BAL,WR,1953,0.3906,+156
BAL,IOL,1201,0.2402,+316
BAL,TE,535,0.107,+835
BAL,OT,503,0.1006,+894
BAL,EDGE,362,0.0724,+1281
BAL,RB,129,0.0258,+3776
BAL,S,123,0.0246,+3965
BAL,CB,121,0.0242,+4032
BAL,LB,71,0.0142,+6942
BAL,QB,2,0.0004,+249900
BUF,EDGE,1660,0.332,+201
BUF,WR,1519,0.3038,+229
BUF,DT,714,0.1428,+600
BUF,OT,287,0.0574,+1642
BUF,IOL,246,0.0492,+1933
BUF,S,214,0.0428,+2236
BUF,CB,181,0.0362,+2662
BUF,LB,117,0.0234,+4174
BUF,TE,26,0.0052,+19131
BUF,QB,19,0.0038,+26216
BUF,RB,17,0.0034,+29312
CAR,EDGE,1363,0.2726,+267
CAR,WR,1083,0.2166,+362
CAR,TE,947,0.1894,+428
CAR,OT,831,0.1662,+502
CAR,DT,263,0.0526,+1801
CAR,S,206,0.0412,+2327
CAR,CB,171,0.0342,+2824
CAR,RB,60,0.012,+8233
CAR,LB,39,0.0078,+12721
CAR,IOL,35,0.007,+14186
CAR,QB,2,0.0004,+249900
CHI,DT,2439,0.4878,+105
CHI,S,1014,0.2028,+393
CHI,CB,416,0.0832,+1102
CHI,OT,391,0.0782,+1179
CHI,WR,305,0.061,+1539
CHI,EDGE,266,0.0532,+1780
CHI,LB,49,0.0098,+10104
CHI,IOL,35,0.007,+14186
CHI,TE,35,0.007,+14186
CHI,RB,29,0.0058,+17141
CHI,QB,21,0.0042,+23710
CIN,S,2070,0.414,+142
CIN,LB,762,0.1524,+556
CIN,OT,718,0.1436,+596
CIN,CB,392,0.0784,+1176
CIN,WR,341,0.0682,+1366
CIN,IOL,296,0.0592,+1589
CIN,EDGE,212,0.0424,+2258
CIN,RB,141,0.0282,+3446
CIN,TE,66,0.0132,+7476
CIN,QB,2,0.0004,+249900
CLE,OT,3695,0.739,-283
CLE,WR,3672,0.7344,-277
CLE,EDGE,661,0.1322,+656
CLE,CB,371,0.0742,+1248
CLE,RB,338,0.0676,+1379
CLE,S,316,0.0632,+1482
CLE,LB,314,0.0628,+1492
CLE,IOL,244,0.0488,+1949
CLE,DT,216,0.0432,+2215
CLE,QB,130,0.026,+3746
CLE,TE,43,0.0086,+11528
DAL,CB,3148,0.6296,-170
DAL,EDGE,1859,0.3718,+169
DAL,S,1523,0.3046,+228
DAL,OT,1268,0.2536,+294
DAL,WR,642,0.1284,+679
DAL,LB,588,0.1176,+750
DAL,DT,478,0.0956,+946
DAL,RB,195,0.039,+2464
DAL,IOL,152,0.0304,+3189
DAL,TE,143,0.0286,+3397
DAL,QB,4,0.0008,+124900
DET,OT,3605,0.721,-258
DET,EDGE,367,0.0734,+1262
DET,S,232,0.0464,+2055
DET,WR,195,0.039,+2464
DET,DT,190,0.038,+2532
DET,TE,131,0.0262,+3717
DET,IOL,95,0.019,+5163
DET,RB,77,0.0154,+6394
DET,CB,63,0.0126,+7837
DET,LB,45,0.009,+11011
HOU,OT,1715,0.343,+192
HOU,DT,1689,0.3378,+196
HOU,CB,350,0.07,+1329
HOU,EDGE,346,0.0692,+1345
HOU,IOL,312,0.0624,+1503
HOU,WR,223,0.0446,+2142
HOU,LB,120,0.024,+4067
HOU,RB,102,0.0204,+4802
HOU,S,55,0.011,+8991
HOU,QB,45,0.009,+11011
HOU,TE,43,0.0086,+11528
KC,CB,2813,0.5626,-129
KC,EDGE,2787,0.5574,-126
KC,OT,1806,0.3612,+177
KC,WR,1240,0.248,+303
KC,S,788,0.1576,+535
KC,LB,189,0.0378,+2546
KC,DT,159,0.0318,+3045
KC,IOL,68,0.0136,+7253
KC,RB,60,0.012,+8233
KC,TE,55,0.011,+8991
KC,QB,35,0.007,+14186
LAC,EDGE,1759,0.3518,+184
LAC,WR,1343,0.2686,+272
LAC,DT,630,0.126,+694
LAC,S,594,0.1188,+742
LAC,OT,332,0.0664,+1406
LAC,IOL,172,0.0344,+2807
LAC,CB,97,0.0194,+5055
LAC,LB,24,0.0048,+20733
LAC,RB,22,0.0044,+22627
LAC,TE,20,0.004,+24900
LAC,QB,7,0.0014,+71329
LAR,OT,2163,0.4326,+131
LAR,WR,2071,0.4142,+141
LAR,LB,180,0.036,+2678
LAR,EDGE,141,0.0282,+3446
LAR,S,106,0.0212,+4617
LAR,TE,88,0.0176,+5582
LAR,RB,85,0.017,+5782
