pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,5,4,2
3,11,7,6,3
4,12,8,6,6
5,13,10,8,6
6,17,11,9,5
7,17,11,9,6
8,18,10,8,6
9,19,12,10,7
10,21,14,9,3
11,23,12,9,5
12,24,15,8,4
13,26,9,8,4
14,26,13,6,5
15,26,8,6,5
16,31,17,12,5
17,26,12,7,6
18,28,11,6,3
19,29,18,8,5
20,29,18,12,7
21,36,12,10,8
22,36,14,11,7
23,32,13,10,6
24,38,17,9,6
25,37,11,5,3
26,38,15,8,6
27,40,16,13,7
28,41,15,12,4
29,41,17,7,6
30,43,17,11,6
31,43,19,9,7
32,44,14,9,4
