player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.2568
David Bailey,EDGE,3.4588
Carnell Tate,WR,6.0884
Francis Mauigoa,OT,7.117223444688938
Rueben Bain,EDGE,8.060436261757054
Sonny Styles,LB,9.116960262187629
Mansoor Delane,CB,9.851985559566787
Jeremiyah Love,RB,9.876330054205983
Caleb Downs,S,10.333063537029542
Makai Lemon,WR,11.304251460809994
Jermod McCoy,CB,12.32150821001419
Jordyn Tyson,WR,13.153424100792522
Spencer Fano,OT,15.131840796019901
Monroe Freeling,OT,15.602745424292845
Olaivavega Ioane,IOL,16.453098106712563
Dillon Thieneman,S,17.411149032992036
Kenyon Sadiq,TE,17.57940446650124
Keldric Faulk,EDGE,17.602595797280593
Drew Allar,QB,17.666666666666668
Akheem Mesidor,EDGE,18.93824576093783
Garrett Nussmeier,QB,19.0
Kadyn Proctor,OT,19.09371578716882
Omar Cooper Jr.,WR,19.786304347826086
Emmanuel McNeil-Warren,S,21.14690909090909
Blake Miller,OT,22.38679477703868
Caleb Lomu,OT,22.879261051242576
Kevin Concepcion,WR,23.385267857142857
Ty Simpson,QB,23.630026809651476
Peter Woods,DT,24.28146611341632
Avieon Terrell,CB,25.104074889867842
Denzel Boston,WR,26.462570621468927
T.J. Parker,EDGE,26.490361706735975
Kayden McDonald,DT,26.51333516634589
Cashius Howell,EDGE,28.738041516245488
Max Iheanachor,OT,28.8717277486911
Caleb Banks,DT,28.89108910891089
Emmanuel Pregnon,IOL,29.43154761904762
C.J. Allen,LB,29.737354085603112
Jadarian Price,RB,29.789473684210527
Chase Bisontis,IOL,30.165745856353592
Jacob Rodriguez,LB,30.263157894736842
Zion Young,EDGE,30.304931109499638
Colton Hood,CB,30.360902255639097
Christen Miller,DT,30.791666666666668
Malachi Lawrence,EDGE,30.816976127320956
Anthony Hill Jr.,LB,31.125
R Mason Thomas,EDGE,31.144329896907216
Chris Johnson,CB,31.222731439046747
Brandon Cisse,CB,31.419871794871796
Lee Hunter,DT,32.0
