Player (413),Pos,Age,YOE,Prev Team,Prev AAV,Type,Market ValueAAV
Jerome Baker,LB,29.2,8,CLE,"$1,422,500",UFA,"$1,733,720"
Carson Wentz,QB,33.2,10,MIN,"$1,422,500",UFA,
Brandon Allen,QB,33.5,9,TEN,"$1,422,500",UFA,
Michael Burton,FB,34.1,11,DEN,"$1,422,500",UFA,
JuJu Smith-Schuster,WR,29.2,9,KC,"$1,422,500",UFA,"$2,156,402"
Deandre Carter,WR,32.9,8,CLE,"$1,422,500",UFA,"$1,439,436"
Jihad Ward,DL,31.8,10,TEN,"$1,405,000",UFA,"$4,079,489"
Kayode Awosika,G,27.3,4,DET,"$1,400,000",UFA,"$2,860,588"
Joshua Ezeudu,G,26.4,4,NYG,"$1,371,381",UFA,"$1,632,973"
Martin Emerson,CB,25.4,4,CLE,"$1,367,822",UFA,
Artie Burns,CB,30.8,10,MIA,"$1,355,000",UFA,
Stone Smartt,TE,27.4,4,NYJ,"$1,350,000",UFA,"$1,424,723"
Victor Dimukeje,ED,26.2,5,NYG,"$1,337,500",UFA,"$1,106,472"
Fred Johnson,LT,28.8,7,PHI,"$1,337,500",UFA,"$1,509,370"
Kindle Vildor,CB,28.2,6,TB,"$1,337,500",UFA,"$1,586,992"
Demetrius Flannigan-Fowles,LB,29.5,6,NYG,"$1,337,500",UFA,"$1,991,214"
Alexander Mattison,RB,27.7,7,MIA,"$1,337,500",UFA,"$1,444,736"
A.J. Dillon,RB,27.8,6,PHI,"$1,337,500",UFA,"$1,094,614"
Miles Sanders,RB,28.8,7,DAL,"$1,337,500",UFA,"$1,753,748"
Jeremy McNichols,RB,30.2,5,WAS,"$1,337,500",UFA,"$2,636,465"
Scotty Miller,WR,28.6,7,PIT,"$1,337,500",UFA,"$1,639,305"
Aaron Stinnie,G,32,8,NYG,"$1,337,500",UFA,"$1,562,699"
Ben Bartch,G,27.6,6,SF,"$1,337,500",UFA,"$2,380,701"
David Quessenberry,RT,35.5,8,LAR,"$1,330,000",UFA,
Nick McCloud,CB,27.7,5,CHI,"$1,320,000",UFA,"$1,638,971"
Blake Hance,G,30.2,5,TEN,"$1,320,000",UFA,"$1,435,940"
DeAngelo Malone,LB,26.7,4,ATL,"$1,307,396",UFA,"$1,362,156"
Jack Gibbens,LB,27.2,3,NE,"$1,300,000",UFA,
Joey Slye,K,29.9,7,TEN,"$1,295,000",UFA,"$5,068,563"
Dylan Parham,G,26.5,4,LV,"$1,282,857",UFA,"$10,063,467"
Ugo Amadi,S,28.8,7,NO,"$1,280,000",UFA,
Jacob Bobenmoyer,LS,28.8,6,LV,"$1,271,667",UFA,
D'Wayne Eskridge,WR,28.9,5,MIA,"$1,270,000",UFA,"$1,244,901"
Brian Robinson,RB,26.9,4,SF,"$1,261,227",UFA,"$3,073,758"
Ogbonnia Okoronkwo,ED,30.8,8,PHI,"$1,255,000",UFA,"$1,853,248"
Tony Jefferson,SS,34.1,11,LAC,"$1,255,000",UFA,"$3,946,779"
Sheldon Day,DL,31.7,9,WAS,"$1,255,000",UFA,"$2,317,752"
Mike Pennel,DL,34.8,11,KC,"$1,255,000",UFA,"$1,772,065"
Jordan Phillips,DL,33.4,11,BUF,"$1,255,000",UFA,"$1,052,945"
Brent Urban,DL,34.8,12,BAL,"$1,255,000",UFA,"$1,720,026"
Taven Bryan,DL,30,8,BAL,"$1,255,000",UFA,"$1,084,899"
Eddie Goldman,DL,32.2,9,WAS,"$1,255,000",UFA,"$1,474,609"
George Fant,RT,33.6,10,WAS,"$1,255,000",UFA,
Jake McQuaide,LS,38.2,15,LAR,"$1,255,000",UFA,
Aaron Brewer,LS,35.7,14,ARI,"$1,255,000",UFA,
Matt Haack,P,31.6,7,ARI,"$1,255,000",UFA,
Thomas Morstead,P,40,17,SF,"$1,255,000",UFA,
Matt Prater,K,41.6,18,BUF,"$1,255,000",UFA,"$1,518,131"
J.T. Gray,S,30.1,8,TB,"$1,255,000",UFA,
Terrell Edmunds,S,29.1,7,LV,"$1,255,000",UFA,
George Odum,S,32.3,8,IND,"$1,255,000",UFA,
Ronnie Harrison,S,28.8,8,ATL,"$1,255,000",UFA,"$1,479,550"
Jordan Poyer,S,34.8,13,BUF,"$1,255,000",UFA,"$1,284,130"
Jabrill Peppers,S,30.4,9,PIT,"$1,255,000",UFA,"$1,387,831"
Jamal Adams,S,30.3,8,LV,"$1,255,000",UFA,"$1,163,907"
Deon Bush,S,32.6,9,KC,"$1,255,000",UFA,
Jalen Mills,CB,31.9,10,DET,"$1,255,000",UFA,"$1,297,105"
Antonio Hamilton,CB,33.1,10,WAS,"$1,255,000",UFA,
Fabian Moreau,CB,31.9,9,MIN,"$1,255,000",UFA,"$1,125,645"
Arthur Maulet,CB,32.7,9,DET,"$1,255,000",UFA,
Michael Davis,CB,31.2,9,NO,"$1,255,000",UFA,
C.J. Goodwin,CB,36.1,10,DAL,"$1,255,000",UFA,
Ahkello Witherspoon,CB,30.9,9,LAR,"$1,255,000",UFA,"$1,403,453"
Preston Smith,LB,33.2,11,WAS,"$1,255,000",UFA,"$2,200,887"
Anthony Walker Jr.,LB,30.6,8,TB,"$1,255,000",UFA,"$2,566,416"
Neville Hewitt,LB,32.9,11,NYG,"$1,255,000",UFA,"$970,249"
Shaq Thompson,LB,31.8,11,BUF,"$1,255,000",UFA,"$2,396,249"
Zach Cunningham,LB,31.2,9,DET,"$1,255,000",UFA,
Deion Jones,LB,31.3,9,TB,"$1,255,000",UFA,
Ezekiel Turner,LB,29.8,8,DET,"$1,255,000",UFA,"$2,051,750"
Ameer Abdullah,RB,32.8,11,IND,"$1,255,000",UFA,"$1,969,186"
Chris Moore,WR,32.8,9,WAS,"$1,255,000",UFA,"$1,247,234"
