position,avg_taken_round1,min,max
EDGE,6.244,3,8
OT,6.0136,3,7
WR,5.6728,3,6
CB,3.6364,1,6
S,2.6868,1,3
LB,2.0654,1,4
DT,1.6837008036266228,1,3
IOL,1.145599346538697,1,3
QB,1.0746,1,2
RB,1.0052125100240576,1,2
TE,1.0,1,1
