player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
David Bailey,2.5,0.4486,+123,0.5514,-123,3.188
Arvell Reese,2.5,0.4392,+128,0.5608,-128,3.3062
Carnell Tate,5.5,0.4338,+131,0.5662,-131,5.825
Francis Mauigoa,5.5,0.5114,-105,0.48860000000000003,+105,6.747
Sonny Styles,7.5,0.5408,-118,0.45920000000000005,+118,8.590210355987056
Jeremiyah Love,5.5,0.535,-115,0.46499999999999997,+115,8.932838813151564
Mansoor Delane,8.5,0.4902,+104,0.5098,-104,9.293234587670137
Caleb Downs,9.5,0.45,+122,0.55,-122,9.651536453103033
Rueben Bain,8.5,0.5978,-149,0.4022,+149,9.713141025641026
Makai Lemon,11.5,0.5246,-110,0.47540000000000004,+110,12.154139871382636
Jordyn Tyson,12.5,0.4074,+145,0.5926,-145,12.518913480885312
Jermod McCoy,12.5,0.6834,-216,0.3166,+216,13.530700847632831
Spencer Fano,13.5,0.599,-149,0.401,+149,14.511737089201878
Olaivavega Ioane,14.5,0.6008,-151,0.3992,+151,15.400082321465321
Monroe Freeling,16.5,0.4826,+107,0.5174000000000001,-107,16.479034567396194
Keldric Faulk,16.5,0.5556,-125,0.4444,+125,17.370987403494514
Dillon Thieneman,18.5,0.7304,-271,0.26959999999999995,+271,17.47739447182344
Kenyon Sadiq,18.5,0.4422,+126,0.5578000000000001,-126,17.854850129808828
Kadyn Proctor,17.5,0.5432,-119,0.4568,+119,18.953108645593467
Garrett Nussmeier,16.5,0.0002,+499900,0.9998,-499900,19.333333333333332
Omar Cooper Jr.,20.5,0.4948,+102,0.5052,-102,19.607579208945953
Akheem Mesidor,19.5,0.4482,+123,0.5518000000000001,-123,19.831954169318905
Emmanuel McNeil-Warren,23.5,0.4942,+102,0.5058,-102,21.59820485744456
Blake Miller,23.5,0.5064,-103,0.49360000000000004,+103,22.86046511627907
Caleb Lomu,23.5,0.4686,+113,0.5314,-113,23.13620962276937
Kevin Concepcion,24.5,0.54,-117,0.45999999999999996,+117,23.807326686760955
Ty Simpson,31.5,0.0662,+1411,0.9338,-1411,23.94550408719346
Peter Woods,25.5,0.518,-107,0.482,+107,24.919757759273278
Avieon Terrell,29.5,0.5928,-146,0.4072,+146,25.40139275766017
Denzel Boston,26.5,0.4582,+118,0.5418000000000001,-118,26.39803554724041
Kayden McDonald,27.5,0.4122,+143,0.5878,-143,26.562982689747002
T.J. Parker,27.5,0.5518,-123,0.44820000000000004,+123,26.690255969025596
Max Iheanachor,31.5,0.4124,+142,0.5876,-142,28.869339622641508
Caleb Banks,31.5,0.0802,+1147,0.9198,-1147,28.93062200956938
Cashius Howell,30.5,0.4878,+105,0.5122,-105,29.122499382563596
C.J. Allen,31.5,0.0596,+1578,0.9404,-1578,29.49014084507042
Emmanuel Pregnon,31.5,0.0498,+1908,0.9502,-1908,29.529411764705884
Jadarian Price,31.5,0.0036,+27678,0.9964,-27678,29.576923076923077
Colton Hood,31.5,0.3788,+164,0.6212,-164,30.308275862068964
Chase Bisontis,31.5,0.0462,+2065,0.9538,-2065,30.32134831460674
Zion Young,31.5,0.2946,+239,0.7054,-239,30.35530821917808
Jacob Rodriguez,31.5,0.0046,+21639,0.9954,-21639,30.52
Malachi Lawrence,31.5,0.042,+2281,0.958,-2281,30.72608695652174
Christen Miller,31.5,0.006,+16567,0.994,-16567,30.848484848484848
Chris Johnson,31.5,0.1216,+722,0.8784,-722,31.069993913572734
R Mason Thomas,31.5,0.0132,+7476,0.9868,-7476,31.1010101010101
Brandon Cisse,31.5,0.0124,+7965,0.9876,-7965,31.180555555555557
Anthony Hill Jr.,31.5,0.0004,+249900,0.9996,-249900,31.333333333333332
