position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.6298,-170,0.3702,+170,6.244
OT,6.5,0.7512,-302,0.24880000000000002,+302,6.0136
WR,5.5,0.3022,+231,0.6978,-231,5.6728
CB,3.5,0.4148,+141,0.5851999999999999,-141,3.6364
S,2.5,0.3022,+231,0.6978,-231,2.6868
LB,2.5,0.9246,-1226,0.07540000000000002,+1226,2.0654
DT,1.5,0.3514,+185,0.6486000000000001,-185,1.6837008036266228
IOL,1.5,0.8404,-527,0.15959999999999996,+527,1.145599346538697
QB,1.5,0.9254,-1240,0.0746,+1240,1.0746
RB,1.5,0.9924,-13058,0.007600000000000051,+13058,1.0052125100240576
TE,1.5,0.8474,-555,0.15259999999999996,+555,1.0
