player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Quinshon Judkins,157128,HB,CLV,1,25,6,2,75.0,63,0,84,0,0,6,95,91.2,2,5,8,0,19,78.6,74.6,76.0,,65.8,53.4,72.2,85.0,46,0,0,0,9,26,0,0,0,25,3,84,95,3.8,3.4,0.0,5
Christian McCaffrey,11763,HB,SF,1,24,3,2,23.3,30,0,129,1,1,3,68,36.6,7,9,28,0,12,79.0,84.2,75.7,,20.0,88.1,80.2,60.0,15,0,72,7,21,26,0,0,8,31,2,129,68,2.83,5.4,3.43,12
D'Andre Swift,57212,HB,CHI,1,19,2,3,44.4,55,0,124,0,0,2,63,33.2,5,6,6,0,8,77.1,83.6,76.6,,76.6,71.2,81.0,,23,0,14,1,14,19,0,0,1,20,1,124,63,3.32,6.5,1.0,11
Javonte Williams,77803,HB,DAL,1,19,8,2,43.1,50,0,116,0,0,8,99,208.4,2,4,9,0,12,77.0,80.9,75.9,,78.9,53.7,83.7,60.0,33,0,2,1,21,20,0,0,3,20,1,116,99,5.21,6.1,0.1,7
Rhamondre Stevenson,98689,HB,NE,1,18,6,1,18.2,16,0,88,0,1,6,62,120.6,3,5,19,0,5,76.9,68.7,76.2,,82.7,53.5,70.7,,16,0,0,2,25,18,0,0,2,20,1,88,62,3.44,4.9,0.0,13
Saquon Barkley,45791,HB,PHI,1,18,3,0,0.0,0,1,44,0,0,3,41,36.0,0,2,24,0,5,77.0,64.1,75.6,,62.9,58.1,63.7,60.0,9,1,-2,1,8,21,0,0,1,19,0,44,41,2.28,2.4,-0.25,13
Kenneth Walker III,97199,HB,SEA,1,17,3,1,24.2,16,0,66,0,0,3,43,44.6,2,1,29,0,9,76.5,52.7,75.2,,66.3,52.0,54.6,,16,0,0,0,12,18,0,0,0,17,0,66,43,2.53,3.9,0.0,6
Jahmyr Gibbs,122474,HB,DET,1,17,9,2,68.4,93,0,136,0,2,9,43,139.1,3,5,11,0,5,76.7,81.9,75.0,,38.5,84.8,79.0,60.0,78,0,82,3,15,18,0,0,3,20,2,136,43,2.53,8.0,5.47,11
Rico Dowdle,40693,HB,CAR,1,17,2,0,0.0,0,0,79,0,0,2,55,35.9,3,4,5,0,12,76.4,66.2,74.2,,63.5,62.6,65.0,60.0,13,0,17,1,9,20,0,0,1,18,0,79,55,3.24,4.6,1.89,5
Jaylen Warren,98692,HB,PIT,1,16,4,2,48.0,61,0,127,0,4,4,92,230.0,4,6,25,0,1,76.9,87.6,76.5,,73.1,90.3,80.7,59.7,37,0,31,4,17,18,0,0,4,20,0,127,92,5.75,7.9,1.82,14
