player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,3.0342
David Bailey,EDGE,3.33
Carnell Tate,WR,6.0028
Francis Mauigoa,OT,6.1048
Jeremiyah Love,RB,7.1936
Rueben Bain,EDGE,7.8616
Sonny Styles,LB,8.023204640928185
Mansoor Delane,CB,9.9394
Caleb Downs,S,10.529305861172235
Makai Lemon,WR,11.4612
Jermod McCoy,CB,12.64905962384954
Jordyn Tyson,WR,13.5558
Spencer Fano,OT,14.15126050420168
Monroe Freeling,OT,14.568027210884354
Olaivavega Ioane,IOL,17.175938943562965
Drew Allar,QB,17.666666666666668
Garrett Nussmeier,QB,18.5
Keldric Faulk,EDGE,18.515772553747237
Dillon Thieneman,S,18.9604183757178
Kenyon Sadiq,TE,19.42463640370207
Akheem Mesidor,EDGE,19.77217741935484
Kadyn Proctor,OT,20.323660714285715
Omar Cooper Jr.,WR,20.939872768315205
Emmanuel McNeil-Warren,S,22.293339416058394
Ty Simpson,QB,23.47750865051903
Caleb Lomu,OT,23.828430319948463
Blake Miller,OT,23.981405405405404
Kevin Concepcion,WR,24.28109995635094
Peter Woods,DT,24.738873106060606
Avieon Terrell,CB,26.553475935828878
Kayden McDonald,DT,26.697351828499368
Denzel Boston,WR,26.864814814814814
T.J. Parker,EDGE,27.252894033837933
Caleb Banks,DT,28.822916666666668
Max Iheanachor,OT,28.861760660247594
Cashius Howell,EDGE,29.148239960337133
Emmanuel Pregnon,IOL,29.379591836734694
Jadarian Price,RB,29.75
C.J. Allen,LB,29.791788856304986
Jacob Rodriguez,LB,30.272727272727273
Chase Bisontis,IOL,30.288888888888888
Zion Young,EDGE,30.45287356321839
Colton Hood,CB,30.51595744680851
Christen Miller,DT,30.88888888888889
Malachi Lawrence,EDGE,30.950617283950617
Chris Johnson,CB,31.18450184501845
R Mason Thomas,EDGE,31.186046511627907
Brandon Cisse,CB,31.287958115183248
Anthony Hill Jr.,LB,31.333333333333332
Lee Hunter,DT,32.0
