position,avg_taken_round1,min,max
EDGE,6.1934,4,8
OT,6.132,4,7
WR,5.647,3,6
CB,3.4368,2,6
S,2.8518,1,3
LB,2.0708,1,3
DT,1.6328852119958635,1,3
IOL,1.120835006021678,1,3
QB,1.0592,1,2
RB,1.0056,1,2
TE,1.0,1,1
