player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Dak Prescott,10769,QB,DAL,1,68.1,47,47,10.8,2.84,0,3,5.7,66.0,31,0,22,3.1,54,1,0.02,18,9,29.9,67.9,65.0,71.2,0,2,60,0,48.1,22.7,79.7,9.3,5,2,0,0,1,2,3.3,376,8.0
Jacoby Brissett,10725,QB,ARZ,1,60.5,43,44,8.1,3.01,0,1,2.3,56.8,25,0,23,3.8,50,1,-0.04,16,1,80.6,57.6,57.7,57.8,0,1,50,0,40.0,13.0,80.8,6.0,3,3,0,1,2,1,2.0,271,6.2
Shedeur Sanders,131396,QB,CLV,1,67.6,34,42,8.6,3.59,2,3,6.8,54.8,23,0,30,0.0,47,0,0.1,15,8,32.0,76.8,73.1,72.3,1,1,49,2,46.8,6.7,97.7,4.3,2,3,0,5,3,2,4.1,364,8.7
Jalen Hurts,40291,QB,PHI,1,63.9,36,40,10.7,2.99,0,2,4.8,52.5,21,0,18,8.7,43,2,-0.38,12,24,45.9,48.6,45.8,66.1,2,4,47,0,34.9,5.6,31.3,2.3,1,2,0,2,0,4,8.5,240,6.0
Bo Nix,97790,QB,DEN,1,86.5,37,38,6.0,2.83,0,0,0.0,81.6,31,0,15,3.1,43,1,0.24,14,10,79.9,63.0,65.0,57.2,0,0,43,1,60.5,20.0,89.9,7.0,3,1,0,1,0,0,0.0,212,5.6
Joe Burrow,28022,QB,CIN,1,75.0,36,36,9.6,2.55,0,5,12.8,69.4,25,0,9,7.4,38,2,0.15,18,7,79.2,83.1,81.1,,0,2,42,0,60.5,11.1,106.7,2.6,1,0,0,0,4,1,2.4,284,7.9
Caleb Williams,144622,QB,CHI,1,71.4,28,35,6.9,3.68,0,2,5.7,54.3,19,0,14,5.0,39,1,-0.07,14,6,79.3,60.6,61.6,55.2,0,1,40,0,43.6,7.1,76.6,2.6,1,3,0,7,2,2,5.0,186,5.3
Lamar Jackson,46416,QB,BLT,1,72.4,29,35,9.6,3.23,1,1,2.6,54.3,19,0,16,9.5,42,2,0.08,11,3,80.1,76.3,74.6,65.8,3,1,45,0,45.2,12.5,71.0,4.8,2,5,2,0,1,1,2.2,219,6.3
Jared Goff,10635,QB,DET,1,83.3,30,34,8.1,2.3,0,1,2.6,73.5,25,0,13,0.0,36,0,0.31,10,11,79.5,70.4,69.2,60.0,1,0,40,0,52.8,7.7,111.0,2.8,1,0,0,3,1,0,0.0,309,9.1
Aaron Rodgers,2241,QB,PIT,1,71.9,32,34,6.3,2.62,1,5,14.3,67.6,23,0,11,0.0,35,0,0.25,8,25,78.7,88.0,87.5,63.8,0,0,36,1,45.7,0.0,103.1,0.0,0,1,0,1,1,0,0.0,284,8.4
