player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kirk Cousins,7102,QB,ATL,1,75.6,41,44,8.7,2.69,0,4,8.3,68.2,30,0,19,3.2,45,1,0.29,19,2,30.9,78.2,78.0,,0,0,49,2,53.3,5.3,117.0,2.2,1,0,1,2,3,1,2.0,373,8.5
Jared Goff,10635,QB,DET,1,79.4,34,41,10.3,2.85,0,4,9.5,61.0,25,0,21,7.4,42,2,0.36,17,11,79.5,84.1,82.3,,0,0,43,0,40.5,4.8,111.6,2.4,1,0,0,7,3,1,2.3,338,8.2
Jordan Love,40306,QB,GB,1,72.2,36,40,10.8,2.93,0,2,4.8,60.0,24,0,27,7.7,46,2,0.0,14,12,80.1,69.1,63.9,78.1,1,2,48,0,47.8,11.1,68.3,6.5,3,3,0,3,1,2,4.2,276,6.9
Jacoby Brissett,10725,QB,ARZ,1,76.3,38,40,7.0,2.73,0,2,4.9,67.5,27,0,11,6.9,43,2,-0.11,14,1,80.3,56.2,56.3,57.4,0,1,46,0,41.9,18.2,98.9,4.7,2,1,0,2,3,3,6.5,249,6.2
Joe Burrow,28022,QB,CIN,1,80.0,35,39,8.1,2.93,0,2,4.8,64.1,25,0,14,10.7,44,3,-0.33,10,7,80.1,78.9,82.5,42.9,1,2,48,0,40.9,21.4,58.2,6.8,3,2,0,3,0,1,2.1,225,5.8
Matthew Stafford,4924,QB,LA,1,69.4,36,38,12.8,2.78,0,4,9.8,63.2,24,0,14,4.0,41,1,0.15,20,26,79.5,71.7,72.0,55.3,1,1,44,1,58.5,14.3,101.6,4.9,2,1,0,1,2,3,6.8,368,9.7
Dak Prescott,10769,QB,DAL,1,77.4,31,38,8.1,2.71,0,2,5.1,60.5,23,0,22,4.2,40,1,-0.08,12,9,79.4,69.5,69.2,58.7,2,0,41,1,42.5,9.1,84.8,5.0,2,0,0,5,0,1,2.4,294,7.7
Jaxson Dart,146409,QB,NYG,1,68.8,32,36,11.4,3.2,1,3,8.1,55.6,20,0,18,9.1,43,2,-0.11,14,21,29.8,56.6,62.5,43.8,1,1,44,0,48.8,5.6,83.8,2.3,1,6,0,2,2,2,4.5,246,6.8
Sam Darnold,29048,QB,SEA,1,75.0,32,36,7.6,2.62,0,0,0.0,61.1,22,0,9,8.3,39,2,0.04,10,29,28.8,64.4,73.5,29.4,1,0,40,0,51.3,11.1,84.4,2.6,1,2,2,1,0,1,2.5,271,7.5
Shedeur Sanders,131396,QB,CLV,1,63.3,30,35,8.2,3.31,0,3,8.6,51.4,18,0,21,5.3,42,1,-0.54,8,8,79.3,33.2,34.0,63.7,1,3,42,1,31.0,23.8,30.3,11.9,5,2,0,4,0,4,9.5,177,5.1
Baker Mayfield,46518,QB,TB,1,71.4,28,34,12.5,2.95,2,2,5.1,55.9,19,0,16,5.0,40,1,-0.05,16,30,80.0,67.3,67.9,55.7,2,1,47,0,45.0,31.3,90.0,12.5,5,1,0,2,2,1,2.1,277,8.1
Bo Nix,97790,QB,DEN,1,69.7,33,34,10.2,3.22,0,5,13.9,67.6,23,0,16,0.0,37,0,0.4,15,10,79.9,83.1,84.7,57.4,0,0,39,0,56.8,0.0,134.7,0.0,0,2,0,1,4,4,10.3,302,8.9
Brady Cook,124199,QB,NYJ,1,80.0,30,33,6.1,2.81,1,0,0.0,66.7,22,0,11,8.3,41,2,-0.3,12,22,79.4,53.3,51.2,62.1,0,3,41,0,43.9,27.3,52.1,7.3,3,5,0,2,1,3,7.3,176,5.3
Trevor Lawrence,77632,QB,JAX,1,78.6,28,32,11.8,2.92,1,3,8.8,62.5,20,0,9,9.1,36,2,0.66,18,15,79.3,93.5,91.3,80.6,1,0,39,1,61.1,0.0,136.7,0.0,0,3,0,2,5,0,0.0,330,10.3
Tyler Shough,83537,QB,NO,1,80.6,31,32,8.0,2.63,0,1,2.8,75.0,24,0,11,4.0,40,1,0.34,15,20,80.5,80.6,80.7,62.0,0,0,44,0,57.5,45.5,110.4,12.5,5,3,1,0,1,0,0.0,272,8.5
Brock Purdy,77672,QB,SF,1,85.7,28,30,8.7,3.44,0,2,5.9,76.7,23,0,14,4.2,37,1,0.44,20,28,79.5,91.0,90.7,71.0,0,0,41,1,62.2,14.3,140.3,5.4,2,5,0,2,3,0,0.0,295,9.8
