player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Amon-Ra St. Brown,84470,WR,DET,1,8.2,2,76.5,100.0,1,1,0,0.0,0,9,11,0,80.0,72.3,90.1,,87.8,0.0,0,0,52,0.0,0,43,0,13,97.7,42,58.1,25,145.2,17,2,39.5,17,164,64,4.9,12.6,3.9
Ja'Marr Chase,84270,WR,CIN,1,9.9,2,66.7,33.3,1,3,1,16.7,2,5,7,0,41.1,71.1,72.9,,71.8,0.0,0,1,34,0.0,0,47,1,10,91.5,43,19.1,9,66.5,15,0,80.9,38,132,55,5.5,13.2,3.07
Trey McBride,75916,TE,ARZ,1,3.9,3,92.3,66.7,2,3,0,0.0,0,8,1,0,79.4,71.9,92.3,66.6,90.7,28.3,13,0,21,2.2,1,46,0,12,91.3,42,65.2,30,149.2,13,2,6.5,3,134,97,8.1,11.2,3.19
Harold Fannin Jr.,163104,TE,CLV,1,6.8,1,53.8,50.0,1,2,0,0.0,0,2,8,0,75.6,70.3,56.0,74.1,59.5,61.9,26,2,13,4.8,2,42,1,7,95.2,40,26.2,11,22.8,13,0,11.9,5,48,20,2.9,6.9,1.2
Kyle Pitts,83964,TE,ATL,1,7.9,1,91.7,50.0,1,2,0,0.0,0,8,2,0,78.7,71.5,90.4,65.5,92.3,37.5,18,0,36,2.1,1,48,2,11,89.6,43,47.9,23,158.3,12,3,14.6,7,166,79,7.2,15.1,3.86
Bijan Robinson,123126,HB,ATL,1,2.6,5,72.7,,0,0,0,0.0,0,4,2,1,76.5,27.7,70.2,73.2,62.0,0.0,0,0,21,18.6,8,43,1,8,76.7,33,16.3,7,93.8,11,0,23.3,10,82,93,11.6,10.3,2.48
Puka Nacua,100632,WR,LA,1,13.1,3,81.8,50.0,1,2,0,10.0,1,8,26,0,56.7,72.0,95.0,,94.6,3.6,1,0,39,0.0,0,28,0,9,92.9,26,35.7,10,118.8,11,0,60.7,17,181,58,6.4,20.1,6.96
Rashee Rice,97605,WR,KC,1,1.5,2,63.6,0.0,0,3,0,12.5,1,1,16,0,52.1,69.5,64.0,,63.9,0.0,0,0,11,0.0,0,39,0,7,97.4,38,48.7,19,74.4,11,0,51.3,20,51,45,6.4,7.3,1.34
Michael Wilson,84423,WR,ARZ,1,14.2,0,45.5,50.0,1,2,0,16.7,1,3,1,0,46.3,68.0,62.1,,61.6,0.0,0,1,17,0.0,0,38,0,5,92.1,35,18.4,7,52.8,11,1,81.6,31,54,6,1.2,10.8,1.54
Mike Evans,8642,WR,TB,1,17.6,0,60.0,60.0,3,5,0,14.3,1,6,30,0,49.7,68.8,84.8,,82.4,0.0,0,1,45,0.0,0,34,0,6,82.4,28,23.5,8,64.6,10,0,76.5,26,132,8,1.3,22.0,4.71
Courtland Sutton,48164,WR,DEN,1,14.0,1,70.0,50.0,2,4,0,0.0,0,5,10,0,75.6,69.5,83.2,,83.0,0.0,0,0,42,0.0,0,38,0,7,94.7,36,10.5,4,140.8,10,1,89.5,34,113,18,2.6,16.1,3.14
David Sills V,34579,WR,ATL,1,13.3,1,60.0,100.0,1,1,0,14.3,1,4,2,0,49.2,68.8,68.6,62.4,70.0,0.0,0,0,21,2.1,1,48,1,6,89.6,43,41.7,20,84.6,10,0,58.3,28,78,17,2.8,13.0,1.81
Jameson Williams,101701,WR,DET,1,19.3,0,77.8,100.0,1,1,0,0.0,0,6,11,0,75.6,69.5,89.3,,86.5,0.0,0,0,31,0.0,0,41,0,7,97.6,40,9.8,4,155.8,9,1,90.2,37,134,20,2.9,19.1,3.35
George Kittle,11901,TE,SF,1,2.9,2,88.9,,0,0,0,11.1,1,5,28,0,54.5,70.1,89.8,76.7,90.1,82.5,33,0,24,20.0,8,40,0,8,77.5,31,12.5,5,144.4,9,1,0.0,0,88,80,10.0,11.0,2.84
Chris Olave,84355,WR,NO,1,13.2,0,66.7,50.0,2,4,0,0.0,0,5,20,0,74.6,68.8,70.4,,69.5,0.0,0,0,18,0.0,0,42,0,6,90.5,38,40.5,17,134.0,9,1,59.5,25,85,5,0.8,14.2,2.24
Jaxon Smith-Njigba,129758,WR,SEA,1,7.7,3,77.8,0.0,0,1,0,12.5,1,3,29,0,52.1,69.5,68.4,,68.2,0.0,0,0,39,0.0,0,39,0,7,97.4,38,35.9,14,118.8,9,0,61.5,24,113,63,9.0,16.1,2.97
CeeDee Lamb,61570,WR,DAL,1,12.6,0,66.7,0.0,0,1,0,0.0,0,4,9,0,74.6,69.8,80.7,,80.7,0.0,0,0,30,0.0,0,40,0,6,97.5,39,45.0,18,109.0,9,0,55.0,22,111,25,4.2,18.5,2.85
Travis Kelce,7844,TE,KC,1,7.4,1,77.8,0.0,0,1,0,0.0,0,5,16,0,75.6,69.5,73.9,,73.1,28.6,12,1,17,0.0,0,42,0,7,95.2,40,47.6,20,59.5,9,0,21.4,9,70,25,3.6,10.0,1.75
Wan'Dale Robinson,101735,WR,NYG,1,12.1,0,55.6,,0,0,0,0.0,0,3,21,0,73.4,68.0,67.7,,67.5,0.0,0,0,17,0.0,0,44,0,5,97.7,43,65.9,29,110.4,9,1,29.5,13,54,24,4.8,10.8,1.26
Dalton Schultz,47304,TE,HST,1,5.9,1,88.9,,0,0,0,0.0,0,5,13,0,76.5,70.1,90.0,,90.2,67.7,21,0,16,0.0,0,31,0,8,96.8,30,25.8,8,138.9,9,1,3.2,1,76,33,4.1,9.5,2.53
Darius Slayton,25578,WR,NYG,1,16.2,1,44.4,0.0,0,1,0,33.3,2,3,21,0,28.6,67.0,59.3,,56.9,0.0,0,0,19,0.0,0,39,0,4,100.0,39,12.8,5,63.7,9,0,87.2,34,53,9,2.3,13.3,1.36
Mack Hollins,11873,WR,NE,1,18.4,1,50.0,33.3,1,3,0,0.0,0,2,19,1,72.1,15.2,56.1,,56.5,0.0,0,1,18,0.0,0,22,0,4,95.5,21,18.2,4,25.5,8,0,81.8,18,41,10,2.5,10.3,1.95
Davante Adams,8688,WR,LA,1,19.0,0,50.0,33.3,1,3,0,0.0,0,4,26,0,72.1,67.0,79.9,,77.8,0.0,0,0,21,0.0,0,26,0,4,96.2,25,15.4,4,80.7,8,0,84.6,22,71,9,2.3,17.8,2.84
Brock Bowers,146715,TE,LV,1,2.0,1,75.0,100.0,1,1,0,14.3,1,3,23,0,49.2,68.8,65.8,70.2,63.9,23.3,7,1,10,3.3,1,30,0,6,96.7,29,66.7,20,39.6,8,0,6.7,2,28,21,3.5,4.7,0.97
Adonai Mitchell,146712,WR,NYJ,1,8.6,0,75.0,100.0,2,2,0,14.3,1,4,22,0,49.2,69.8,67.4,,68.5,0.0,0,1,21,0.0,0,36,0,6,100.0,36,11.1,4,94.8,8,1,88.9,32,58,0,0.0,9.7,1.61
Darren Waller,9637,TE,MIA,1,9.4,0,87.5,50.0,1,2,0,0.0,0,5,17,0,75.6,69.5,93.0,,91.7,12.5,3,0,20,0.0,0,24,0,7,91.7,22,58.3,14,140.6,8,2,29.2,7,66,20,2.9,9.4,3.0
