player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Rhamondre Stevenson,98689,HB,NE,1,25,5,0,0.0,0,0,71,0,0,5,59,47.2,2,4,19,0,15,78.4,64.5,78.2,,86.1,52.1,61.6,70.0,12,0,0,0,18,32,0,0,2,25,0,71,59,2.36,2.8,0.0,9
Kenneth Walker III,97199,HB,SEA,1,19,4,0,0.0,0,0,62,0,2,4,53,72.8,1,3,29,0,2,77.7,77.5,73.5,,73.2,90.3,70.2,60.0,11,0,49,4,16,23,0,0,4,23,1,62,53,2.79,3.3,3.06,16
RJ Harvey,99622,HB,DEN,1,13,4,0,0.0,0,0,37,1,2,4,41,111.3,0,1,10,0,6,75.6,53.8,74.8,,26.4,54.0,60.2,33.0,9,1,22,4,14,14,0,0,6,17,0,37,41,3.15,2.8,1.57,4
Kyren Williams,97118,HB,LA,1,10,2,0,0.0,0,0,39,0,2,2,36,120.0,1,2,26,0,2,75.6,67.4,75.2,,79.7,71.7,64.0,60.0,11,0,22,2,15,11,0,0,2,12,0,39,36,3.6,3.9,1.47,6
Drake Maye,143969,QB,NE,1,10,1,0,0.0,0,0,8,0,0,0,8,0.0,3,6,19,0,1,78.9,53.2,79.1,32.0,,,91.4,60.0,28,0,0,0,0,35,57,3,0,7,1,65,26,2.6,6.5,,0
Blake Corum,129574,HB,LA,1,9,2,1,34.5,19,0,55,0,1,2,20,55.6,2,3,26,0,1,74.2,72.1,73.5,,78.5,70.6,69.5,,19,0,24,3,10,10,0,0,3,12,0,55,20,2.22,6.1,2.4,7
Jarrett Stidham,13725,QB,DEN,1,4,0,0,0.0,0,0,8,0,0,0,0,0.0,0,0,10,1,0,25.9,45.6,78.5,46.7,,,53.2,60.0,8,0,0,0,0,21,15,3,0,1,0,23,2,0.5,5.8,,1
Jaleel McLaughlin,138346,HB,DEN,1,4,1,0,0.0,0,0,11,1,1,1,10,100.0,0,0,10,0,2,69.4,49.6,70.2,,74.4,27.6,59.9,60.0,5,0,2,1,3,6,0,0,2,5,0,11,10,2.5,2.8,0.67,2
TreVeyon Henderson,145059,HB,NE,1,3,0,0,0.0,0,0,5,0,0,0,5,0.0,0,0,19,0,3,67.2,50.4,66.3,,,59.9,52.6,,4,0,0,0,1,3,0,0,0,3,0,5,5,1.67,1.7,0.0,0
Sam Darnold,29048,QB,SEA,1,3,0,0,0.0,0,0,-5,0,0,0,0,0.0,1,1,29,1,0,29.3,67.4,79.2,72.0,,,39.4,60.0,14,0,0,0,0,26,14,1,0,2,0,9,3,1.0,3.0,,1
George Holani,72154,HB,SEA,1,3,0,0,0.0,0,0,4,0,1,0,6,33.3,0,0,29,0,1,69.7,64.2,77.0,,47.1,84.0,53.2,,3,0,27,3,17,3,0,0,4,6,0,4,6,2.0,1.3,1.59,2
Matthew Stafford,4924,QB,LA,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,1,2,26,1,0,28.2,81.1,78.7,79.5,,,62.0,60.0,13,0,0,0,0,21,16,2,0,0,0,16,7,3.5,8.0,,0
Puka Nacua,100632,WR,LA,1,1,0,0,0.0,0,0,4,0,1,0,2,20.0,0,0,26,0,0,71.3,91.5,78.9,,,91.5,59.2,55.3,4,0,165,9,32,14,0,0,14,10,0,4,2,2.0,4.0,5.16,0
Tyler Badie,83714,HB,DEN,1,1,0,0,0.0,0,0,4,0,0,0,3,0.0,0,1,10,0,0,65.8,63.5,76.3,,51.0,55.4,63.5,,4,0,0,0,8,1,0,0,0,1,0,4,3,3.0,4.0,0.0,1
Rashid Shaheed,63707,WR,SEA,1,1,1,0,,0,0,0,0,0,1,6,300.0,0,0,29,0,0,71.0,65.6,77.2,,62.3,62.5,63.1,61.4,0,0,51,1,27,10,0,0,3,2,0,0,6,6.0,0.0,1.89,0
Adam Prentice,35639,FB,DEN,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,1,10,0,0,61.9,50.8,73.7,,73.4,55.2,57.4,59.9,3,0,0,0,5,5,0,0,0,1,0,3,2,2.0,3.0,0.0,0
Pat Bryant,144800,WR,DEN,1,1,2,0,0.0,0,0,1,0,0,2,5,500.0,0,0,10,0,0,64.6,65.5,74.5,,,57.2,63.4,60.0,1,0,2,1,6,3,0,0,1,2,0,1,5,5.0,1.0,0.33,0
