"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",14,21.5,2.16,1.45,17.6,23.6,15.1,13,15.7,1,2,1,1,"1",29,NA,NA,97,8
"Jonathan Taylor","RB","IND",11,20,0.849,2.04,18.8,21.1,13.6,14.3,13.2,2,1,2,2,"2",27,NA,NA,20,5
"Jahmyr Gibbs","RB","DET",8,18,0.51,1.4,17,18.5,11.6,12.4,10.6,3,3,5,3,"3",24,NA,NA,4,2
"Jaxon Smith-Njigba","WR","SEA",8,19.3,2.43,1.34,16.5,22.7,11,9.44,12.9,4,9,3,1,"1",24,NA,NA,99,2
"Bijan Robinson","RB","ATL",5,16.6,1.95,0.176,14.2,19.7,10.2,9.64,11.8,5,7,4,4,"3",24,NA,NA,91,2
"Devon Achane","RB","MIA",12,16.4,1.1,0.0194,14.9,17.6,9.99,10.4,9.73,6,5,8,5,"3",24,NA,NA,46,2
"Josh Jacobs","RB","GB",5,16.4,0.666,0.35,15.5,17.4,9.97,11,9.52,7,4,10,6,"4",28,NA,NA,9,6
"Ja'Marr Chase","WR","CIN",10,18,1.7,0.243,15.5,20.1,9.7,8.41,10.2,8,11,7,2,"1",26,NA,NA,89,4
"Derrick Henry","RB","BAL",7,16,1.14,0.366,14.1,17.5,9.62,9.58,9.61,9,8,9,7,"4",32,NA,NA,49,9
"Puka Nacua","WR","LAR",8,17.7,2.09,1.16,15.3,20.3,9.45,8.21,10.5,10,12,6,3,"2",24,NA,NA,96,2
"James Cook","RB","BUF",7,15.7,0.825,0.51,14.4,16.9,9.26,9.84,9.03,11,6,11,8,"4",26,NA,NA,17,3
"Javonte Williams","RB","DAL",10,15.2,0.965,0.1,13.7,16.6,8.75,9.19,8.68,12,10,13,9,"5",26,NA,NA,32,4
"Kyren Williams","RB","LAR",8,15.1,1.8,0.764,11.7,16.8,8.65,7.2,8.88,13,16,12,10,"5",25,NA,NA,87,3
"Amon-Ra St. Brown","WR","DET",8,16.6,1.19,0.11,14.6,18,8.29,7.56,8.08,14,15,15,4,"2",26,NA,NA,55,4
"CeeDee Lamb","WR","DAL",10,16.5,1.3,1.06,14.8,17.8,8.18,7.71,7.93,15,14,16,5,"3",27,NA,NA,66,5
