"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jonathan Taylor","RB","IND",11,19.3,0.963,0.16,18.3,20.8,11.8,12.4,11.9,1,1,2,1,"1",27,NA,NA,29,5
"Christian McCaffrey","RB","SF",14,19.2,1.41,0.171,16.9,20.5,11.6,11,11.6,2,2,3,2,"1",29,NA,NA,66,8
"Bijan Robinson","RB","ATL",5,19,1.53,2.73,16.9,21,11.4,11,12.1,3,3,1,3,"2",24,NA,NA,73,2
"Amon-Ra St. Brown","WR","DET",8,17.1,1.27,0.786,15.3,18.7,8.8,8.22,8.59,4,5,7,1,"1",26,NA,NA,51,4
"Josh Jacobs","RB","GB",5,16.3,1.28,0.0874,13.9,17.7,8.71,7.93,8.77,5,8,5,4,"3",28,NA,NA,60,6
"Jahmyr Gibbs","RB","DET",8,16.2,0.769,0.556,14.6,16.7,8.62,8.6,7.79,6,4,14,5,"3",24,NA,NA,20,2
"Devon Achane","RB","MIA",12,15.6,1.64,0.179,14.1,18.5,8.06,8.1,9.63,7,6,4,6,"3",24,NA,NA,77,2
"CeeDee Lamb","WR","DAL",10,16.3,1.69,0.901,14.5,18.2,8.01,7.42,8.14,8,10,9,2,"1",27,NA,NA,80,5
"Kyren Williams","RB","LAR",8,15.4,0.979,0.284,13.9,16.5,7.88,7.97,7.64,9,7,15,7,"4",25,NA,NA,33,3
"Quinshon Judkins","RB","CLE",9,15.2,2.2,0.271,11.4,17.6,7.6,5.4,8.74,10,18,6,8,"4",22,NA,NA,97,0
"Javonte Williams","RB","DAL",10,14.9,1.23,0.521,13.5,16.7,7.33,7.55,7.8,11,9,12,9,"4",26,NA,NA,54,4
"Davante Adams","WR","LAR",8,15.4,2.52,0.154,12.2,18.6,7.11,5.16,8.57,12,20,8,3,"2",33,NA,NA,99,11
"Jaxon Smith-Njigba","WR","SEA",8,15.2,1.3,0.819,13.7,16.9,6.95,6.71,6.82,13,11,19,4,"2",24,NA,NA,55,2
"Rachaad White","RB","TB",9,14.4,1.86,0.61,11.9,17,6.81,5.97,8.07,14,14,10,10,"5",27,NA,NA,93,3
