"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Hunter Henry","TE","NE",14,8.66,0.253,1.78,8.41,8.85,8.51,0,0,1,13,14,1,"1",31,NA,NA,12,9
"AJ Barner","TE","SEA",8,6.89,0.49,0.41,6.33,7.29,6.74,-2.08,-1.56,2,33,31,2,"1",24,NA,NA,38,1
"Colby Parkinson","TE","LAR",8,6.48,2.26,1.94,4.81,9.11,6.33,-3.6,0.266,3,42,12,3,"2",27,NA,NA,99,5
"Tyler Higbee","TE","LAR",8,4.54,0.745,0.00131,3.88,5.28,4.39,-4.53,-3.57,4,44,44,4,"2",33,NA,NA,75,9
"Evan Engram","TE","DEN",12,4.54,0.135,0.939,4.4,4.65,4.39,-4,-4.2,5,43,45,5,"3",31,NA,NA,1,8
"Davis Allen","TE","LAR",8,3.6,NA,0.59,NA,NA,3.45,NA,NA,6,NA,NA,6,"4",25,NA,NA,NA,2
"Ernest Jones","LB","SEA",8,5.4,0,1,5.4,5.4,3.3,0,0,7,13,14,1,NA,26,NA,NA,NA,4
"Terrance Ferguson","TE","LAR",8,3.01,0.69,0.0104,2.19,3.49,2.86,-6.21,-5.35,8,47,48,7,"4",23,NA,NA,62,0
"Jack Westover","TE","NE",14,3,NA,0.507,NA,NA,2.85,NA,NA,9,NA,NA,8,"5",26,NA,NA,NA,1
"Austin Hooper","TE","NE",14,2.49,0.314,0.0794,2.21,2.83,2.34,-6.2,-6.01,10,46,50,9,"5",31,NA,NA,25,9
"Alex Singleton","LB","DEN",12,4.4,0,0.1,4.4,4.4,2.3,-1,-1,11,20,23,2,"1",32,NA,NA,NA,10
"Adam Trautman","TE","DEN",12,2.41,0.806,0.664,1.93,3.04,2.26,-6.48,-5.81,12,48,49,10,"6",29,NA,NA,88,5
"Robert Spillane","LB","NE",14,4.3,0,0.2,4.3,4.3,2.2,-1.1,-1.1,13,22,25,3,"1",30,NA,NA,NA,7
"Nate Landman","LB","LAR",8,4.1,0,0.5,4.1,4.1,2,-1.3,-1.3,14,26,28,4,"1",27,NA,NA,NA,3
"Eric Saubert","TE","SEA",8,1.75,NA,0.525,NA,NA,1.6,NA,NA,15,NA,NA,11,"7",32,NA,NA,NA,8
"Julian Love","DB","SEA",8,5.4,0,0.1,5.4,5.4,1.6,1.6,1.6,16,1,1,1,NA,28,NA,NA,1,6
"Marcus Jones","DB","NE",14,5.4,0,0,5.4,5.4,1.6,1.6,1.6,16,1,1,1,NA,27,NA,NA,1,3
"Drake Thomas","LB","SEA",8,3.6,NA,0.3,NA,NA,1.5,NA,NA,17,NA,NA,5,"1",26,NA,NA,NA,2
"Devon Witherspoon","DB","SEA",8,5.3,0,0.1,5.3,5.3,1.5,1.5,1.5,18,2,2,2,"1",25,NA,NA,1,2
"Nick Emmanwori","DB","SEA",8,5.2,NA,0.2,NA,NA,1.4,NA,NA,19,NA,NA,3,"1",22,NA,NA,NA,0
"Broncos","DST","DEN",12,5.7,1.27e-15,0.7,5.7,5.7,1.2,1.2,1.2,22,3,4,1,NA,NA,NA,NA,99,NA
"Jared Verse","DL","LAR",8,2.7,0,0.2,2.7,2.7,1.2,0,0,20,13,14,1,NA,25,NA,NA,1,1
"Tyrice Knight","LB","SEA",8,3.3,0,0.4,3.3,3.3,1.2,-2.1,-2.1,20,34,37,6,"1",26,NA,NA,NA,1
"Kamren Curl","DB","LAR",8,5,0,0.3,5,5,1.2,1.2,1.2,21,3,3,4,"1",27,NA,NA,1,5
"Coby Bryant","DB","SEA",8,5,0,0,5,5,1.2,1.2,1.2,21,3,3,4,"1",27,NA,NA,1,3
"Christian Gonzalez","DB","NE",14,5,NA,0,NA,NA,1.2,NA,NA,21,NA,NA,4,"1",23,NA,NA,NA,2
"Nate Adkins","TE","DEN",12,1.22,0.53,1.07,0.906,1.63,1.07,-7.5,-7.21,23,49,52,12,"8",26,NA,NA,50,2
"Demarcus Lawrence","DL","SEA",8,2.5,0,0.3,2.5,2.5,1,-0.2,-0.2,24,16,18,2,"1",34,NA,NA,1,11
"Riley Moss","DB","DEN",12,4.7,0,0.3,4.7,4.7,0.9,0.9,0.9,25,5,5,5,"1",26,NA,NA,1,2
"Christian Elliss","LB","NE",14,2.9,0,0.1,2.9,2.9,0.8,-2.5,-2.5,26,36,39,7,"1",27,NA,NA,NA,4
"Leonard Williams","DL","SEA",8,2.2,NA,0.2,NA,NA,0.7,NA,NA,27,NA,NA,3,"1",31,NA,NA,NA,10
"Kobie Turner","DL","LAR",8,2.2,NA,0,NA,NA,0.7,NA,NA,27,NA,NA,3,"1",27,NA,NA,NA,2
"Omar Speights","LB","LAR",8,2.8,0,0.3,2.8,2.8,0.7,-2.6,-2.6,27,37,40,8,"1",25,NA,NA,NA,1
"Talanoa Hufanga","DB","DEN",12,4.4,0,0.1,4.4,4.4,0.6,0.6,0.6,28,7,6,6,"1",26,NA,NA,1,4
"Ja'Quan McMillian","DB","DEN",12,4.4,0,0,4.4,4.4,0.6,0.6,0.6,28,7,6,6,"1",25,NA,NA,1,3
"Seahawks","DST","SEA",8,5,0,0.5,5,5,0.5,0.5,0.5,30,9,10,2,"1",NA,NA,NA,1,NA
"Rams","DST","LAR",8,5,0,0,5,5,0.5,0.5,0.5,30,9,10,2,"1",NA,NA,NA,1,NA
"Byron Young","DL","LAR",8,2,NA,0.1,NA,NA,0.5,NA,NA,30,NA,NA,4,"1",28,NA,NA,NA,2
"Decobie Durant","DB","LAR",8,4.3,0,8.88e-16,4.3,4.3,0.5,0.5,0.5,29,8,8,7,"1",28,NA,NA,1,3
"Jaylinn Hawkins","DB","NE",14,4.3,0,0.1,4.3,4.3,0.5,0.5,0.5,31,9,9,8,"1",28,NA,NA,1,5
"Braden Fiske","DL","LAR",8,1.9,NA,0.1,NA,NA,0.4,NA,NA,32,NA,NA,5,"1",26,NA,NA,NA,1
"Jack Gibbens","LB","NE",14,2.5,NA,0.4,NA,NA,0.4,NA,NA,32,NA,NA,9,"1",27,NA,NA,NA,3
"P.J. Locke","DB","DEN",12,4.2,0,0.4,4.2,4.2,0.4,0.4,0.4,32,10,11,9,"1",29,NA,NA,1,6
"Nik Bonitto","DL","DEN",12,1.8,0,0.1,1.8,1.8,0.3,-0.9,-0.9,33,19,22,6,"1",26,NA,NA,1,3
"Christian Barmore","DL","NE",14,1.7,NA,0.1,NA,NA,0.2,NA,NA,34,NA,NA,7,"1",26,NA,NA,NA,4
"Harold Landry","DL","NE",14,1.6,3.17e-16,4.44e-16,1.6,1.6,0.1,-1.1,-1.1,35,21,24,8,"1",29,NA,NA,99,7
"Poona Ford","DL","LAR",8,1.6,NA,0.1,NA,NA,0.1,NA,NA,36,NA,NA,9,"1",30,NA,NA,NA,7
"Zach Allen","DL","DEN",12,1.6,NA,0,NA,NA,0.1,NA,NA,36,NA,NA,9,"1",28,NA,NA,NA,6
"Drake Maye","QB","NE",14,17.3,4.02,0.766,13.4,20.8,0,0,0,37,13,14,1,"1",23,NA,NA,33,1
