"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Bijan Robinson","RB","ATL",5,21.8,1.25,0.642,20.1,23.2,16.3,15.6,15.9,1,1,1,1,"1",24,NA,NA,67,2
"Jonathan Taylor","RB","IND",11,21.2,0.793,3.22,20.1,22.6,15.7,15.6,15.3,2,2,2,2,"2",27,NA,NA,26,5
"Christian McCaffrey","RB","SF",14,18,2.6,1.51,14.2,20.2,12.5,9.77,12.9,3,5,3,3,"3",29,NA,NA,99,8
"Josh Jacobs","RB","GB",5,16.5,0.717,0.334,15.6,17.3,10.9,11.2,10,4,3,6,4,"3",28,NA,NA,20,6
"Devon Achane","RB","MIA",12,16.1,1.81,0.193,13.7,18.5,10.6,9.27,11.2,5,9,4,5,"3",24,NA,NA,91,2
"Saquon Barkley","RB","PHI",9,15.9,1.02,0.426,14.4,17.1,10.4,9.93,9.84,6,4,7,6,"4",29,NA,NA,51,7
"Derrick Henry","RB","BAL",7,15.5,1.29,0.012,14,16.8,9.99,9.55,9.53,7,7,8,7,"4",32,NA,NA,70,9
"James Cook","RB","BUF",7,15.5,0.973,0.113,13.9,16.7,9.98,9.43,9.39,8,8,9,8,"4",26,NA,NA,49,3
"Rachaad White","RB","TB",9,15.4,1.41,1.06,13.7,17.4,9.86,9.26,10.1,9,10,5,9,"5",27,NA,NA,79,3
"Ja'Marr Chase","WR","CIN",10,17.2,0.784,2.23,15.7,17.8,9.82,9.66,8.45,10,6,12,1,"1",26,NA,NA,21,4
"Javonte Williams","RB","DAL",10,14.3,1.6,0.859,12,16.3,8.8,7.54,9.07,11,13,10,10,"6",26,NA,NA,89,4
"Breece Hall","RB","NYJ",9,13.5,0.795,0.264,12.3,14.3,7.95,7.86,7.06,12,12,17,11,"6",24,NA,NA,27,3
"Josh Allen","QB","BUF",7,24,0.697,0.733,23.3,25,7.7,8.43,5.79,13,11,24,1,"1",29,NA,NA,1,7
"D'Andre Swift","RB","CHI",5,13.2,1.91,0.244,10.7,15.8,7.68,6.31,8.48,14,18,11,12,"7",27,NA,NA,94,5
"Rashee Rice","WR","KC",10,15,1.32,0.245,13.6,16.4,7.59,7.51,7.03,15,14,19,2,"1",26,NA,NA,61,2
"J.K. Dobbins","RB","DEN",12,12.9,1.55,0.722,10.8,14.8,7.44,6.33,7.52,16,17,15,13,"7",27,NA,NA,86,5
"Justin Jefferson","WR","MIN",6,14.8,1.97,0.284,12.8,17.5,7.34,6.76,8.18,17,15,13,3,"1",26,NA,NA,96,5
"Emeka Egbuka","WR","TB",9,14.5,1.86,0.953,12.1,16.3,7.06,5.99,6.95,18,20,20,4,"2",23,NA,NA,93,0
"Jalen Hurts","QB","PHI",9,23.3,1.62,0.76,20.8,25.1,6.97,5.97,5.94,19,21,23,2,"1",27,NA,NA,49,5
"Cam Skattebo","RB","NYG",14,12.2,2.22,0.467,9.15,14.7,6.72,4.72,7.42,20,31,16,14,"8",24,NA,NA,99,0
