"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",14,19.2,0.956,0.103,18.3,21.2,11.6,13.1,11.9,1,1,1,1,"1",29,NA,NA,32,8
"Bijan Robinson","RB","ATL",5,19.1,0.68,0.81,17.8,19.6,11.5,12.6,10.3,2,2,3,2,"1",24,NA,NA,7,2
"Jonathan Taylor","RB","IND",11,18.3,1.2,0.608,16.7,19.8,10.7,11.5,10.5,3,3,2,3,"2",27,NA,NA,52,5
"Saquon Barkley","RB","PHI",9,17.6,0.639,1.47,16.6,18.5,10.1,11.4,9.15,4,4,5,4,"3",29,NA,NA,4,7
"Jahmyr Gibbs","RB","DET",8,16.2,1.15,0.141,15,18,8.64,9.8,8.72,5,5,7,5,"3",24,NA,NA,45,2
"Derrick Henry","RB","BAL",7,16,1.12,0.187,14.9,18.2,8.5,9.72,8.89,6,6,6,6,"4",32,NA,NA,41,9
"Devon Achane","RB","MIA",12,15.8,2.06,0.23,12.8,18.6,8.31,7.65,9.26,7,11,4,7,"4",24,NA,NA,89,2
"James Cook","RB","BUF",7,15.6,0.743,0.259,14.6,16.7,8.08,9.44,7.35,8,7,14,8,"4",26,NA,NA,11,3
"Bucky Irving","RB","TB",9,15.4,1.98,0.024,13.3,17.9,7.82,8.06,8.58,9,9,8,9,"4",23,NA,NA,85,1
"Josh Jacobs","RB","GB",5,15.3,1.23,0.377,13.9,17,7.8,8.72,7.65,10,8,13,10,"4",28,NA,NA,54,6
"CeeDee Lamb","WR","DAL",10,17.3,1.42,0.895,15,18.9,7.7,7.14,7.94,11,14,10,1,"1",27,NA,NA,67,5
"Josh Allen","QB","BUF",7,24.6,1.32,1.37,22.7,26,7.68,7.36,6.66,12,12,20,1,"1",29,NA,NA,31,7
"Kenneth Walker III","RB","SEA",8,15,2.32,0.434,11.3,17.1,7.42,6.08,7.8,13,19,11,11,"5",25,NA,NA,94,3
"Javonte Williams","RB","DAL",10,14.5,1.14,0.445,13.1,16.1,6.99,7.94,6.74,14,10,17,12,"5",26,NA,NA,42,4
"Malik Nabers","WR","NYG",14,16.4,1.96,0.198,14,19,6.81,6.15,8.12,15,18,9,2,"1",22,NA,NA,93,1
"Amon-Ra St. Brown","WR","DET",8,16.2,1.95,0.671,14.3,18.7,6.61,6.37,7.8,16,16,12,3,"1",26,NA,NA,92,4
