"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",14,22.7,2.17,3.52,20.2,26.5,14.9,15.2,17.2,1,1,1,1,"1",29,NA,NA,88,8
"Jonathan Taylor","RB","IND",11,19.2,1.66,0.0278,16.9,21.3,11.4,11.8,12,2,4,2,2,"1",27,NA,NA,74,5
"Bijan Robinson","RB","ATL",5,19.1,0.876,0.0166,17.7,20.3,11.3,12.7,11.1,3,2,4,3,"1",24,NA,NA,26,2
"Jahmyr Gibbs","RB","DET",8,19.1,1.01,3.05,17.5,20.4,11.3,12.5,11.1,4,3,3,4,"2",24,NA,NA,29,2
"Jaxon Smith-Njigba","WR","SEA",8,18.3,1.36,1.13,16.9,20.1,10.4,10.6,10.9,5,5,5,1,"1",24,NA,NA,66,2
"Puka Nacua","WR","LAR",8,17.2,1.63,0.637,15.6,19.5,9.28,9.32,10.3,6,6,6,2,"1",24,NA,NA,77,2
"Amon-Ra St. Brown","WR","DET",8,16.6,1.17,1.57,15,18,8.64,8.79,8.82,7,9,8,3,"2",26,NA,NA,48,4
"James Cook","RB","BUF",7,16.1,1.48,0.824,14,18.1,8.26,8.95,8.78,8,7,9,5,"2",26,NA,NA,62,3
"Trey McBride","TE","ARI",8,15.4,1.36,2.33,13.2,16.9,8.12,7.24,8.35,9,14,11,1,"1",26,NA,NA,77,3
"Derrick Henry","RB","BAL",7,15.2,1.29,0.125,13,16.6,7.43,7.96,7.29,10,10,15,6,"3",32,NA,NA,54,9
"Rico Dowdle","RB","CAR",14,15.1,1.67,0.35,13.9,18.4,7.31,8.88,9.17,11,8,7,7,"3",27,NA,NA,75,5
"Rashee Rice","WR","KC",10,15,1.22,0.187,13.6,16.6,7.07,7.39,7.41,12,13,13,4,"2",26,NA,NA,55,2
"Saquon Barkley","RB","PHI",9,14.8,1.83,0.875,11.8,17.6,6.96,6.79,8.3,13,17,12,8,"4",29,NA,NA,78,7
"CeeDee Lamb","WR","DAL",10,14.8,1.74,0.325,12.6,17.8,6.89,6.39,8.63,14,20,10,5,"2",27,NA,NA,83,5
"Tee Higgins","WR","CIN",10,14.5,1.03,0.399,13.3,15.7,6.56,7.04,6.5,15,16,23,6,"3",27,NA,NA,39,5
"Davante Adams","WR","LAR",8,14.1,1.18,0.23,12.9,15.9,6.16,6.66,6.67,16,18,22,7,"3",33,NA,NA,51,11
"TreVeyon Henderson","RB","NE",14,13.9,1.19,0.0131,12.1,15.3,6.08,7.1,5.99,17,15,28,9,"4",23,NA,NA,45,0
"Kyren Williams","RB","LAR",8,13.9,1.51,0.173,12.4,16.6,6.07,7.39,7.31,18,12,14,10,"4",25,NA,NA,65,3
"George Pickens","WR","DAL",10,13.9,1.73,0.767,11.8,16.2,5.93,5.58,6.93,19,23,17,8,"4",25,NA,NA,80,3
"Javonte Williams","RB","DAL",10,13.7,1.06,0.294,12.6,15.4,5.9,7.51,6.09,20,11,26,11,"4",26,NA,NA,36,4
"George Kittle","TE","SF",14,13,1.5,1.46,11.1,14.9,5.79,5.21,6.45,21,28,24,2,"2",32,NA,NA,86,8
"Chase Brown","RB","CIN",10,13.4,1.99,0.747,10.1,15.2,5.6,5.1,5.95,22,30,29,12,"5",26,NA,NA,84,2
"Drake Maye","QB","NE",14,22.5,1.02,0.0809,20.9,24,5.37,5.38,4.51,23,25,43,1,"1",23,NA,NA,11,1
"Jalen Hurts","QB","PHI",9,22.5,2.34,0.9,19.5,26.3,5.29,4,6.84,24,40,19,2,"1",27,NA,NA,80,5
"Nico Collins","WR","HOU",6,13.1,1.57,0.0822,11.4,15.9,5.16,5.15,6.68,25,29,21,9,"4",27,NA,NA,73,4
"A.J. Brown","WR","PHI",9,13,2.18,0.263,10.7,16.2,5.08,4.52,7.01,26,31,16,10,"4",28,NA,NA,93,6
"Breece Hall","RB","NYJ",9,12.7,1.25,0.0152,10.4,14.1,4.86,5.37,4.78,27,26,40,13,"5",24,NA,NA,49,3
"Kenneth Walker III","RB","SEA",8,12.7,1.28,0.126,11.6,15.2,4.84,6.57,5.88,28,19,30,14,"5",25,NA,NA,52,3
"Chris Olave","WR","NO",11,12.8,0.819,0.295,11.5,13.7,4.82,5.24,4.47,29,27,44,11,"4",25,NA,NA,18,3
"Ashton Jeanty","RB","LVR",8,12.5,1.34,0.13,10.8,14.7,4.72,5.77,5.45,30,22,32,15,"5",22,NA,NA,55,0
"Quinshon Judkins","RB","CLE",9,12.4,2.01,0.0867,10.6,15.6,4.59,5.54,6.38,31,24,25,16,"5",22,NA,NA,86,0
"Tetairoa McMillan","WR","CAR",14,12.5,1.91,0.421,10.5,15.9,4.52,4.24,6.69,32,36,20,12,"5",23,NA,NA,89,0
"D'Andre Swift","RB","CHI",5,12.3,1.47,0.234,11.2,15.1,4.5,6.12,5.85,33,21,31,17,"6",27,NA,NA,61,5
"Lamar Jackson","QB","BAL",7,21.6,1.55,0.104,19.9,23.8,4.39,4.37,4.39,34,33,46,3,"1",29,NA,NA,37,7
"Brock Bowers","TE","LVR",8,11.6,1.16,1.49,10.1,12.9,4.33,4.12,4.45,35,39,45,3,"3",23,NA,NA,63,1
"Josh Allen","QB","BUF",7,21.4,1.59,0.216,19.4,23.4,4.29,3.9,3.94,36,42,48,4,"1",29,NA,NA,43,7
"Travis Etienne","RB","JAC",8,12.1,2.02,0.225,9.02,15.4,4.27,3.97,6.08,37,41,27,18,"6",27,NA,NA,87,4
"Emeka Egbuka","WR","TB",9,12,1.07,0.0939,10.5,13.2,4.1,4.28,3.94,38,35,49,13,"5",23,NA,NA,44,0
"Patrick Mahomes","QB","KC",10,21.2,1.1,1.5,19.9,22.3,4.07,4.37,2.89,39,34,59,5,"2",30,NA,NA,14,8
"Woody Marks","RB","HOU",6,11.9,1.37,0.724,9.55,13.6,4.04,4.5,4.35,40,32,47,19,"6",25,NA,NA,57,0
