position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.4954,+102,0.5045999999999999,-102,6.4458
OT,5.5,0.2786,+259,0.7214,-259,5.9084
WR,5.5,0.2738,+265,0.7262,-265,5.6968
CB,3.5,0.4822,+107,0.5178,-107,3.5146
S,2.5,0.3838,+161,0.6162000000000001,-161,2.59
LB,2.5,0.8906,-814,0.10940000000000005,+814,2.0824
DT,1.5,0.243,+312,0.757,-312,1.8629749393694421
IOL,1.5,0.7658,-327,0.23419999999999996,+327,1.1972515856236787
QB,1.5,0.9152,-1079,0.08479999999999999,+1079,1.0848
RB,1.5,0.986,-7043,0.014000000000000012,+7043,1.0076489533011272
TE,1.5,0.6998,-233,0.3002,+233,1.0
