position,avg_taken_round1,min,max
EDGE,6.4458,4,9
OT,5.9084,3,7
WR,5.6968,3,6
CB,3.5146,1,6
S,2.59,1,3
LB,2.0824,1,3
DT,1.8629749393694421,1,4
IOL,1.1972515856236787,1,3
QB,1.0848,1,2
RB,1.0076489533011272,1,2
TE,1.0,1,1
