player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
David Bailey,2.5,0.401,+149,0.599,-149,3.522
Arvell Reese,2.5,0.4754,+110,0.5246,-110,3.6802
Carnell Tate,5.5,0.4296,+133,0.5704,-133,6.127225445089018
Francis Mauigoa,5.5,0.5218,-109,0.47819999999999996,+109,7.349069813962792
Rueben Bain,7.5,0.5758,-136,0.4242,+136,8.074429771908763
Sonny Styles,7.5,0.5158,-107,0.48419999999999996,+107,9.40986991534173
Mansoor Delane,8.5,0.4364,+129,0.5636,-129,10.150673908670287
Jeremiyah Love,5.5,0.542,-118,0.45799999999999996,+118,10.325885668276973
Caleb Downs,9.5,0.4042,+147,0.5958,-147,10.452991452991453
Makai Lemon,10.5,0.389,+157,0.611,-157,11.164149043303121
Jermod McCoy,11.5,0.3972,+152,0.6028,-152,12.083977226514843
Jordyn Tyson,12.5,0.3648,+174,0.6352,-174,12.8706669369552
Monroe Freeling,13.5,0.557,-126,0.44299999999999995,+126,15.27219430485762
Olaivavega Ioane,14.5,0.5536,-124,0.4464,+124,16.071598529093663
Spencer Fano,16.5,0.4724,+112,0.5276000000000001,-112,16.25278186017216
Dillon Thieneman,18.5,0.6872,-220,0.31279999999999997,+220,17.227508243052284
Keldric Faulk,15.5,0.4486,+123,0.5514,-123,17.374398661367916
Kenyon Sadiq,18.5,0.4758,+110,0.5242,-110,17.468419548442412
Akheem Mesidor,18.5,0.43,+133,0.5700000000000001,-133,18.63468789275241
Kadyn Proctor,17.5,0.5382,-117,0.4618,+117,19.02094717668488
Omar Cooper Jr.,19.5,0.5,-100,0.5,-100,19.17467632214176
Garrett Nussmeier,21.5,0.0008,+124900,0.9992,-124900,19.6
Emmanuel McNeil-Warren,21.5,0.4674,+114,0.5326,-114,20.559630606860157
Blake Miller,22.5,0.4198,+138,0.5802,-138,21.973554127533365
Caleb Lomu,23.5,0.5546,-125,0.4454,+125,22.356324472960587
Kevin Concepcion,23.5,0.4692,+113,0.5307999999999999,-113,22.971130887779466
Ty Simpson,31.5,0.0758,+1219,0.9242,-1219,23.322115384615383
Peter Woods,24.5,0.3064,+226,0.6936,-226,24.00584138395866
Avieon Terrell,28.5,0.4694,+113,0.5306,-113,24.017096673919802
T.J. Parker,26.5,0.4944,+102,0.5056,-102,25.909393737508328
Denzel Boston,26.5,0.487,+105,0.513,-105,26.188333710151483
Kayden McDonald,27.5,0.465,+115,0.5349999999999999,-115,26.271030427000767
Cashius Howell,29.5,0.527,-111,0.473,+111,28.467293808794576
Max Iheanachor,31.5,0.429,+133,0.571,-133,28.818346957311537
Caleb Banks,31.5,0.1584,+531,0.8416,-531,28.86576354679803
Emmanuel Pregnon,31.5,0.0658,+1420,0.9342,-1420,29.25980392156863
C.J. Allen,31.5,0.0894,+1019,0.9106,-1019,29.585951940850276
Jadarian Price,31.5,0.0044,+22627,0.9956,-22627,30.105263157894736
Zion Young,31.5,0.4176,+139,0.5824,-139,30.140691927512357
Chase Bisontis,31.5,0.0728,+1274,0.9272,-1274,30.194620253164558
Jacob Rodriguez,31.5,0.0032,+31150,0.9968,-31150,30.22222222222222
Colton Hood,31.5,0.3776,+165,0.6224000000000001,-165,30.27880658436214
Malachi Lawrence,31.5,0.0394,+2438,0.9606,-2438,30.73903002309469
Christen Miller,31.5,0.0078,+12721,0.9922,-12721,30.833333333333332
Anthony Hill Jr.,31.5,0.0018,+55456,0.9982,-55456,31.1
Chris Johnson,31.5,0.0846,+1082,0.9154,-1082,31.108063175394847
R Mason Thomas,31.5,0.0174,+5647,0.9826,-5647,31.119402985074625
Brandon Cisse,31.5,0.022,+4445,0.978,-4445,31.152298850574713
