player,position,avg_pick
Fernando Mendoza,QB,1.0
David Bailey,EDGE,3.522
Arvell Reese,LB,3.6802
Carnell Tate,WR,6.127225445089018
Francis Mauigoa,OT,7.349069813962792
Rueben Bain,EDGE,8.074429771908763
Sonny Styles,LB,9.40986991534173
Mansoor Delane,CB,10.150673908670287
Jeremiyah Love,RB,10.325885668276973
Caleb Downs,S,10.452991452991453
Makai Lemon,WR,11.164149043303121
Jermod McCoy,CB,12.083977226514843
Jordyn Tyson,WR,12.8706669369552
Monroe Freeling,OT,15.27219430485762
Drew Allar,QB,16.0
Olaivavega Ioane,IOL,16.071598529093663
Spencer Fano,OT,16.25278186017216
Dillon Thieneman,S,17.227508243052284
Keldric Faulk,EDGE,17.374398661367916
Kenyon Sadiq,TE,17.468419548442412
Akheem Mesidor,EDGE,18.63468789275241
Kadyn Proctor,OT,19.02094717668488
Omar Cooper Jr.,WR,19.17467632214176
Garrett Nussmeier,QB,19.6
Emmanuel McNeil-Warren,S,20.559630606860157
Cole Payton,QB,21.0
Blake Miller,OT,21.973554127533365
Caleb Lomu,OT,22.356324472960587
Kevin Concepcion,WR,22.971130887779466
Ty Simpson,QB,23.322115384615383
Peter Woods,DT,24.00584138395866
Avieon Terrell,CB,24.017096673919802
T.J. Parker,EDGE,25.909393737508328
Denzel Boston,WR,26.188333710151483
Kayden McDonald,DT,26.271030427000767
Cashius Howell,EDGE,28.467293808794576
Max Iheanachor,OT,28.818346957311537
Caleb Banks,DT,28.86576354679803
Emmanuel Pregnon,IOL,29.25980392156863
C.J. Allen,LB,29.585951940850276
Jadarian Price,RB,30.105263157894736
Zion Young,EDGE,30.140691927512357
Chase Bisontis,IOL,30.194620253164558
Jacob Rodriguez,LB,30.22222222222222
Colton Hood,CB,30.27880658436214
Malachi Lawrence,EDGE,30.73903002309469
Christen Miller,DT,30.833333333333332
Anthony Hill Jr.,LB,31.1
Chris Johnson,CB,31.108063175394847
R Mason Thomas,EDGE,31.119402985074625
Brandon Cisse,CB,31.152298850574713
Lee Hunter,DT,32.0
