player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Christian McCaffrey,11763,HB,SF,1,15,4,2,46.4,39,0,84,0,1,4,57,100.0,2,6,28,0,9,76.8,81.9,76.3,60.0,,72.3,83.1,58.3,23,0,22,4,20,24,0,0,4,19,1,84,57,3.8,5.6,1.1,6
Kenneth Gainwell,77737,HB,PHI,1,14,0,1,35.4,17,0,48,0,4,0,27,48.2,2,4,24,0,4,75.5,67.6,77.1,,74.1,73.5,63.3,60.0,17,0,26,2,11,17,0,0,3,16,0,48,27,1.93,3.4,2.36,10
Miles Sanders,40555,HB,PHI,1,11,1,0,0.0,0,0,42,0,0,1,17,12.9,1,3,24,0,5,74.1,57.7,77.0,,,59.3,57.8,60.0,13,0,3,1,8,14,0,0,1,12,2,42,17,1.55,3.8,0.38,6
Jalen Hurts,40291,QB,PHI,1,11,1,0,0.0,0,0,32,0,0,1,26,26.0,2,4,24,0,0,79.7,62.6,79.2,62.3,,,60.0,60.0,14,0,0,0,0,38,7,1,0,10,1,39,26,2.36,3.5,,4
Isiah Pacheco,83747,HB,KC,1,10,2,0,0.0,0,0,26,0,2,2,21,56.0,0,1,16,0,1,75.8,64.0,78.5,,76.7,76.5,56.8,,6,0,59,5,26,10,0,0,6,15,0,26,21,2.1,2.6,2.27,8
Joe Mixon,11803,HB,CIN,1,8,1,0,0.0,0,0,19,0,0,1,14,15.9,0,1,7,0,6,73.2,62.6,76.1,,81.7,62.4,60.0,,7,0,15,3,10,8,0,0,3,11,0,19,14,1.75,2.4,1.5,2
Boston Scott,39462,HB,PHI,1,6,1,0,0.0,0,0,21,0,0,1,12,33.3,1,1,24,0,0,72.4,56.4,76.1,,,54.1,57.6,59.2,10,0,0,0,7,14,0,0,0,6,1,21,12,2.0,3.5,0.0,6
Deebo Samuel,48274,WR,SF,1,6,4,0,0.0,0,0,-9,0,2,4,16,177.8,0,0,28,1,1,21.3,51.4,77.8,,,77.0,29.0,37.9,4,0,33,3,20,25,0,0,4,9,0,-9,16,2.67,-1.5,1.65,2
Samaje Perine,11869,HB,CIN,1,5,1,0,0.0,0,0,22,0,1,1,15,75.0,0,3,7,0,3,71.4,65.5,77.7,,79.4,56.3,70.5,60.0,7,0,4,3,31,6,0,0,4,8,1,22,15,3.0,4.4,0.13,1
Jerick McKinnon,8731,HB,KC,1,4,1,0,0.0,0,0,1,2,0,1,7,29.2,0,0,16,0,1,70.0,38.5,76.7,,49.7,28.9,53.8,44.1,4,0,17,2,16,5,0,0,4,6,0,1,7,1.75,0.3,1.06,3
Joe Burrow,28022,QB,CIN,1,4,0,0,0.0,0,0,11,0,0,0,0,0.0,2,2,7,0,0,80.8,83.1,0.0,82.6,,,66.1,60.0,14,2,0,0,0,14,19,3,0,1,0,30,7,1.75,7.5,,0
Patrick Mahomes,11765,QB,KC,1,3,0,0,0.0,0,0,0,0,0,0,,100.0,0,1,16,1,0,32.0,77.5,79.2,76.9,,,59.6,60.0,5,0,0,0,0,17,8,3,0,0,0,8,7,2.33,2.7,,0
Josh Johnson,4474,QB,SF,1,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,28,1,0,22.3,49.1,0.0,72.3,,,45.1,60.0,2,3,0,0,0,8,0,0,0,2,0,2,1,0.5,1.0,,0
Gardner Minshew,41401,QB,PHI,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,24,0,0,65.2,60.9,70.6,,,,60.0,60.0,-1,0,0,0,0,6,0,0,0,2,0,-2,0,0.0,-1.0,,0
Mecole Hardman Jr.,42683,WR,KC,1,2,0,0,0.0,0,0,7,0,0,0,3,0.0,0,1,16,0,0,67.8,65.6,74.5,,,67.3,58.0,59.9,5,0,10,2,9,6,0,0,3,4,0,7,3,1.5,3.5,1.11,0
Ronald Jones,34001,HB,KC,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,16,0,0,61.9,58.2,66.4,,,,59.3,60.0,0,0,0,0,0,2,0,0,0,1,0,0,1,1.0,0.0,,1
George Kittle,11901,TE,SF,1,1,0,0,0.0,0,0,4,0,0,0,6,0.0,0,0,28,0,1,67.4,82.1,77.2,,72.6,82.8,62.5,58.7,4,0,32,3,18,25,0,0,3,4,0,4,6,6.0,4.0,1.78,0
