player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tee Higgins,61211,WR,CIN,1,14.6,1,54.5,50.0,2,4,0,0.0,0,4,7,0,74.6,68.8,76.7,,75.4,0.0,0,2,27,0.0,0,50,0,6,94.0,47,6.0,3,69.7,11,1,94.0,47,83,8,1.3,13.8,1.77
Travis Kelce,7844,TE,KC,1,7.9,0,77.8,100.0,1,1,0,0.0,0,4,16,1,75.6,21.4,66.5,72.1,66.9,14.9,7,0,16,4.3,2,47,0,7,91.5,43,55.3,26,140.3,9,1,27.7,13,79,32,4.6,11.3,1.84
Marquez Valdes-Scantling,47809,WR,KC,1,15.5,1,75.0,100.0,1,1,0,0.0,0,6,16,0,74.6,68.8,89.4,,87.5,0.0,0,0,29,0.0,0,41,0,6,95.1,39,41.5,17,156.3,8,1,58.5,24,116,40,6.7,19.3,2.97
Ja'Marr Chase,84270,WR,CIN,1,11.1,1,75.0,50.0,1,2,0,0.0,0,3,7,0,75.6,69.5,73.5,,72.6,0.0,0,0,35,0.0,0,52,0,6,94.2,49,23.1,12,103.6,8,0,76.9,40,75,28,4.7,12.5,1.53
A.J. Brown,48327,WR,PHI,1,11.0,0,50.0,,0,0,0,20.0,1,2,24,0,41.6,67.0,58.8,,58.6,0.0,0,0,11,0.0,0,29,0,4,89.7,26,17.2,5,58.3,8,0,82.8,24,28,17,4.3,7.0,1.08
Skyy Moore,97116,WR,KC,1,4.3,0,50.0,,0,0,0,0.0,0,0,16,0,70.5,71.2,53.7,,53.7,0.0,0,0,8,0.0,0,31,0,3,93.5,29,38.7,12,56.3,6,0,61.3,19,13,16,5.3,4.3,0.45
Dallas Goedert,47272,TE,PHI,1,3.5,0,83.3,100.0,1,1,0,0.0,0,1,24,0,73.4,68.0,60.4,,59.4,29.6,8,0,7,0.0,0,27,0,5,88.9,24,48.1,13,82.6,6,0,18.5,5,23,8,1.6,4.6,0.96
Isiah Pacheco,83747,HB,KC,1,-3.2,2,83.3,,0,0,0,0.0,0,3,16,0,73.4,75.8,64.0,76.7,76.5,0.0,0,0,18,10.3,3,29,0,5,89.7,26,6.9,2,107.6,6,0,6.9,2,59,82,16.4,11.8,2.27
Hayden Hurst,47294,TE,CIN,1,7.8,0,80.0,0.0,0,1,0,0.0,0,1,7,0,72.1,67.0,59.7,73.1,56.4,65.0,26,0,23,5.0,2,40,0,4,90.0,36,20.0,8,97.5,5,0,7.5,3,37,16,4.0,9.3,1.03
Deebo Samuel,48274,WR,SF,1,3.5,2,75.0,,0,0,0,0.0,0,2,28,0,70.5,21.3,51.4,,77.0,0.0,0,0,13,0.0,0,20,0,3,100.0,20,30.0,6,99.0,4,0,65.0,13,33,21,7.0,11.0,1.65
Jerick McKinnon,8731,HB,KC,1,1.8,0,50.0,,0,0,0,50.0,2,1,16,0,27.3,70.0,38.5,49.7,28.9,0.0,0,0,13,22.7,5,22,0,2,72.7,16,4.5,1,61.5,4,0,4.5,1,17,5,2.5,8.5,1.06
Christian McCaffrey,11763,HB,SF,1,-2.5,1,100.0,,0,0,0,0.0,0,0,28,0,72.1,76.8,81.9,,72.3,0.0,0,0,9,0.0,0,21,0,4,95.2,20,4.8,1,89.6,4,0,4.8,1,22,32,8.0,5.5,1.1
Samaje Perine,11869,HB,CIN,1,-3.8,1,75.0,,0,0,0,0.0,0,0,7,0,70.5,71.4,65.5,79.4,56.3,0.0,0,0,4,10.8,4,37,0,3,83.8,31,5.4,2,77.1,4,0,0.0,0,4,20,6.7,1.3,0.13
George Kittle,11901,TE,SF,1,5.3,0,100.0,,0,0,0,0.0,0,1,28,0,70.5,67.4,82.1,72.6,82.8,52.4,11,0,22,14.3,3,21,0,3,85.7,18,33.3,7,111.1,3,0,14.3,3,32,16,5.3,10.7,1.78
Mecole Hardman Jr.,42683,WR,KC,1,5.0,0,66.7,0.0,0,1,0,0.0,0,1,16,0,68.3,67.8,65.6,,67.3,0.0,0,0,11,0.0,0,9,0,2,100.0,9,33.3,3,71.5,3,0,66.7,6,10,3,1.5,5.0,1.11
Joe Mixon,11803,HB,CIN,1,-2.3,0,100.0,,0,0,0,0.0,0,0,7,0,70.5,73.2,62.6,81.7,62.4,0.0,0,0,6,26.7,4,15,0,3,66.7,10,6.7,1,87.5,3,0,0.0,0,15,22,7.3,5.0,1.5
DeVonta Smith,61100,WR,PHI,1,23.7,0,66.7,50.0,1,2,0,0.0,0,2,24,0,68.3,64.0,57.9,,57.1,0.0,0,0,29,0.0,0,29,0,2,89.7,26,31.0,9,107.6,3,0,69.0,20,36,0,0.0,18.0,1.38
Kenneth Gainwell,77737,HB,PHI,1,0.7,4,66.7,,0,0,0,0.0,0,1,24,0,68.3,75.5,67.6,74.1,73.5,0.0,0,0,17,7.1,1,14,0,2,78.6,11,7.1,1,93.8,3,0,14.3,2,26,25,12.5,13.0,2.36
Tyler Boyd,10689,WR,CIN,1,17.5,0,100.0,100.0,1,1,0,0.0,0,2,7,0,68.3,64.0,75.0,,80.6,0.0,0,0,24,0.0,0,12,0,2,100.0,12,75.0,9,118.8,2,0,25.0,3,40,5,2.5,20.0,3.33
Kadarius Toney,61245,WR,KC,1,13.5,1,50.0,0.0,0,1,0,0.0,0,0,16,0,64.7,65.7,63.6,,62.6,0.0,0,0,9,0.0,0,3,0,1,100.0,3,33.3,1,62.5,2,0,66.7,2,9,4,4.0,9.0,3.0
Trenton Irwin,48080,WR,CIN,1,5.0,0,50.0,,0,0,0,0.0,0,0,7,0,64.7,65.3,49.7,,50.1,0.0,0,0,6,0.0,0,39,0,1,92.3,36,82.1,32,56.3,2,0,17.9,7,6,2,2.0,6.0,0.17
Zach Pascal,12303,WR,PHI,1,9.0,0,0.0,0.0,0,1,0,,0,0,24,0,,,53.0,,52.3,18.2,2,0,0,0.0,0,11,0,0,90.9,10,54.5,6,39.6,1,0,27.3,3,0,0,,,0.0
Jack Stoll,42058,TE,PHI,1,5.0,0,100.0,100.0,1,1,0,0.0,0,0,24,0,64.7,61.2,49.0,70.2,54.6,85.7,6,0,5,14.3,1,7,0,1,85.7,6,14.3,1,87.5,1,0,0.0,0,5,0,0.0,5.0,0.83
Mitchell Wilcox,47234,TE,CIN,1,-2.0,0,100.0,,0,0,0,0.0,0,1,7,0,28.8,61.2,59.4,72.7,49.7,66.7,8,0,10,16.7,2,12,0,1,75.0,9,8.3,1,108.3,1,0,0.0,0,10,12,12.0,10.0,1.11
Marcus Kemp,12137,WR,KC,1,11.0,0,100.0,,0,0,0,0.0,0,1,16,0,64.7,61.2,63.2,,62.5,0.0,0,0,13,0.0,0,17,0,1,94.1,16,41.2,7,118.8,1,0,58.8,10,13,2,2.0,13.0,0.81
Miles Sanders,40555,HB,PHI,1,4.0,0,100.0,,0,0,0,0.0,0,0,24,0,64.7,74.1,57.7,,59.3,0.0,0,0,3,0.0,0,8,0,1,100.0,8,0.0,0,79.2,1,0,0.0,0,3,-1,-1.0,3.0,0.38
JuJu Smith-Schuster,11817,WR,KC,1,5.0,0,100.0,,0,0,0,0.0,0,1,16,0,64.7,61.2,44.8,,52.3,0.0,0,0,7,0.0,0,22,0,1,100.0,22,36.4,8,95.8,1,0,63.6,14,7,2,2.0,7.0,0.32
Quez Watkins,61664,WR,PHI,1,33.0,0,0.0,0.0,0,1,0,,0,0,24,0,,,49.0,,52.3,0.0,0,0,0,0.0,0,16,0,0,87.5,14,75.0,12,39.6,1,0,25.0,4,0,0,,,0.0
Brandon Aiyuk,84109,WR,SF,1,6.0,0,100.0,,0,0,0,0.0,0,1,28,0,64.7,61.2,61.2,,61.6,0.0,0,0,10,0.0,0,21,0,1,100.0,21,19.0,4,108.3,1,0,81.0,17,10,4,4.0,10.0,0.48
Noah Gray,60878,TE,KC,1,2.0,0,100.0,,0,0,0,0.0,0,0,16,0,64.7,61.2,46.5,58.6,46.4,86.2,25,0,4,20.7,6,29,0,1,79.3,23,3.4,1,83.3,1,0,10.3,3,4,2,2.0,4.0,0.17
