position,avg_taken_round1,min,max
EDGE,6.4456,4,9
OT,5.9084,3,7
WR,5.6968,3,6
CB,3.5158,1,6
S,2.5902,1,3
LB,2.0818,1,3
DT,1.8643622397412574,1,4
IOL,1.1964059196617336,1,3
QB,1.0846,1,2
RB,1.0076489533011272,1,2
TE,1.0,1,1
