position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.4958,+102,0.5042,-102,6.4456
OT,5.5,0.2786,+259,0.7214,-259,5.9084
WR,5.5,0.2736,+265,0.7263999999999999,-265,5.6968
CB,3.5,0.4814,+108,0.5186,-108,3.5158
S,2.5,0.3838,+161,0.6162000000000001,-161,2.5902
LB,2.5,0.8912,-819,0.10880000000000001,+819,2.0818
DT,1.5,0.2422,+313,0.7578,-313,1.8643622397412574
IOL,1.5,0.7664,-328,0.23360000000000003,+328,1.1964059196617336
QB,1.5,0.9154,-1082,0.08460000000000001,+1082,1.0846
RB,1.5,0.986,-7043,0.014000000000000012,+7043,1.0076489533011272
TE,1.5,0.6992,-232,0.30079999999999996,+232,1.0
