player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ashton Jeanty,157196,HB,LV,1,26,4,0,0.0,0,0,87,0,2,4,60,47.7,2,3,23,0,7,28.5,52.7,77.9,,23.4,60.4,54.5,60.0,12,0,7,3,24,29,0,0,3,29,0,87,60,2.31,3.3,0.29,18
Bucky Irving,144970,HB,TB,1,26,3,0,0.0,0,0,85,1,1,3,52,29.6,0,5,30,0,9,78.8,52.3,74.1,,25.6,35.7,57.4,60.0,9,0,13,1,11,27,0,0,2,27,0,85,52,2.0,3.3,1.18,17
Ray Davis,101072,HB,BUF,1,21,5,2,26.5,40,0,151,0,1,5,81,100.6,5,7,4,0,10,78.3,90.7,75.6,,51.4,71.3,89.9,60.0,23,0,23,2,15,28,0,0,2,23,0,151,81,3.86,7.2,1.53,10
Audric Estime,147476,HB,NO,1,21,1,0,0.0,0,0,63,0,1,1,45,16.5,0,3,20,0,6,78.1,65.3,78.7,,30.6,72.1,67.3,30.7,9,0,43,5,27,21,0,0,5,26,0,63,45,2.14,3.0,1.59,15
Derrick Henry,10679,HB,BLT,1,20,3,2,49.2,62,0,126,0,0,3,84,63.0,3,5,3,0,4,77.1,74.2,75.6,,78.6,53.0,73.8,60.0,41,0,0,0,10,22,0,0,0,20,0,126,84,4.2,6.3,0.0,16
Jahmyr Gibbs,122474,HB,DET,1,19,4,0,0.0,0,0,80,0,0,4,53,50.7,1,4,11,0,8,77.3,60.5,77.7,,77.0,62.0,59.2,59.3,14,0,33,3,27,23,0,0,4,22,0,80,53,2.79,4.2,1.22,11
Tyrone Tracy,84226,HB,NYG,1,18,2,2,34.0,35,0,103,0,4,2,52,66.7,4,5,21,1,6,27.0,71.8,79.3,,0.0,85.2,66.2,,20,0,56,8,32,17,0,0,9,26,0,103,52,2.89,5.7,1.75,11
Emanuel Wilson,154173,HB,GB,1,18,5,0,0.0,0,0,44,0,0,5,48,70.2,1,5,12,0,3,77.1,62.6,74.3,,77.3,62.0,61.2,60.0,12,0,4,1,4,19,0,0,1,19,0,44,48,2.67,2.4,1.0,15
Zach Charbonnet,97630,HB,SEA,1,17,5,1,36.5,27,0,74,0,2,5,53,109.1,2,4,29,0,7,76.7,69.9,74.9,,18.3,67.3,71.2,60.0,27,0,23,3,17,18,0,0,4,20,1,74,53,3.12,4.4,1.35,10
Jaydon Blue,157303,HB,DAL,1,16,1,1,42.2,27,0,64,0,0,1,24,9.4,4,4,9,0,6,75.8,66.3,75.7,,73.4,52.7,67.1,60.0,27,0,0,0,14,17,0,0,0,16,1,64,24,1.5,4.0,0.0,8
Tank Bigsby,123974,HB,PHI,1,16,5,0,0.0,0,1,75,0,1,5,57,125.7,3,5,24,0,5,76.4,65.8,76.6,,18.3,65.2,68.2,,13,1,31,1,17,17,0,0,1,17,1,75,57,3.56,4.7,1.82,9
