player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
James Cook,83666,HB,BUF,1,32,4,2,34.7,50,0,144,0,1,4,72,32.1,3,6,4,2,15,21.3,52.7,74.3,,69.7,79.0,50.6,60.0,31,0,33,3,12,32,0,0,3,35,0,144,72,2.25,4.5,2.75,16
Kimani Vidal,123727,HB,LAC,1,25,11,1,46.8,59,0,126,0,2,11,124,248.0,1,5,27,0,12,78.5,83.9,77.5,,86.8,59.6,81.8,,59,0,11,1,17,25,0,0,1,26,1,126,124,4.96,5.0,0.65,13
Quinshon Judkins,157128,HB,CLV,1,23,5,1,18.7,17,0,91,0,2,5,74,86.6,1,6,8,0,5,78.6,58.1,75.0,,,71.5,56.4,60.0,17,0,18,3,11,27,0,0,3,26,0,91,74,3.22,4.0,1.64,16
Bijan Robinson,123126,HB,ATL,1,23,6,2,29.6,42,0,142,0,2,6,117,145.3,5,9,2,0,5,78.6,70.0,78.5,,25.4,58.5,74.6,59.7,26,0,51,5,26,27,0,0,7,28,1,142,117,5.09,6.2,1.96,17
Kyle Monangai,129891,HB,CHI,1,22,2,2,36.9,48,0,130,0,0,2,75,31.0,2,6,6,0,5,77.7,75.6,76.8,,76.2,52.0,75.3,60.0,31,0,0,0,13,23,0,0,1,22,1,130,75,3.41,5.9,0.0,17
De'Von Achane,124305,HB,MIA,1,22,2,2,33.6,45,0,134,1,0,2,76,31.4,3,6,17,0,6,77.7,75.2,78.3,,,36.6,84.1,60.0,29,0,0,0,20,24,0,0,1,22,1,134,76,3.45,6.1,0.0,16
Jonathan Taylor,57488,HB,IND,1,21,2,0,0.0,0,0,85,1,0,2,48,19.0,4,5,14,0,12,77.8,57.1,77.0,,42.7,44.4,61.6,60.0,12,0,36,3,21,23,0,0,5,24,0,85,48,2.29,4.0,1.71,9
Christian McCaffrey,11763,HB,SF,1,20,2,0,0.0,0,0,53,0,0,2,53,22.1,0,4,28,0,3,77.9,59.0,77.8,60.0,81.1,70.5,55.2,60.0,7,0,21,4,23,22,0,0,4,24,1,53,53,2.65,2.7,0.91,16
Jahmyr Gibbs,122474,HB,DET,1,20,5,1,26.5,18,0,68,1,0,5,39,42.4,3,3,11,0,9,77.6,64.2,76.9,,54.5,56.6,66.1,59.9,18,0,18,3,18,22,0,0,4,23,0,68,39,1.95,3.4,1.0,11
Breece Hall,97636,HB,NYJ,1,19,5,0,0.0,0,0,68,0,0,5,46,57.6,0,3,22,0,13,77.4,75.7,77.9,,60.7,61.7,77.1,60.0,9,0,8,2,21,22,0,0,2,21,1,68,46,2.42,3.6,0.38,6
