player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Joe Mixon,11803,HB,CIN,1,21,5,1,26.1,23,0,88,0,0,5,73,72.4,3,4,7,0,9,78.1,71.9,75.9,,80.9,63.1,71.1,60.0,23,0,27,3,22,25,0,0,3,24,0,88,73,3.48,4.2,1.23,12
Cam Akers,57206,HB,LA,1,13,0,0,0.0,0,0,48,0,0,0,40,0.0,1,2,26,0,2,74.9,53.6,73.9,,67.1,55.3,54.1,60.0,14,0,2,1,15,14,0,0,1,14,0,48,40,3.08,3.7,0.13,11
Jerick McKinnon,8731,HB,KC,1,12,1,0,0.0,0,0,65,1,0,1,33,18.3,1,1,16,0,6,75.0,63.4,81.5,,77.0,53.1,69.4,60.0,14,0,30,3,38,14,0,0,4,15,0,65,33,2.75,5.4,0.79,6
Elijah Mitchell,57272,HB,SF,1,11,0,0,0.0,0,0,20,0,1,0,22,14.3,0,1,28,0,6,74.6,58.4,74.5,,,83.2,50.3,60.0,9,0,50,3,12,12,0,0,3,14,0,20,22,2.0,1.8,4.17,5
Sony Michel,27589,HB,LA,1,10,0,0,0.0,0,0,16,0,0,0,17,0.0,0,2,26,0,6,73.6,54.0,77.7,,55.9,50.6,57.2,60.0,8,0,-4,1,28,11,0,0,2,11,0,16,17,1.7,1.6,-0.14,4
Deebo Samuel,48274,WR,SF,1,7,2,0,0.0,0,0,26,0,3,2,21,136.4,0,0,28,0,2,74.4,84.6,79.9,,72.4,85.8,67.3,59.3,9,0,72,4,26,12,0,0,7,11,0,26,21,3.0,3.7,2.77,5
Clyde Edwards-Helaire,57279,HB,KC,1,6,1,0,0.0,0,0,36,0,0,1,21,50.0,1,2,16,0,2,71.1,59.1,72.5,,,57.5,59.9,60.0,14,0,4,1,5,7,0,0,2,7,0,36,21,3.5,6.0,0.8,4
Matthew Stafford,4924,QB,LA,1,5,0,0,0.0,0,0,-6,0,0,0,0,0.0,1,1,26,0,0,81.0,82.9,79.6,80.7,,,65.6,60.0,14,0,0,0,0,28,14,1,0,4,0,8,1,0.2,1.6,,0
Joe Burrow,28022,QB,CIN,1,5,1,0,0.0,0,0,-1,0,0,0,1,0.0,1,4,7,0,0,80.0,72.4,0.0,68.3,,,78.2,60.0,11,1,0,0,0,25,26,3,0,2,0,25,17,3.4,5.0,,0
Patrick Mahomes,11765,QB,KC,1,3,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,16,1,0,29.8,63.0,79.2,62.1,,,61.3,60.0,11,0,0,0,0,21,19,3,0,0,0,19,12,4.0,6.3,,0
Mecole Hardman Jr.,42683,WR,KC,1,2,0,0,0.0,0,0,18,1,1,0,4,40.0,0,1,16,0,0,70.3,67.3,76.1,,,63.4,68.1,59.5,9,0,52,3,21,9,0,0,4,5,0,18,4,2.0,9.0,2.48,0
Jimmy Garoppolo,8697,QB,SF,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,28,0,0,77.7,42.5,0.0,45.3,,,58.3,60.0,4,2,0,0,0,19,4,1,0,0,0,4,3,3.0,4.0,,0
Kyle Juszczyk,7912,FB,SF,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,28,0,0,61.9,47.4,79.8,,51.5,51.1,59.3,49.3,0,0,0,0,17,15,0,0,0,1,0,0,1,1.0,0.0,0.0,0
Cooper Kupp,11824,WR,LA,1,1,1,0,0.0,0,0,-2,1,1,1,1,16.7,0,0,26,0,0,73.9,84.3,79.4,,,84.2,56.6,66.0,-2,0,142,11,48,28,0,0,13,12,0,-2,1,1.0,-2.0,2.96,0
Michael Burton,9601,FB,KC,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,16,0,0,61.9,67.0,68.2,,76.1,,61.4,,1,0,0,0,0,1,0,0,0,1,0,1,1,1.0,1.0,,0
Ja'Marr Chase,84270,WR,CIN,1,1,1,0,0.0,0,0,3,0,1,1,3,85.7,0,0,7,0,0,69.8,64.8,79.1,,,64.4,56.6,70.9,3,0,54,6,42,24,0,0,9,7,0,3,3,3.0,3.0,1.29,0
