player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Stafford,4924,QB,LA,1,80.5,41,45,9.9,2.54,0,3,6.5,68.9,31,0,12,6.1,48,2,0.31,18,26,81.0,82.9,80.7,65.6,1,1,49,0,56.3,16.7,96.2,4.2,2,1,0,3,2,1,2.0,337,7.5
Patrick Mahomes,11765,QB,KC,1,78.4,37,39,7.2,3.44,0,1,2.4,66.7,26,0,11,10.3,46,3,-0.04,18,16,29.8,63.0,62.1,61.3,0,2,48,0,52.2,36.4,91.3,8.7,4,3,0,2,3,2,4.2,275,7.1
Joe Burrow,28022,QB,CIN,1,72.7,33,38,7.0,2.75,1,2,5.0,60.5,23,0,17,4.2,42,1,0.2,15,7,80.0,72.4,68.3,78.2,0,1,44,1,45.2,5.9,86.5,2.4,1,3,0,4,2,2,4.5,250,6.6
Jimmy Garoppolo,8697,QB,SF,1,68.0,25,30,5.8,2.75,3,1,3.2,53.3,16,0,11,5.9,31,1,0.21,13,28,77.7,42.5,45.3,58.3,0,1,32,2,45.2,0.0,87.1,0.0,0,1,1,1,2,3,9.4,232,7.7
