player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Cooper Kupp,11824,WR,LA,1,7.8,1,84.6,0.0,0,1,0,8.3,1,7,26,0,60.2,73.9,84.3,,84.2,0.0,0,1,25,0.0,0,49,0,11,98.0,48,71.4,35,119.7,13,2,28.6,14,142,67,6.1,12.9,2.96
Odell Beckham Jr.,8647,WR,LA,1,12.6,0,81.8,100.0,1,1,0,0.0,0,6,26,0,77.3,70.6,81.0,,79.6,0.0,0,0,29,0.0,0,45,0,9,97.8,44,8.9,4,109.5,11,0,91.1,41,113,20,2.2,12.6,2.57
Travis Kelce,7844,TE,KC,1,6.5,3,90.9,0.0,0,1,0,9.1,1,7,16,0,58.9,71.1,76.3,69.6,76.1,19.1,9,0,19,2.1,1,47,0,10,95.7,45,55.3,26,133.0,11,1,25.5,12,95,39,3.9,9.5,2.11
Tyreek Hill,10799,WR,KC,1,12.2,0,70.0,0.0,0,2,0,0.0,0,4,16,0,75.6,69.5,72.2,,71.6,0.0,0,1,33,0.0,0,46,0,7,95.7,44,56.5,26,86.7,10,1,43.5,20,78,25,3.6,11.1,1.77
Tee Higgins,61211,WR,CIN,1,14.1,1,66.7,66.7,2,3,0,0.0,0,5,7,0,74.6,68.8,79.1,,78.7,0.0,0,0,44,0.0,0,42,0,6,95.2,40,26.2,11,105.3,9,0,73.8,31,103,42,7.0,17.2,2.58
Ja'Marr Chase,84270,WR,CIN,1,9.2,1,66.7,50.0,1,2,0,0.0,0,3,7,0,74.6,69.8,64.8,,64.4,0.0,0,1,22,0.0,0,44,0,6,95.5,42,22.7,10,80.1,9,1,77.3,34,54,23,3.8,9.0,1.29
Deebo Samuel,48274,WR,SF,1,2.4,3,57.1,0.0,0,2,0,0.0,0,3,28,0,72.1,74.4,84.6,72.4,85.8,0.0,0,0,44,3.7,1,27,0,4,96.3,26,18.5,5,132.1,7,1,66.7,18,72,75,18.8,18.0,2.77
Brandon Aiyuk,84109,WR,SF,1,11.0,0,57.1,66.7,2,3,0,0.0,0,4,28,0,72.1,67.0,77.0,,77.1,0.0,0,0,31,0.0,0,31,0,4,96.8,30,19.4,6,90.8,7,0,80.6,25,69,11,2.8,17.3,2.3
Kendall Blanton,47311,TE,LA,1,0.5,1,83.3,,0,0,0,0.0,0,3,26,0,73.4,68.0,71.4,21.4,81.2,76.3,29,0,20,2.6,1,38,0,5,94.7,36,15.8,6,106.3,6,0,7.9,3,57,51,10.2,11.4,1.58
Van Jefferson,47447,WR,LA,1,24.4,0,40.0,,0,0,0,0.0,0,0,26,0,68.3,64.0,48.6,,50.0,0.0,0,0,6,0.0,0,43,0,2,97.7,42,34.9,15,47.9,5,0,65.1,28,9,-2,-1.0,4.5,0.21
Samaje Perine,11869,HB,CIN,1,-2.8,1,75.0,,0,0,0,0.0,0,1,7,0,70.5,65.8,64.3,77.0,67.8,0.0,0,0,41,11.8,2,17,0,3,76.5,13,5.9,1,149.0,4,1,0.0,0,43,55,18.3,14.3,3.31
Tyler Boyd,10689,WR,CIN,1,1.8,0,100.0,,0,0,0,0.0,0,2,7,0,72.1,67.0,62.5,,60.4,0.0,0,0,9,0.0,0,39,0,4,97.4,38,74.4,29,86.5,4,0,25.6,10,19,12,3.0,4.8,0.5
Jerick McKinnon,8731,HB,KC,1,-0.3,0,75.0,,0,0,0,25.0,1,2,16,0,36.2,75.0,63.4,77.0,53.1,0.0,0,0,14,5.0,2,40,0,3,95.0,38,15.0,6,95.8,4,0,15.0,6,30,26,8.7,10.0,0.79
Mecole Hardman Jr.,42683,WR,KC,1,9.8,1,75.0,,0,0,0,25.0,1,2,16,0,36.2,70.3,67.3,,63.4,8.7,2,0,44,0.0,0,23,0,3,91.3,21,30.4,7,156.3,4,1,60.9,14,52,17,5.7,17.3,2.48
Elijah Mitchell,57272,HB,SF,1,1.7,1,100.0,,0,0,0,0.0,0,3,28,0,70.5,74.6,58.4,,83.2,0.0,0,0,21,0.0,0,12,0,3,100.0,12,8.3,1,118.8,3,0,16.7,2,50,45,15.0,16.7,4.17
Demarcus Robinson,10760,WR,KC,1,5.0,0,0.0,,0,0,0,,0,0,16,0,,,49.1,,49.1,0.0,0,1,0,0.0,0,31,0,0,96.8,30,3.2,1,0.0,3,0,96.8,30,0,0,,,0.0
George Kittle,11901,TE,SF,1,16.3,0,66.7,100.0,1,1,0,0.0,0,2,28,0,68.3,64.0,59.5,66.2,63.6,68.8,22,0,16,3.1,1,32,0,2,93.8,30,25.0,8,134.7,3,1,6.3,2,27,5,2.5,13.5,0.9
Joe Mixon,11803,HB,CIN,1,0.0,0,100.0,,0,0,0,0.0,0,1,7,0,70.5,78.1,71.9,80.9,63.1,0.0,0,0,18,18.5,5,27,0,3,81.5,22,0.0,0,104.2,3,0,7.4,2,27,27,9.0,9.0,1.23
Byron Pringle,42345,WR,KC,1,8.7,0,66.7,,0,0,0,0.0,0,2,16,0,68.3,68.7,62.4,,60.0,0.0,0,0,10,0.0,0,33,0,2,97.0,32,75.8,25,79.9,3,0,24.2,8,16,6,3.0,8.0,0.5
Sony Michel,27589,HB,LA,1,-2.0,0,50.0,0.0,0,1,0,0.0,0,0,26,0,64.7,73.6,54.0,55.9,50.6,0.0,0,0,-4,12.1,4,33,0,1,84.8,28,18.2,6,56.3,2,0,6.1,2,-4,3,3.0,-4.0,-0.14
C.J. Uzomah,9590,TE,CIN,1,7.5,0,0.0,0.0,0,2,0,100.0,1,0,7,0,28.0,,33.3,,32.2,50.0,3,0,0,0.0,0,6,0,0,100.0,6,33.3,2,39.6,2,0,16.7,1,0,0,,,0.0
Tyler Higbee,10744,TE,LA,1,2.0,0,100.0,,0,0,0,0.0,0,1,26,0,68.3,64.0,65.6,,65.2,60.0,6,0,13,0.0,0,10,0,2,100.0,10,30.0,3,104.2,2,0,10.0,1,18,14,7.0,9.0,1.8
JaMycal Hasty,25582,HB,SF,1,-2.0,0,50.0,,0,0,0,0.0,0,0,28,0,64.7,61.2,59.7,,59.2,0.0,0,1,6,0.0,0,7,0,1,100.0,7,14.3,1,16.7,2,0,0.0,0,6,5,5.0,6.0,0.86
Drew Sample,47259,TE,CIN,1,5.5,0,50.0,50.0,1,2,0,0.0,0,0,7,0,64.7,61.2,49.9,68.6,47.4,59.5,22,0,4,18.9,7,37,0,1,75.7,28,13.5,5,56.3,2,0,13.5,5,4,0,0.0,4.0,0.14
Jauan Jennings,48027,WR,SF,1,1.5,0,100.0,,0,0,0,0.0,0,1,28,0,68.3,64.0,62.7,,60.5,0.0,0,0,11,0.0,0,21,0,2,95.2,20,81.0,17,83.3,2,0,19.0,4,8,5,2.5,4.0,0.4
Clyde Edwards-Helaire,57279,HB,KC,1,-3.5,0,50.0,,0,0,0,0.0,0,0,16,0,64.7,71.1,59.1,,57.5,0.0,0,0,4,0.0,0,6,0,1,83.3,5,0.0,0,56.3,2,0,33.3,2,4,7,7.0,4.0,0.8
Cam Akers,57206,HB,LA,1,-1.0,0,100.0,,0,0,0,0.0,0,0,26,0,64.7,74.9,53.6,67.1,55.3,0.0,0,0,2,6.3,1,16,0,1,93.8,15,6.3,1,79.2,1,0,0.0,0,2,3,3.0,2.0,0.13
