player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Stafford,4924,QB,LA,1,72.5,40,44,11.0,2.63,2,1,2.2,59.1,26,0,18,10.3,50,3,0.08,15,26,23.2,57.2,63.3,29.8,1,0,51,0,46.0,27.8,97.2,10.0,5,1,0,1,2,4,7.8,324,7.4
Jared Goff,10635,QB,DET,1,74.3,35,40,9.7,2.77,1,2,5.0,57.5,23,0,20,11.5,44,3,-0.08,18,11,29.0,45.5,44.3,63.1,0,3,44,0,54.5,10.0,59.7,4.5,2,1,3,1,1,4,9.1,313,7.8
Jayden Daniels,97993,QB,WAS,1,78.6,28,31,5.9,2.64,1,1,3.1,71.0,22,0,13,0.0,36,0,0.62,14,32,80.7,79.9,83.6,61.4,0,0,37,1,58.3,0.0,122.9,0.0,0,5,0,2,2,0,0.0,299,9.6
C.J. Stroud,129759,QB,HST,1,74.1,27,28,9.9,3.28,0,3,10.3,67.9,19,0,22,5.0,41,1,0.03,15,13,79.5,85.3,78.7,79.9,1,0,43,0,46.3,36.4,95.1,19.5,8,5,0,0,0,1,2.3,245,8.8
Lamar Jackson,46416,QB,BLT,1,84.0,25,25,10.2,3.46,0,3,11.1,72.0,18,0,14,14.3,31,3,0.15,13,3,25.4,81.8,76.0,81.5,0,1,33,1,48.4,14.3,114.4,6.5,2,4,0,0,2,2,6.1,254,10.2
Patrick Mahomes,11765,QB,KC,1,73.9,23,25,7.1,3.03,0,3,11.1,64.0,16,0,15,5.9,32,1,0.05,8,16,37.4,73.0,79.4,46.0,2,0,34,0,34.4,20.0,98.3,9.4,3,4,0,0,1,0,0.0,177,7.1
Josh Allen,46601,QB,BUF,1,81.0,21,22,6.2,2.27,0,1,4.2,72.7,16,0,7,5.9,23,1,-0.07,6,4,79.0,69.9,64.4,70.8,0,0,25,0,43.5,14.3,86.7,4.3,1,0,0,1,0,0,0.0,127,5.8
Jalen Hurts,40291,QB,PHI,1,85.0,20,20,6.5,3.2,0,1,4.5,75.0,15,0,15,11.8,30,2,-0.08,7,24,27.7,63.1,55.5,74.8,0,0,32,0,46.7,46.7,91.3,23.3,7,3,0,0,0,2,6.3,128,6.4
David Montgomery,45719,HB,DET,1,100.0,1,1,-3.0,1.1,0,0,0.0,100.0,1,0,0,0.0,1,0,0.85,1,11,72.5,73.4,60.1,72.5,0,0,1,0,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,20,20.0
Jameson Williams,101701,WR,DET,1,0.0,1,1,20.0,4.6,0,0,0.0,0.0,0,0,0,,1,0,-4.67,0,11,66.2,57.7,41.3,81.7,0,1,1,0,0.0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Teddy Bridgewater,8667,QB,DET,1,100.0,1,1,3.0,2.5,0,0,0.0,100.0,1,0,0,0.0,1,0,-0.03,1,11,60.4,57.8,58.0,,0,0,1,0,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
