player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Michael Wilson,84423,WR,ARZ,1,12.8,0,83.3,83.3,5,6,0,0.0,0,9,1,0,81.1,73.0,83.5,,80.5,0.0,0,0,34,0.0,0,51,0,15,94.1,48,15.7,8,109.5,18,0,84.3,43,185,39,2.6,12.3,3.85
Travis Kelce,7844,TE,KC,1,4.6,1,69.2,0.0,0,3,0,10.0,1,5,16,0,56.7,70.6,80.4,70.2,78.2,42.2,19,0,21,2.2,1,45,0,9,86.7,39,40.0,18,114.6,13,1,17.8,8,91,66,7.3,10.1,2.33
Jaxon Smith-Njigba,129758,WR,SEA,1,9.7,1,75.0,0.0,0,1,0,0.0,0,7,29,0,77.3,70.6,84.2,,82.7,0.0,0,1,28,0.0,0,47,0,9,93.6,44,14.9,7,66.3,12,0,85.1,40,105,32,3.6,11.7,2.39
A.J. Brown,48327,WR,PHI,1,10.8,0,58.3,60.0,3,5,0,0.0,0,2,24,0,76.5,70.1,70.0,,69.5,0.0,0,0,12,0.0,0,34,1,7,91.2,31,11.8,4,67.7,12,0,88.2,30,49,9,1.3,7.0,1.58
Brock Bowers,146715,TE,LV,1,9.4,1,58.3,33.3,1,3,0,12.5,1,3,23,0,52.1,69.5,58.2,,58.7,21.6,11,1,18,0.0,0,51,0,7,96.1,49,56.9,29,41.0,12,0,19.6,10,72,10,1.4,10.3,1.47
Stefon Diggs,9579,WR,NE,1,9.3,0,81.8,0.0,0,1,0,10.0,1,6,19,0,56.7,70.6,77.5,,76.1,0.0,0,0,22,0.0,0,35,0,9,94.3,33,68.6,24,106.4,11,0,28.6,10,105,33,3.7,11.7,3.18
George Pickens,99229,WR,DAL,1,13.0,5,81.8,33.3,1,3,0,0.0,0,8,9,0,77.3,71.6,93.1,,93.2,0.0,0,0,37,0.0,0,29,1,9,96.6,28,3.4,1,149.1,11,1,96.6,28,144,72,8.0,16.0,5.14
Trey McBride,75916,TE,ARZ,1,6.7,1,90.9,100.0,3,3,0,0.0,0,5,1,0,78.0,71.1,78.8,,80.6,25.9,14,0,28,0.0,0,54,2,10,94.4,51,70.4,38,140.5,11,1,3.7,2,115,46,4.6,11.5,2.25
Amon-Ra St. Brown,84470,WR,DET,1,12.4,0,18.2,0.0,0,2,0,0.0,0,1,11,0,68.3,64.0,66.8,62.3,64.2,0.0,0,0,34,2.6,1,38,0,2,97.4,37,44.7,17,43.0,11,0,55.3,21,42,17,8.5,21.0,1.14
Tetairoa McMillan,158735,WR,CAR,1,10.7,2,80.0,0.0,0,1,0,0.0,0,7,5,0,76.5,70.1,77.2,,76.2,0.0,0,0,39,0.0,0,52,0,8,94.2,49,25.0,13,158.3,10,2,75.0,39,130,52,6.5,16.3,2.65
Nico Collins,61441,WR,HST,1,11.5,1,90.0,50.0,1,2,0,0.0,0,7,13,0,77.3,70.6,83.1,,81.4,0.0,0,0,18,0.0,0,43,0,9,97.7,42,20.9,9,138.3,10,1,79.1,34,92,7,0.8,10.2,2.19
AJ Barner,129433,TE,SEA,1,3.4,0,100.0,100.0,1,1,0,0.0,0,4,29,1,78.0,21.1,72.3,76.1,71.4,73.8,31,0,13,9.5,4,42,0,10,88.1,37,19.0,8,95.8,10,0,2.4,1,70,36,3.6,7.0,1.89
Rashee Rice,97605,WR,KC,1,4.4,0,66.7,33.3,1,3,0,25.0,2,2,16,0,29.7,68.8,54.5,,52.9,0.0,0,0,11,0.0,0,42,0,6,83.3,35,47.6,20,75.2,9,0,50.0,21,38,38,6.3,6.3,1.09
Drake London,86519,WR,ATL,1,10.9,0,77.8,33.3,1,3,1,12.5,1,5,2,0,52.1,69.5,80.8,,83.4,0.0,0,0,41,0.0,0,31,1,7,90.3,28,48.4,15,118.8,9,0,51.6,16,119,48,6.9,17.0,4.25
Ja'Marr Chase,84270,WR,CIN,1,12.9,1,33.3,33.3,1,3,1,0.0,0,2,7,0,70.5,65.8,55.1,,57.2,0.0,0,0,16,0.0,0,42,1,3,97.6,41,28.6,12,43.8,9,0,71.4,30,30,17,5.7,10.0,0.73
Justin Jefferson,61398,WR,MIN,1,8.8,1,55.6,100.0,1,1,0,16.7,1,3,18,0,45.8,68.0,67.0,,64.5,0.0,0,1,27,0.0,0,33,0,5,97.0,32,21.2,7,37.0,9,0,78.8,26,61,30,6.0,12.2,1.91
Emeka Egbuka,145055,WR,TB,1,4.0,0,55.6,100.0,1,1,0,16.7,1,1,30,0,45.8,68.0,56.4,,56.2,0.0,0,1,10,0.0,0,38,0,5,92.1,35,42.1,16,27.3,9,0,57.9,22,40,27,5.4,8.0,1.14
Dalton Schultz,47304,TE,HST,1,6.4,0,66.7,0.0,0,2,0,0.0,0,1,13,0,74.6,68.8,53.4,31.9,57.0,63.2,24,0,13,7.9,3,38,0,6,92.1,35,23.7,9,81.3,9,0,7.9,3,51,23,3.8,8.5,1.46
Wan'Dale Robinson,101735,WR,NYG,1,7.9,0,44.4,0.0,0,3,0,20.0,1,1,21,0,42.1,67.0,53.2,,50.7,0.0,0,0,20,0.0,0,33,0,4,93.9,31,51.5,17,55.8,9,0,45.5,15,36,4,1.0,9.0,1.16
Deebo Samuel,48274,WR,WAS,1,2.9,0,87.5,,0,0,1,0.0,0,2,32,0,76.5,70.8,69.6,,67.9,0.0,0,0,28,0.0,0,32,2,7,90.6,29,40.6,13,144.8,8,1,53.1,17,74,56,8.0,10.6,2.55
Tee Higgins,61211,WR,CIN,1,15.9,0,37.5,0.0,0,1,0,0.0,0,3,7,0,70.5,65.8,67.1,,67.2,0.0,0,1,28,0.0,0,42,0,3,97.6,41,4.8,2,66.1,8,1,95.2,40,63,13,4.3,21.0,1.54
Xavier Legette,99197,WR,CAR,1,14.0,0,50.0,0.0,0,2,0,0.0,0,3,5,0,72.1,67.0,73.2,,72.4,0.0,0,0,36,0.0,0,34,1,4,94.1,32,38.2,13,126.6,8,1,61.8,21,83,25,6.3,20.8,2.59
Tre Tucker,101106,WR,LV,1,9.4,0,50.0,33.3,1,3,0,0.0,0,3,23,0,72.1,70.6,62.8,,62.4,0.0,0,0,26,0.0,0,49,0,4,95.9,47,10.2,5,107.8,8,1,89.8,44,47,24,6.0,11.8,1.0
Puka Nacua,100632,WR,LA,1,7.4,1,87.5,80.0,4,5,0,0.0,0,3,26,1,75.6,19.4,75.2,61.4,73.6,4.5,1,0,19,4.5,1,22,0,7,95.5,21,45.5,10,105.7,8,0,50.0,11,75,25,3.6,10.7,3.57
Ashton Jeanty,157196,HB,LV,1,-2.5,1,75.0,0.0,0,1,0,14.3,1,1,23,0,49.2,73.1,54.9,65.6,50.7,0.0,0,0,8,15.8,6,38,0,6,84.2,32,2.6,1,78.6,8,0,7.9,3,27,52,8.7,4.5,0.84
Kenneth Gainwell,77737,HB,PIT,1,-0.6,2,87.5,,0,0,0,0.0,0,6,25,0,75.6,75.3,72.5,73.1,89.9,9.7,3,0,28,3.2,1,31,0,7,83.9,26,12.9,4,148.4,8,2,0.0,0,81,102,14.6,11.6,3.12
Zach Ertz,7816,TE,WAS,1,11.1,0,50.0,0.0,0,1,0,0.0,0,2,32,0,72.1,67.0,62.0,69.6,65.3,36.7,11,1,15,3.3,1,30,1,4,93.3,28,53.3,16,26.0,8,0,10.0,3,42,4,1.0,10.5,1.5
Troy Franklin,146567,WR,DEN,1,23.8,0,50.0,33.3,1,3,0,33.3,2,2,10,0,28.7,67.0,61.2,,60.8,0.0,0,0,35,0.0,0,33,0,4,100.0,33,33.3,11,87.5,8,0,66.7,22,84,22,5.5,21.0,2.55
D.K. Metcalf,47864,WR,PIT,1,10.3,1,62.5,0.0,0,1,0,0.0,0,3,25,0,74.6,68.8,63.9,,65.4,0.0,0,0,17,0.0,0,38,2,5,86.8,33,21.1,8,79.7,8,0,78.9,30,49,27,5.4,9.8,1.48
Jahmyr Gibbs,122474,HB,DET,1,-0.1,3,62.5,,0,0,0,0.0,0,5,11,0,73.4,75.5,71.6,74.6,91.5,0.0,0,0,42,6.9,2,29,0,5,93.1,27,13.8,4,106.3,8,0,10.3,3,107,122,24.4,21.4,3.96
Jerry Jeudy,61103,WR,CLV,1,7.3,2,42.9,25.0,1,4,0,0.0,0,1,8,0,70.5,65.8,62.8,,62.3,0.0,0,1,10,0.0,0,30,0,3,100.0,30,23.3,7,10.7,7,0,76.7,23,21,9,3.0,7.0,0.7
Cooper Kupp,11824,WR,SEA,1,12.0,0,42.9,0.0,0,1,0,0.0,0,0,29,0,70.5,65.8,58.0,,57.2,0.0,0,1,9,0.0,0,40,0,3,92.5,37,60.0,24,11.9,7,0,40.0,16,23,6,2.0,7.7,0.62
Chase Brown,77787,HB,CIN,1,0.3,2,85.7,,0,0,0,0.0,0,1,7,0,74.6,77.8,65.7,,65.0,0.0,0,0,17,0.0,0,35,0,6,97.1,34,20.0,7,83.3,7,0,2.9,1,28,32,5.3,4.7,0.82
Jaylen Waddle,84088,WR,MIA,1,14.0,2,42.9,100.0,1,1,1,40.0,2,2,17,0,28.0,65.8,55.9,,57.4,0.0,0,0,31,0.0,0,25,1,3,96.0,24,32.0,8,68.8,7,0,68.0,17,52,20,6.7,17.3,2.17
Davante Adams,8688,WR,LA,1,9.9,0,14.3,0.0,0,1,0,66.7,2,1,26,0,26.5,61.2,47.1,,47.0,0.0,0,0,1,0.0,0,27,0,1,100.0,27,11.1,3,79.2,7,1,88.9,24,1,0,0.0,1.0,0.04
Jordan Addison,123000,WR,MIN,1,21.7,0,28.6,66.7,2,3,0,50.0,2,2,18,0,27.3,64.0,55.2,,55.0,0.0,0,1,15,0.0,0,33,0,2,97.0,32,21.2,7,39.6,7,1,78.8,26,20,0,0.0,10.0,0.63
Jayden Higgins,150240,WR,HST,1,14.9,0,57.1,0.0,0,1,0,0.0,0,3,13,0,72.1,67.0,76.8,,77.3,0.0,0,0,23,0.0,0,28,0,4,96.4,27,21.4,6,82.4,7,0,78.6,22,55,5,1.3,13.8,2.04
Michael Carter,57337,HB,ARZ,1,0.6,1,71.4,,0,0,0,16.7,1,1,1,0,45.8,71.2,57.0,76.7,43.8,0.0,0,0,7,3.2,1,31,0,5,90.3,28,0.0,0,74.7,7,0,6.5,2,22,23,4.6,4.4,0.79
Darnell Mooney,48236,WR,ATL,1,15.6,0,42.9,33.3,1,3,0,25.0,1,2,2,1,36.2,13.9,48.5,,48.1,0.0,0,0,20,0.0,0,34,0,3,88.2,30,47.1,16,58.0,7,0,52.9,18,34,-2,-0.7,11.3,1.13
Romeo Doubs,84329,WR,GB,1,11.0,1,57.1,0.0,0,1,0,33.3,2,3,12,0,28.6,69.0,61.5,,61.5,0.0,0,0,22,0.0,0,25,0,4,88.0,22,20.0,5,81.3,7,0,80.0,20,53,17,4.3,13.3,2.41
Courtland Sutton,48164,WR,DEN,1,11.2,1,66.7,,0,0,0,0.0,0,4,10,0,72.1,67.0,69.8,,69.4,0.0,0,0,21,0.0,0,39,0,4,100.0,39,0.0,0,98.6,6,0,100.0,39,59,7,1.8,14.8,1.51
Adonai Mitchell,146712,WR,NYJ,1,17.8,0,16.7,0.0,0,1,0,75.0,3,1,22,0,25.2,61.2,39.1,,40.5,0.0,0,0,10,0.0,0,21,0,1,100.0,21,19.0,4,39.6,6,0,81.0,17,10,2,2.0,10.0,0.48
Pat Bryant,144800,WR,DEN,1,9.2,0,83.3,50.0,1,2,0,0.0,0,4,10,0,73.4,68.0,68.2,,74.4,0.0,0,0,48,0.0,0,27,0,5,100.0,27,74.1,20,118.8,6,0,25.9,7,82,34,6.8,16.4,3.04
