player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jacoby Brissett,10725,QB,ARZ,1,87.3,55,57,6.9,2.58,1,1,1.7,82.5,47,0,10,2.1,57,1,0.13,18,1,81.9,78.7,77.5,69.4,0,2,61,1,54.4,0.0,96.8,0.0,0,0,0,1,2,2,3.3,452,7.9
Patrick Mahomes,11765,QB,KC,1,74.4,43,45,7.3,2.58,0,2,4.0,64.4,29,0,14,9.4,49,3,-0.05,13,16,81.1,46.9,48.5,52.0,0,1,56,0,38.8,21.4,79.5,6.1,3,1,0,2,1,3,5.4,276,6.1
Bryce Young,123943,QB,CAR,1,80.5,41,45,7.3,2.61,1,2,4.3,68.9,31,0,15,6.1,51,2,0.26,20,5,81.0,87.2,86.2,57.9,1,0,54,0,51.0,33.3,123.2,9.8,5,0,0,2,3,0,0.0,448,10.0
Sam Darnold,29048,QB,SEA,1,72.5,40,44,8.5,2.92,1,0,0.0,65.9,29,0,14,0.0,46,0,-0.27,15,29,80.5,39.2,38.5,62.6,1,4,49,0,50.0,0.0,45.5,0.0,0,1,0,2,0,4,8.2,279,6.3
Geno Smith,7820,QB,LV,1,74.4,39,42,5.7,2.85,0,1,2.3,64.3,27,0,20,6.9,49,2,-0.23,13,23,80.7,58.7,58.5,59.6,2,1,51,0,40.8,20.0,77.3,8.2,4,3,0,1,1,2,3.9,238,5.7
Davis Mills,52269,QB,HST,1,69.2,39,41,9.1,2.25,0,3,7.1,63.4,26,0,11,3.7,47,1,-0.06,13,13,80.1,81.5,81.5,54.2,1,0,48,0,48.9,36.4,90.9,8.5,4,2,0,1,1,1,2.1,274,6.7
Joe Flacco,4332,QB,CIN,1,63.9,36,40,8.1,2.67,2,2,4.9,57.5,23,0,14,0.0,41,0,-0.41,9,7,79.5,37.8,41.7,60.0,1,1,42,2,34.1,7.1,68.6,2.4,1,0,0,1,1,3,7.1,199,5.0
Jared Goff,10635,QB,DET,1,48.4,31,37,7.6,2.55,4,0,0.0,37.8,14,0,15,6.7,39,1,-0.4,10,11,79.1,42.5,42.9,60.0,0,1,39,1,28.2,13.3,60.1,5.1,2,0,0,2,1,0,0.0,255,6.9
Bo Nix,97790,QB,DEN,1,81.8,33,37,9.5,2.92,1,4,10.8,64.9,24,0,16,11.1,41,3,0.09,11,10,79.6,85.3,83.0,66.9,0,0,41,1,48.8,12.5,89.4,4.9,2,1,0,3,0,1,2.4,295,8.0
Cam Ward,133244,QB,TEN,1,72.7,33,37,8.1,2.63,3,2,5.1,64.9,24,0,15,0.0,43,0,-0.02,12,31,29.2,57.1,53.6,70.6,0,0,45,0,41.9,20.0,87.0,7.0,3,3,0,1,1,2,4.4,194,5.2
