player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Saquon Barkley,45791,HB,PHI,1,26,7,0,0.0,0,0,83,0,0,7,57,56.8,1,3,24,0,14,78.5,67.5,77.9,,79.9,59.8,67.2,60.0,14,0,7,1,23,31,0,0,2,27,0,83,57,2.19,3.2,0.3,8
Bijan Robinson,123126,HB,ATL,1,23,7,2,32.7,34,0,104,0,0,7,83,93.6,3,6,2,0,5,79.2,74.8,76.8,,20.4,72.0,75.4,,19,0,39,4,21,26,0,0,5,27,2,104,83,3.61,4.5,1.86,18
Javonte Williams,77803,HB,DAL,1,22,2,1,17.2,16,0,93,0,0,2,68,26.9,3,5,9,0,7,77.8,55.7,77.0,,71.4,53.5,55.8,60.0,16,0,0,1,18,23,0,0,1,23,0,93,68,3.09,4.2,0.0,15
De'Von Achane,124305,HB,MIA,1,21,1,3,46.7,56,0,120,0,3,1,62,45.4,6,8,17,0,9,77.6,84.6,77.0,,74.3,74.4,81.8,59.8,23,0,45,5,21,21,0,0,5,26,0,120,62,2.95,5.7,2.14,9
D'Andre Swift,57212,HB,CHI,1,21,4,0,0.0,0,1,90,0,0,4,66,59.9,1,5,6,0,3,77.4,61.0,74.3,,51.3,53.0,62.7,58.6,11,1,0,0,11,24,0,0,1,21,0,90,66,3.14,4.3,0.0,18
Sean Tucker,123056,HB,TB,1,19,3,1,40.6,43,0,106,0,1,3,45,45.1,2,4,30,0,14,77.1,70.8,74.5,,68.8,72.7,67.5,60.0,43,0,34,2,8,22,0,0,2,21,2,106,45,2.37,5.6,4.25,5
Tyrone Tracy,84226,HB,NYG,1,19,4,1,19.3,17,0,88,0,2,4,61,83.8,1,4,21,0,9,77.6,86.5,75.9,,74.2,88.3,79.1,60.0,17,0,51,4,14,20,0,0,4,23,0,88,61,3.21,4.6,3.64,10
TreVeyon Henderson,145059,HB,NE,1,19,4,0,0.0,0,0,62,0,0,4,53,46.5,0,4,19,0,14,77.6,65.6,77.9,,47.3,65.5,65.6,60.0,9,0,31,5,30,22,0,0,5,24,2,62,53,2.79,3.3,1.03,4
Travis Etienne Jr.,57185,HB,JAX,1,19,2,0,0.0,0,0,73,1,0,2,34,18.8,1,5,15,0,8,76.8,64.8,76.1,,79.7,29.1,70.0,60.0,13,0,0,0,10,20,0,0,2,19,2,73,34,1.79,3.8,0.0,11
Rico Dowdle,40693,HB,CAR,1,19,1,0,0.0,0,0,45,0,2,1,37,24.3,0,2,5,0,13,78.1,66.2,78.2,,46.5,61.4,68.0,60.0,6,0,55,5,36,22,0,0,6,24,0,45,37,1.95,2.4,1.53,6
Derrick Henry,10679,HB,BLT,1,18,4,1,57.3,59,0,103,0,1,4,96,133.3,1,5,3,0,8,76.9,78.4,76.3,,25.4,74.4,77.7,60.0,59,1,19,2,7,21,0,0,2,20,1,103,96,5.33,5.7,2.71,9
Chase Brown,77787,HB,CIN,1,18,4,2,50.5,50,0,99,0,2,4,77,106.9,2,6,7,0,9,77.8,65.7,77.2,,,65.0,65.1,,35,0,28,6,34,19,0,0,7,24,0,99,77,4.28,5.5,0.82,8
Woody Marks,124179,HB,HST,1,18,0,0,0.0,0,0,44,0,0,0,33,0.0,1,4,13,0,13,77.0,57.8,77.0,,44.9,53.4,60.5,,12,0,7,1,17,19,0,0,1,19,0,44,33,1.83,2.4,0.41,4
Quinshon Judkins,157128,HB,CLV,1,17,2,1,27.1,16,0,59,0,0,2,53,36.7,3,3,8,0,9,76.8,52.9,75.2,,5.2,53.3,56.5,60.0,16,0,0,0,13,20,0,0,1,17,0,59,53,3.12,3.5,0.0,7
Kenneth Walker III,97199,HB,SEA,1,16,4,1,37.3,25,0,67,0,2,4,51,100.7,1,5,29,0,7,76.7,76.0,75.5,,40.5,70.0,76.6,60.0,25,0,44,3,17,18,0,0,3,19,1,67,51,3.19,4.2,2.59,9
Devin Singletary,40485,HB,NYG,1,16,2,0,0.0,0,0,44,0,0,2,33,24.3,0,4,21,0,7,76.4,66.5,77.6,,26.9,56.5,68.0,60.0,7,0,3,1,15,19,0,0,1,17,2,44,33,2.06,2.8,0.2,9
James Cook,83666,HB,BUF,1,16,0,0,0.0,0,0,48,0,0,0,41,0.0,0,0,4,0,8,76.4,61.4,77.9,,17.7,88.0,57.3,59.5,8,0,66,3,16,19,0,0,3,19,0,48,41,2.56,3.0,4.13,8
Aaron Jones,11937,HB,MIN,1,16,1,0,0.0,0,0,70,1,0,1,43,14.1,1,3,18,1,9,25.2,48.5,76.3,,28.4,27.2,61.6,,14,0,11,3,17,16,0,0,5,19,0,70,43,2.69,4.4,0.65,7
Chris Rodriguez Jr.,83689,HB,WAS,1,15,2,1,21.5,17,0,79,0,1,2,54,67.5,3,6,32,0,8,75.7,63.5,0.0,,53.1,58.0,69.3,60.0,17,1,6,1,9,16,0,0,1,16,0,79,54,3.6,5.3,0.67,7
Bhayshul Tuten,150568,HB,JAX,1,15,5,1,20.3,15,0,74,0,0,5,57,126.7,3,8,15,0,5,75.5,78.1,72.7,,73.4,55.8,76.4,60.0,15,0,0,0,4,18,0,0,0,15,1,74,57,3.8,4.9,0.0,10
Breece Hall,97636,HB,NYJ,1,14,1,0,0.0,0,0,58,0,0,1,24,10.7,1,3,22,0,3,75.5,64.2,75.6,,74.9,56.7,64.8,60.2,11,0,6,2,18,21,0,0,2,16,0,58,24,1.71,4.1,0.33,11
Christian McCaffrey,11763,HB,SF,1,13,3,1,24.7,20,0,81,0,0,3,52,66.7,3,7,28,0,7,75.8,86.8,76.9,,80.4,80.5,84.4,,20,0,40,5,20,13,0,0,5,18,2,81,52,4.0,6.2,2.0,6
Kareem Hunt,11841,HB,KC,1,13,3,0,0.0,0,0,59,0,1,3,44,96.7,1,3,16,0,4,75.2,71.4,79.4,,84.4,57.7,74.3,,11,0,3,1,30,13,0,0,2,14,1,59,44,3.38,4.5,0.1,9
Kyren Williams,97118,HB,LA,1,12,4,2,70.3,64,0,91,0,0,4,69,176.9,3,4,26,0,5,75.6,69.3,74.1,,82.2,54.8,70.3,60.0,34,0,5,1,14,15,0,0,2,13,1,91,69,5.75,7.6,0.36,7
Jahmyr Gibbs,122474,HB,DET,1,12,2,0,0.0,0,0,39,0,3,2,26,63.7,2,2,11,0,5,75.5,71.6,78.6,,74.6,91.5,55.4,60.2,11,0,107,5,27,14,0,0,8,17,0,39,26,2.17,3.3,3.96,7
Kyle Monangai,129891,HB,CHI,1,12,0,0,0.0,0,0,23,0,0,0,20,0.0,0,5,6,0,1,74.9,55.1,73.4,,41.5,59.4,56.5,,9,0,14,1,9,13,0,0,1,13,1,23,20,1.67,1.9,1.56,11
Justin Fields,82118,QB,NYJ,1,11,2,0,0.0,0,0,27,0,0,1,9,18.4,3,6,22,1,1,28.6,68.1,78.5,68.8,,57.6,61.3,60.0,14,1,0,0,1,24,40,4,1,7,1,67,26,2.36,6.1,0.0,5
Emanuel Wilson,154173,HB,GB,1,11,0,0,0.0,0,0,40,0,0,0,30,0.0,1,2,12,0,5,74.8,67.6,77.0,,79.7,65.9,65.7,60.0,11,0,9,1,18,14,0,0,1,12,1,40,30,2.73,3.6,0.5,6
RJ Harvey,99622,HB,DEN,1,11,0,0,0.0,0,0,30,0,0,0,19,0.0,0,3,10,0,7,75.3,55.5,76.3,59.0,83.0,63.4,58.5,60.0,7,0,20,3,20,13,0,0,3,14,0,30,19,1.73,2.7,1.0,3
