player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Easton Stick,29466,QB,LAC,1,69.8,43,47,6.5,2.95,2,0,0.0,59.6,28,0,22,6.7,58,2,-0.23,16,27,42.3,68.3,61.0,77.9,0,0,60,0,50.0,13.6,74.6,5.2,3,7,0,2,0,1,1.7,258,5.5
Nick Mullens,12282,QB,MIN,1,77.5,40,44,10.2,2.8,1,4,8.9,68.2,30,0,24,3.2,49,1,0.09,16,18,80.7,68.1,68.3,70.0,2,2,51,3,44.9,16.7,92.6,8.2,4,1,0,1,2,3,5.9,396,9.0
Trevor Lawrence,77632,QB,JAX,1,77.5,40,43,7.9,2.4,0,1,2.2,67.4,29,0,10,6.5,45,2,0.01,12,15,80.3,68.1,69.0,60.0,0,2,48,1,48.9,0.0,81.5,0.0,0,2,0,3,2,1,2.1,280,6.5
Josh Allen,46601,QB,BUF,1,83.8,37,38,10.2,2.8,0,4,10.3,78.9,30,0,20,3.2,45,1,0.39,17,4,38.4,83.1,71.6,90.3,0,2,46,1,64.4,15.0,101.6,6.7,3,4,0,1,2,3,6.5,359,9.4
Dak Prescott,10769,QB,DAL,1,88.9,36,36,6.2,2.38,0,1,2.7,86.1,31,0,9,3.1,37,1,0.6,21,9,78.9,79.8,79.9,56.3,0,1,39,0,75.7,0.0,124.4,0.0,0,0,0,0,4,0,0.0,279,7.8
Jarrett Stidham,13725,QB,DEN,1,71.0,31,34,8.4,2.84,0,0,0.0,58.8,20,0,20,9.1,41,2,0.02,12,10,29.6,58.5,64.1,37.5,1,1,43,0,39.0,25.0,82.0,12.2,5,1,0,2,1,0,0.0,272,8.0
Jared Goff,10635,QB,DET,1,77.4,31,32,8.6,2.61,0,1,3.0,71.9,23,0,13,4.2,33,1,0.34,13,11,78.1,75.7,74.2,,0,0,34,0,48.5,7.7,124.5,3.0,1,0,0,1,2,1,2.9,320,10.0
Jordan Love,40306,QB,GB,1,84.4,32,32,7.4,2.74,0,3,9.4,84.4,27,0,4,0.0,34,0,0.5,14,12,27.5,83.0,90.3,30.0,0,0,34,0,58.8,25.0,128.6,2.9,1,1,0,0,2,2,5.9,316,9.9
Baker Mayfield,46518,QB,TB,1,72.4,29,32,7.6,2.58,0,0,0.0,62.5,20,0,9,4.8,37,1,-0.27,8,30,79.4,50.1,46.2,69.1,2,0,38,0,37.8,33.3,72.0,8.1,3,2,0,1,0,1,2.6,137,4.3
Tyrod Taylor,6332,QB,NYG,1,80.0,30,32,9.7,2.73,0,3,9.1,71.9,23,0,12,4.2,39,1,0.15,13,21,29.3,69.4,76.5,44.8,0,1,40,0,51.3,8.3,98.0,2.6,1,5,0,2,1,0,0.0,297,9.3
Aidan O'Connell,60516,QB,LV,1,77.8,27,31,8.3,2.7,0,2,6.5,64.5,20,0,11,4.8,33,1,0.34,12,23,78.9,64.1,65.1,54.4,0,0,33,0,54.5,18.2,110.1,6.1,2,0,1,3,2,1,3.0,244,7.9
Bailey Zappe,60396,QB,NE,1,46.4,28,30,10.4,2.97,1,1,3.3,40.0,12,0,15,7.7,39,1,-0.87,3,19,79.1,23.3,24.5,45.7,0,2,39,0,17.9,46.7,20.1,17.9,7,2,0,1,0,3,7.7,88,2.9
Kyler Murray,38334,QB,ARZ,1,85.7,28,30,5.2,2.97,1,0,0.0,73.3,22,0,12,8.3,32,2,0.48,12,1,78.7,78.3,77.8,63.0,1,0,32,0,53.1,8.3,110.7,3.1,1,1,0,0,1,0,0.0,262,8.7
Desmond Ridder,55086,QB,ATL,1,82.8,29,30,6.6,2.64,0,2,6.7,73.3,22,0,8,8.3,30,2,0.29,8,2,77.6,65.5,66.3,56.7,0,1,30,0,50.0,0.0,111.9,0.0,0,0,0,1,2,3,10.0,291,9.7
Blaine Gabbert,6162,QB,KC,1,70.4,27,30,5.7,2.41,2,0,0.0,50.0,15,0,16,21.1,35,4,-0.16,8,16,78.5,68.9,62.7,75.2,0,1,35,0,28.6,6.3,51.3,2.9,1,4,0,1,0,1,2.9,154,5.1
Tyler Huntley,46448,QB,BLT,1,72.0,25,28,6.1,3.5,1,0,0.0,53.6,15,0,18,16.7,38,3,-0.11,10,3,79.2,66.6,67.1,59.1,0,0,38,0,36.8,22.2,80.4,10.5,4,6,0,2,1,0,0.0,146,5.2
Geno Smith,7820,QB,SEA,1,78.3,23,28,7.0,2.75,2,1,3.3,57.1,16,0,13,11.1,30,2,0.17,9,29,78.0,77.9,75.1,67.5,1,0,32,0,43.3,0.0,101.6,0.0,0,2,0,2,2,0,0.0,189,6.8
Tua Tagovailoa,60326,QB,MIA,1,66.7,27,28,10.8,2.26,0,2,6.7,64.3,18,0,9,0.0,29,0,0.01,10,17,77.6,68.4,65.9,64.4,0,2,31,0,44.8,0.0,62.9,0.0,0,1,0,1,1,2,6.5,169,6.0
Derek Carr,8671,QB,NO,1,88.0,25,28,8.4,2.9,0,0,0.0,78.6,22,0,6,0.0,30,0,0.55,13,20,77.6,72.3,73.0,56.0,0,0,31,0,46.7,33.3,145.5,6.7,2,0,0,3,4,0,0.0,264,9.4
Sam Howell,97599,QB,WAS,1,73.1,26,27,6.0,2.5,1,1,3.7,70.4,19,0,12,0.0,32,0,-0.2,9,32,78.6,44.3,48.0,45.9,0,2,32,0,46.9,33.3,65.8,12.5,4,1,0,0,1,3,9.4,153,5.7
C.J. Stroud,129759,QB,HST,1,80.0,25,26,10.2,2.85,0,2,7.7,76.9,20,0,10,0.0,31,0,0.44,12,13,77.6,83.7,80.7,68.5,0,0,31,0,58.1,20.0,134.1,6.5,2,3,0,1,2,0,0.0,264,10.2
Ryan Tannehill,7014,QB,TEN,1,80.0,25,26,5.9,2.54,0,0,0.0,65.4,17,0,9,15.0,28,3,-0.08,10,31,78.0,53.2,52.4,60.5,0,1,29,0,46.4,22.2,93.1,7.1,2,0,0,1,2,1,3.4,168,6.5
Jeff Driskel,10841,QB,CLV,1,62.5,24,26,10.7,2.98,1,2,7.7,50.0,13,0,11,13.3,32,2,-0.31,11,8,78.7,66.4,58.9,83.4,0,2,32,1,37.5,27.3,63.9,9.4,3,3,0,1,2,3,9.4,166,6.4
Sam Darnold,29048,QB,SF,1,70.8,24,26,10.5,2.9,0,1,3.6,61.5,16,0,14,5.9,31,1,0.02,11,28,21.3,73.0,74.8,56.3,1,0,33,0,51.6,21.4,96.5,9.7,3,2,1,0,1,1,3.0,189,7.3
Jake Browning,46401,QB,CIN,1,75.0,24,24,4.9,2.69,0,2,7.7,75.0,18,0,7,0.0,28,0,0.05,11,7,26.2,89.6,82.8,78.2,0,1,30,0,46.4,28.6,113.9,7.1,2,2,0,0,3,2,6.7,156,6.5
Carson Wentz,10636,QB,LA,1,87.0,23,24,6.7,2.49,0,3,10.3,70.8,17,0,9,15.0,30,3,0.22,12,26,80.8,80.8,80.2,68.1,0,1,35,0,53.3,22.2,99.8,6.7,2,4,0,1,2,0,0.0,163,6.8
