player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,BLT,1,36,7,2,25.5,55,0,216,0,0,7,146,78.9,4,14,3,0,14,80.6,90.0,75.3,,77.1,54.5,85.7,60.0,30,0,0,0,8,38,0,0,0,36,4,216,146,4.06,6.0,0.0,22
Christian McCaffrey,11763,HB,SF,1,23,5,3,52.9,74,0,140,0,0,5,102,82.1,3,8,28,0,2,78.7,81.1,78.7,,52.4,69.9,81.2,60.0,41,0,41,4,27,27,0,0,5,27,1,140,102,4.43,6.1,1.52,19
Bijan Robinson,123126,HB,ATL,1,22,12,2,63.6,124,0,195,0,2,12,200,471.4,3,4,2,0,5,78.1,91.0,77.6,,17.1,80.3,90.5,60.0,93,0,34,5,18,22,0,0,7,27,1,195,200,9.09,8.9,1.89,16
Chase Brown,77787,HB,CIN,1,22,5,1,24.8,25,0,101,0,3,5,69,100.4,2,5,7,0,8,78.3,70.3,76.5,,,73.2,66.8,,25,0,40,3,23,23,0,0,3,25,2,101,69,3.14,4.6,1.74,14
Jonathan Taylor,57488,HB,IND,1,21,3,0,0.0,0,0,70,0,2,3,46,45.6,1,5,14,0,15,78.1,70.6,77.9,,50.5,57.6,72.9,,10,0,14,3,20,22,0,0,5,24,1,70,46,2.19,3.3,0.7,6
James Cook,83666,HB,BUF,1,20,4,0,0.0,0,0,74,0,0,4,52,49.5,2,3,4,0,10,77.3,67.8,75.3,,,54.6,68.8,60.0,10,0,3,1,16,23,0,0,4,21,0,74,52,2.6,3.7,0.19,10
Malik Davis,57196,HB,DAL,1,20,2,2,35.9,37,0,103,0,0,2,59,29.5,2,2,9,0,7,77.4,72.6,76.7,,37.3,51.8,75.8,60.0,21,0,0,0,17,22,0,0,2,20,0,103,59,2.95,5.2,0.0,12
Woody Marks,124179,HB,HST,1,19,2,1,26.8,19,0,71,0,0,2,59,31.1,1,3,13,0,12,77.3,63.7,76.8,,82.5,54.3,63.5,60.0,19,0,4,1,16,22,0,0,2,20,0,71,59,3.11,3.7,0.25,7
TreVeyon Henderson,145059,HB,NE,1,19,2,2,40.2,33,0,82,0,0,2,58,32.1,3,4,19,0,10,76.8,67.8,75.1,,,52.7,69.4,60.0,17,0,0,0,11,20,0,0,0,19,0,82,58,3.05,4.3,0.0,6
Saquon Barkley,45791,HB,PHI,1,19,5,1,23.5,16,0,68,0,0,5,51,70.6,2,4,24,0,5,76.8,70.3,75.8,,25.2,52.1,74.4,60.0,16,0,0,0,21,20,0,0,0,19,0,68,51,2.68,3.6,0.0,13
