player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Baker Mayfield,46518,QB,TB,1,79.5,44,44,8.5,3.1,0,2,4.2,75.0,33,0,13,5.7,50,2,0.06,16,30,32.8,57.4,55.4,67.3,0,2,54,1,56.0,23.1,93.6,6.0,3,3,0,0,2,3,5.6,346,7.9
Caleb Williams,144622,QB,CHI,1,73.0,37,42,7.8,3.25,2,4,9.3,59.5,25,0,13,7.4,46,2,0.42,17,6,80.2,71.8,75.1,54.1,0,0,47,1,50.0,0.0,100.3,0.0,0,4,1,2,2,0,0.0,330,7.9
Cam Ward,133244,QB,TEN,1,61.8,34,40,10.4,4.01,0,2,4.9,52.5,21,0,22,0.0,46,0,-0.2,12,31,22.4,46.2,47.6,52.3,2,0,47,0,39.1,18.2,88.6,8.7,4,2,0,4,2,5,10.6,251,6.3
Aaron Rodgers,2241,QB,PIT,1,66.7,33,39,6.2,2.12,1,3,7.5,53.8,21,0,10,4.5,44,1,-0.33,9,25,29.2,54.5,55.7,55.7,2,0,45,0,36.4,20.0,64.9,4.5,2,1,2,1,0,1,2.2,168,4.3
Bo Nix,97790,QB,DEN,1,75.7,37,38,6.3,3.03,0,2,5.1,68.4,26,0,14,7.1,44,2,0.23,14,10,80.5,82.8,81.5,66.4,0,1,45,0,54.5,7.1,76.9,2.3,1,5,0,1,1,0,0.0,182,4.8
Matthew Stafford,4924,QB,LA,1,66.7,36,38,12.8,3.14,0,5,12.2,57.9,22,0,14,8.3,41,2,-0.08,10,26,43.1,70.5,73.1,60.0,0,3,44,0,46.3,21.4,64.5,7.3,3,0,0,2,2,3,6.8,269,7.1
Jacoby Brissett,10725,QB,ARZ,1,62.9,35,37,7.7,3.14,0,2,5.0,56.8,21,0,15,4.5,41,1,-0.03,9,1,79.6,60.7,60.3,,0,0,44,0,31.7,26.7,91.3,9.8,4,0,0,2,2,0,0.0,212,5.7
Trevor Lawrence,77632,QB,JAX,1,74.3,35,37,10.5,3.18,2,3,8.1,62.2,23,0,21,11.5,43,3,0.05,14,15,80.4,81.1,78.3,69.9,0,1,43,0,46.5,9.5,72.2,4.7,2,4,0,0,0,2,4.7,263,7.1
Dak Prescott,10769,QB,DAL,1,55.6,36,37,11.3,3.0,0,1,2.4,51.4,19,0,13,5.0,45,1,0.32,14,9,80.6,68.7,65.2,71.3,0,0,49,0,44.4,46.2,97.5,13.3,6,2,0,1,2,1,2.0,307,8.3
Josh Allen,46601,QB,BUF,1,78.1,32,35,7.6,2.88,1,1,2.7,65.7,23,0,18,8.0,42,2,-0.28,11,4,24.9,61.9,62.4,56.6,0,0,45,0,38.1,27.8,88.0,11.9,5,2,0,2,0,2,4.4,262,7.5
Brock Purdy,77672,QB,SF,1,83.3,30,33,8.5,3.44,2,2,5.6,72.7,24,0,8,4.0,38,1,0.42,18,28,79.6,81.9,79.4,68.1,1,1,41,0,57.9,12.5,118.6,2.6,1,4,0,0,3,2,4.9,303,9.2
Brady Cook,124199,QB,NYJ,1,69.0,29,33,5.4,2.7,1,0,0.0,57.6,19,0,11,5.0,34,1,-0.6,5,22,78.7,33.7,32.8,60.8,1,1,35,1,29.4,9.1,56.6,2.9,1,0,0,2,0,4,11.4,152,4.6
Justin Herbert,28237,QB,LAC,1,74.2,31,32,9.1,3.1,0,3,9.4,65.6,21,0,20,8.7,42,2,-0.09,12,27,24.3,69.0,69.6,58.0,0,1,46,0,40.5,25.0,84.9,11.9,5,5,0,1,1,2,4.3,236,7.4
Joe Burrow,28022,QB,CIN,1,85.7,28,31,7.9,2.86,1,2,6.1,77.4,24,0,10,0.0,35,0,0.53,16,7,79.0,82.8,81.2,62.8,0,0,37,0,60.0,30.0,129.1,8.6,3,1,0,2,2,0,0.0,305,9.8
Philip Rivers,1725,QB,IND,1,64.3,28,30,8.4,2.23,1,1,3.1,56.7,17,0,9,5.6,32,1,-0.3,9,14,78.3,55.4,54.8,60.0,0,1,34,1,37.5,22.2,66.9,6.3,2,0,0,1,1,2,5.9,147,4.9
Jaxson Dart,146409,QB,NYG,1,78.6,28,30,5.8,2.97,1,0,0.0,73.3,22,1,9,0.0,35,0,0.27,12,21,79.7,76.1,68.2,80.0,0,0,36,1,51.4,22.2,91.9,5.7,2,3,0,1,0,0,0.0,207,6.9
Jared Goff,10635,QB,DET,1,76.0,25,29,7.3,2.47,3,1,3.4,62.1,18,0,14,5.3,34,1,-0.12,12,11,20.6,46.6,51.7,41.4,1,2,34,0,38.2,35.7,64.9,14.7,5,0,0,0,1,3,8.8,197,6.8
C.J. Stroud,129759,QB,HST,1,66.7,24,28,9.8,2.44,1,2,6.9,57.1,16,0,10,0.0,28,0,-0.15,8,13,78.4,67.6,67.3,58.2,1,2,30,0,39.3,0.0,80.1,0.0,0,0,0,2,2,1,3.3,244,8.7
Geno Smith,7820,QB,LV,1,80.0,25,28,6.8,2.46,1,1,3.4,71.4,20,0,15,0.0,33,0,-0.15,8,23,78.3,51.7,52.9,56.8,0,2,35,0,42.4,20.0,69.9,9.1,3,1,0,2,1,3,8.6,176,6.3
Jalen Hurts,40291,QB,PHI,1,66.7,21,27,11.4,3.15,0,2,7.4,48.1,13,0,12,7.1,30,1,-0.09,6,24,77.9,68.0,69.2,54.4,0,0,30,0,30.0,8.3,71.5,3.3,1,1,0,6,1,0,0.0,110,4.1
Sam Darnold,29048,QB,SEA,1,83.3,24,27,6.2,2.84,2,1,3.7,66.7,18,0,14,10.0,31,2,-0.26,8,29,33.1,56.5,60.7,51.3,0,1,31,3,38.7,21.4,77.2,9.7,3,1,0,1,1,1,3.2,147,5.4
Tyler Shough,83537,QB,NO,1,81.5,27,27,10.8,2.63,0,3,10.7,81.5,22,0,14,0.0,31,0,0.32,11,20,27.6,76.6,80.4,49.6,0,0,33,0,45.2,14.3,142.7,6.5,2,2,0,0,2,1,3.0,333,12.3
Bryce Young,123943,QB,CAR,1,80.0,20,24,1.6,3.08,1,0,0.0,58.3,14,0,11,12.5,31,2,-0.62,6,5,78.7,54.2,48.6,66.6,0,1,32,0,29.0,18.2,45.8,6.5,2,5,0,3,0,1,3.1,54,2.3
Josh Johnson,4474,QB,WAS,1,71.4,21,23,8.3,2.75,0,0,0.0,65.2,15,0,9,0.0,26,0,0.13,10,32,76.8,67.5,68.7,54.6,0,0,27,0,50.0,11.1,92.3,3.8,1,2,1,1,0,0,0.0,198,8.6
Shedeur Sanders,131396,QB,CLV,1,77.3,22,23,7.7,3.12,0,1,4.2,73.9,17,0,15,0.0,29,0,-0.23,9,8,77.6,52.2,54.8,50.3,1,2,30,0,37.9,13.3,75.6,6.9,2,3,0,0,1,2,6.7,186,8.1
Chris Oladokun,40364,QB,KC,1,77.8,18,22,4.6,3.13,1,0,0.0,59.1,13,0,10,7.1,25,1,-0.41,4,16,25.2,55.3,56.6,54.5,1,0,26,1,32.0,10.0,79.0,4.0,1,2,1,1,1,1,3.8,66,3.0
Quinn Ewers,127253,QB,MIA,1,70.0,20,22,10.0,2.36,1,1,4.3,63.6,14,0,7,0.0,28,0,0.12,7,17,26.7,47.7,44.7,65.3,0,0,29,1,35.7,28.6,118.0,7.1,2,1,0,1,2,1,3.4,172,7.8
Drake Maye,143969,QB,NE,1,100.0,20,21,8.6,3.26,0,0,0.0,90.5,19,0,9,5.0,24,1,1.31,16,19,77.3,90.6,85.4,78.3,1,0,28,0,87.5,11.1,157.0,4.2,1,2,0,0,5,0,0.0,256,12.2
Malik Willis,60341,QB,GB,1,100.0,20,21,11.0,3.2,0,2,9.1,85.7,18,0,13,10.0,27,2,0.76,14,12,78.0,95.6,92.7,87.4,1,0,29,0,70.4,7.7,134.6,3.7,1,5,0,0,1,0,0.0,288,13.7
