position,avg_taken_round1,min,max
EDGE,6.2518,3,9
OT,5.9432,3,7
WR,5.598,3,6
CB,3.5184,1,6
S,2.679735947189438,1,3
LB,2.1646,1,4
DT,1.7828933906281972,1,4
IOL,1.2294179894179895,1,3
QB,1.131,1,3
RB,1.0164460489370237,1,2
TE,1.0,1,1
