team,position,count,probability
ARI,OT,1689,0.3378
ARI,LB,1562,0.3124
ARI,EDGE,1440,0.288
ARI,RB,157,0.0314
ARI,WR,82,0.0164
ARI,CB,49,0.0098
ARI,S,21,0.0042
BAL,WR,1953,0.3906
BAL,IOL,1201,0.2402
BAL,TE,535,0.107
BAL,OT,503,0.1006
BAL,EDGE,362,0.0724
BAL,RB,129,0.0258
BAL,S,123,0.0246
BAL,CB,121,0.0242
BAL,LB,71,0.0142
BAL,QB,2,0.0004
BUF,EDGE,1656,0.3312
BUF,WR,1521,0.3042
BUF,DT,713,0.1426
BUF,OT,288,0.0576
BUF,IOL,245,0.049
BUF,S,216,0.0432
BUF,CB,181,0.0362
BUF,LB,117,0.0234
BUF,TE,26,0.0052
BUF,QB,19,0.0038
BUF,RB,18,0.0036
CAR,EDGE,1363,0.2726
CAR,WR,1083,0.2166
CAR,TE,947,0.1894
CAR,OT,831,0.1662
CAR,DT,263,0.0526
CAR,S,206,0.0412
CAR,CB,171,0.0342
CAR,RB,60,0.012
CAR,LB,39,0.0078
CAR,IOL,35,0.007
CAR,QB,2,0.0004
CHI,DT,2442,0.4884
CHI,S,1013,0.2026
CHI,CB,413,0.0826
CHI,OT,386,0.0772
CHI,WR,308,0.0616
CHI,EDGE,267,0.0534
CHI,LB,51,0.0102
CHI,IOL,35,0.007
CHI,TE,35,0.007
CHI,RB,29,0.0058
CHI,QB,21,0.0042
CIN,S,2070,0.414
CIN,LB,762,0.1524
CIN,OT,718,0.1436
CIN,CB,392,0.0784
CIN,WR,341,0.0682
CIN,IOL,296,0.0592
CIN,EDGE,212,0.0424
CIN,RB,141,0.0282
CIN,TE,66,0.0132
CIN,QB,2,0.0004
CLE,OT,3697,0.7394
CLE,WR,3671,0.7342
CLE,EDGE,658,0.1316
CLE,CB,371,0.0742
CLE,RB,337,0.0674
CLE,S,318,0.0636
CLE,LB,313,0.0626
CLE,IOL,245,0.049
CLE,DT,218,0.0436
CLE,QB,130,0.026
CLE,TE,42,0.0084
DAL,CB,3148,0.6296
DAL,EDGE,1859,0.3718
DAL,S,1523,0.3046
DAL,OT,1268,0.2536
DAL,WR,642,0.1284
DAL,LB,588,0.1176
DAL,DT,478,0.0956
DAL,RB,195,0.039
DAL,IOL,152,0.0304
DAL,TE,143,0.0286
DAL,QB,4,0.0008
DET,OT,3605,0.721
DET,EDGE,367,0.0734
DET,S,232,0.0464
DET,WR,195,0.039
DET,DT,190,0.038
DET,TE,131,0.0262
DET,IOL,95,0.019
DET,RB,77,0.0154
DET,CB,63,0.0126
DET,LB,45,0.009
HOU,OT,1714,0.3428
HOU,DT,1688,0.3376
HOU,CB,348,0.0696
HOU,EDGE,345,0.069
HOU,IOL,312,0.0624
HOU,WR,225,0.045
