pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,11,8,6,4
3,11,9,7,4
4,12,8,7,6
5,13,12,10,6
6,17,13,11,7
7,17,14,11,8
8,18,14,9,6
9,19,13,12,7
10,21,15,14,6
11,24,18,12,5
12,25,19,14,4
13,26,17,8,5
14,27,17,10,5
15,27,14,7,5
16,31,23,15,5
17,29,16,11,5
18,30,18,11,3
19,30,21,13,6
20,32,21,14,6
21,37,18,9,7
22,37,18,12,8
23,36,18,13,8
24,39,18,13,6
25,39,13,11,4
26,41,19,12,6
27,41,23,14,6
28,41,20,14,3
29,44,19,8,6
30,44,24,13,6
31,44,24,12,7
32,45,19,11,6
